Category: All categories

Month,Friendship ended: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,33
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,12
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,8
2009-11,12
2009-12,9
2010-01,0
2010-02,0
2010-03,7
2010-04,0
2010-05,11
2010-06,15
2010-07,11
2010-08,10
2010-09,7
2010-10,7
2010-11,9
2010-12,10
2011-01,7
2011-02,8
2011-03,9
2011-04,9
2011-05,9
2011-06,8
2011-07,15
2011-08,8
2011-09,9
2011-10,9
2011-11,11
2011-12,10
2012-01,9
2012-02,8
2012-03,9
2012-04,9
2012-05,11
2012-06,14
2012-07,10
2012-08,9
2012-09,7
2012-10,12
2012-11,7
2012-12,7
2013-01,6
2013-02,11
2013-03,8
2013-04,8
2013-05,6
2013-06,7
2013-07,10
2013-08,9
2013-09,8
2013-10,6
2013-11,8
2013-12,10
2014-01,8
2014-02,10
2014-03,9
2014-04,9
2014-05,10
2014-06,6
2014-07,8
2014-08,11
2014-09,11
2014-10,10
2014-11,7
2014-12,10
2015-01,11
2015-02,10
2015-03,11
2015-04,12
2015-05,11
2015-06,10
2015-07,10
2015-08,11
2015-09,17
2015-10,18
2015-11,14
2015-12,16
2016-01,21
2016-02,12
2016-03,16
2016-04,13
2016-05,18
2016-06,25
2016-07,23
2016-08,23
2016-09,30
2016-10,39
2016-11,44
2016-12,48
2017-01,41
2017-02,36
2017-03,43
2017-04,53
2017-05,55
2017-06,59
2017-07,63
2017-08,76
2017-09,66
2017-10,64
2017-11,52
2017-12,53
2018-01,56
2018-02,72
2018-03,74
2018-04,60
2018-05,64
2018-06,67
2018-07,64
2018-08,60
2018-09,66
2018-10,70
2018-11,68
2018-12,63
2019-01,57
2019-02,65
2019-03,61
2019-04,58
2019-05,61
2019-06,71
2019-07,61
2019-08,63
2019-09,62
2019-10,70
2019-11,67
2019-12,69
2020-01,72
2020-02,71
2020-03,62
2020-04,85
2020-05,99
2020-06,100
2020-07,97
2020-08,83
2020-09,80
2020-10,75
2020-11,83
2020-12,71
2021-01,77
2021-02,74
2021-03,73
2021-04,75
2021-05,69
2021-06,62
2021-07,67
2021-08,73
2021-09,56
2021-10,61
2021-11,63
2021-12,57
2022-01,71
2022-02,84
2022-03,88
2022-04,82
2022-05,80
2022-06,65
2022-07,72
2022-08,64
2022-09,63
2022-10,65
2022-11,64
2022-12,67
2023-01,61
2023-02,68
2023-03,65
2023-04,61
2023-05,64
2023-06,63
2023-07,64
2023-08,60
2023-09,61
2023-10,62
2023-11,58
2023-12,54
2024-01,54
2024-02,62
2024-03,69
2024-04,59
2024-05,61
2024-06,63
2024-07,66
2024-08,62
2024-09,58
2024-10,63
2024-11,61
2024-12,61
2025-01,53
2025-02,62
