Category: All categories

Month,Futurama Fry: (Worldwide)
2004-01,41
2004-02,25
2004-03,0
2004-04,27
2004-05,46
2004-06,59
2004-07,50
2004-08,60
2004-09,40
2004-10,45
2004-11,41
2004-12,40
2005-01,42
2005-02,41
2005-03,37
2005-04,38
2005-05,45
2005-06,49
2005-07,48
2005-08,55
2005-09,56
2005-10,37
2005-11,41
2005-12,35
2006-01,38
2006-02,34
2006-03,46
2006-04,31
2006-05,34
2006-06,37
2006-07,35
2006-08,35
2006-09,53
2006-10,40
2006-11,45
2006-12,32
2007-01,39
2007-02,41
2007-03,38
2007-04,36
2007-05,39
2007-06,45
2007-07,43
2007-08,49
2007-09,37
2007-10,45
2007-11,43
2007-12,53
2008-01,47
2008-02,35
2008-03,40
2008-04,37
2008-05,32
2008-06,37
2008-07,33
2008-08,34
2008-09,31
2008-10,32
2008-11,36
2008-12,30
2009-01,33
2009-02,45
2009-03,33
2009-04,41
2009-05,40
2009-06,39
2009-07,41
2009-08,44
2009-09,41
2009-10,48
2009-11,35
2009-12,39
2010-01,38
2010-02,38
2010-03,31
2010-04,42
2010-05,38
2010-06,54
2010-07,75
2010-08,73
2010-09,54
2010-10,52
2010-11,44
2010-12,49
2011-01,44
2011-02,46
2011-03,46
2011-04,46
2011-05,42
2011-06,58
2011-07,70
2011-08,88
2011-09,67
2011-10,82
2011-11,59
2011-12,69
2012-01,65
2012-02,80
2012-03,74
2012-04,83
2012-05,77
2012-06,100
2012-07,95
2012-08,91
2012-09,82
2012-10,79
2012-11,72
2012-12,76
2013-01,69
2013-02,70
2013-03,71
2013-04,80
2013-05,69
2013-06,76
2013-07,72
2013-08,78
2013-09,84
2013-10,76
2013-11,64
2013-12,66
2014-01,72
2014-02,65
2014-03,63
2014-04,58
2014-05,52
2014-06,56
2014-07,64
2014-08,67
2014-09,65
2014-10,69
2014-11,64
2014-12,64
2015-01,63
2015-02,56
2015-03,55
2015-04,58
2015-05,63
2015-06,63
2015-07,67
2015-08,67
2015-09,56
2015-10,70
2015-11,60
2015-12,59
2016-01,58
2016-02,52
2016-03,50
2016-04,51
2016-05,54
2016-06,51
2016-07,50
2016-08,50
2016-09,52
2016-10,57
2016-11,51
2016-12,49
2017-01,49
2017-02,49
2017-03,45
2017-04,46
2017-05,44
2017-06,51
2017-07,61
2017-08,42
2017-09,35
2017-10,48
2017-11,46
2017-12,41
2018-01,41
2018-02,32
2018-03,38
2018-04,32
2018-05,32
2018-06,30
2018-07,35
2018-08,42
2018-09,37
2018-10,37
2018-11,31
2018-12,29
2019-01,35
2019-02,33
2019-03,34
2019-04,32
2019-05,29
2019-06,31
2019-07,31
2019-08,32
2019-09,30
2019-10,34
2019-11,29
2019-12,28
2020-01,31
2020-02,29
2020-03,33
2020-04,32
2020-05,31
2020-06,32
2020-07,34
2020-08,35
2020-09,32
2020-10,31
2020-11,26
2020-12,30
2021-01,31
2021-02,28
2021-03,35
2021-04,31
2021-05,27
2021-06,25
2021-07,26
2021-08,23
2021-09,24
2021-10,26
2021-11,24
2021-12,23
2022-01,30
2022-02,33
2022-03,30
2022-04,29
2022-05,28
2022-06,27
2022-07,34
2022-08,33
2022-09,28
2022-10,31
2022-11,28
2022-12,27
2023-01,33
2023-02,31
2023-03,25
2023-04,23
2023-05,26
2023-06,29
2023-07,51
2023-08,55
2023-09,37
2023-10,33
2023-11,26
2023-12,29
2024-01,31
2024-02,27
2024-03,24
2024-04,24
2024-05,25
2024-06,26
2024-07,29
2024-08,36
2024-09,34
2024-10,39
2024-11,32
2024-12,33
2025-01,28
2025-02,28
