Category: All categories

Month,Warning Sign: (Worldwide)
2004-01,74
2004-02,90
2004-03,64
2004-04,66
2004-05,78
2004-06,73
2004-07,70
2004-08,67
2004-09,74
2004-10,76
2004-11,69
2004-12,56
2005-01,66
2005-02,73
2005-03,67
2005-04,64
2005-05,67
2005-06,76
2005-07,66
2005-08,75
2005-09,75
2005-10,76
2005-11,70
2005-12,71
2006-01,67
2006-02,69
2006-03,67
2006-04,64
2006-05,63
2006-06,57
2006-07,64
2006-08,67
2006-09,83
2006-10,74
2006-11,61
2006-12,62
2007-01,68
2007-02,64
2007-03,62
2007-04,59
2007-05,61
2007-06,61
2007-07,58
2007-08,63
2007-09,62
2007-10,64
2007-11,58
2007-12,57
2008-01,56
2008-02,58
2008-03,58
2008-04,52
2008-05,57
2008-06,60
2008-07,59
2008-08,58
2008-09,63
2008-10,58
2008-11,57
2008-12,51
2009-01,57
2009-02,60
2009-03,62
2009-04,57
2009-05,61
2009-06,62
2009-07,58
2009-08,63
2009-09,62
2009-10,64
2009-11,62
2009-12,57
2010-01,62
2010-02,64
2010-03,62
2010-04,63
2010-05,62
2010-06,60
2010-07,58
2010-08,55
2010-09,58
2010-10,57
2010-11,58
2010-12,54
2011-01,53
2011-02,53
2011-03,60
2011-04,59
2011-05,55
2011-06,60
2011-07,56
2011-08,55
2011-09,58
2011-10,63
2011-11,60
2011-12,56
2012-01,59
2012-02,63
2012-03,57
2012-04,65
2012-05,58
2012-06,66
2012-07,61
2012-08,61
2012-09,74
2012-10,62
2012-11,61
2012-12,51
2013-01,50
2013-02,56
2013-03,57
2013-04,58
2013-05,55
2013-06,51
2013-07,65
2013-08,57
2013-09,51
2013-10,55
2013-11,52
2013-12,49
2014-01,55
2014-02,56
2014-03,51
2014-04,54
2014-05,55
2014-06,62
2014-07,55
2014-08,51
2014-09,51
2014-10,55
2014-11,51
2014-12,47
2015-01,48
2015-02,51
2015-03,52
2015-04,50
2015-05,52
2015-06,52
2015-07,50
2015-08,50
2015-09,56
2015-10,52
2015-11,52
2015-12,50
2016-01,57
2016-02,56
2016-03,53
2016-04,54
2016-05,54
2016-06,62
2016-07,51
2016-08,53
2016-09,55
2016-10,52
2016-11,52
2016-12,50
2017-01,50
2017-02,48
2017-03,53
2017-04,54
2017-05,52
2017-06,49
2017-07,53
2017-08,51
2017-09,51
2017-10,54
2017-11,55
2017-12,56
2018-01,50
2018-02,57
2018-03,56
2018-04,49
2018-05,53
2018-06,50
2018-07,52
2018-08,53
2018-09,58
2018-10,55
2018-11,54
2018-12,43
2019-01,58
2019-02,62
2019-03,54
2019-04,55
2019-05,53
2019-06,53
2019-07,58
2019-08,54
2019-09,58
2019-10,56
2019-11,52
2019-12,48
2020-01,54
2020-02,55
2020-03,55
2020-04,49
2020-05,48
2020-06,57
2020-07,57
2020-08,55
2020-09,60
2020-10,61
2020-11,51
2020-12,46
2021-01,50
2021-02,54
2021-03,54
2021-04,53
2021-05,55
2021-06,57
2021-07,53
2021-08,50
2021-09,53
2021-10,58
2021-11,56
2021-12,54
2022-01,70
2022-02,78
2022-03,77
2022-04,75
2022-05,71
2022-06,73
2022-07,69
2022-08,72
2022-09,80
2022-10,80
2022-11,75
2022-12,73
2023-01,78
2023-02,80
2023-03,81
2023-04,75
2023-05,77
2023-06,75
2023-07,73
2023-08,75
2023-09,88
2023-10,91
2023-11,81
2023-12,77
2024-01,82
2024-02,92
2024-03,89
2024-04,84
2024-05,85
2024-06,85
2024-07,86
2024-08,89
2024-09,94
2024-10,92
2024-11,83
2024-12,86
2025-01,100
2025-02,94
2025-03,70
