Category: All categories

Month,Get In Loser: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,14
2007-09,0
2007-10,0
2007-11,16
2007-12,19
2008-01,25
2008-02,15
2008-03,18
2008-04,14
2008-05,0
2008-06,14
2008-07,0
2008-08,12
2008-09,14
2008-10,10
2008-11,9
2008-12,22
2009-01,29
2009-02,11
2009-03,20
2009-04,20
2009-05,24
2009-06,17
2009-07,11
2009-08,11
2009-09,20
2009-10,21
2009-11,27
2009-12,24
2010-01,31
2010-02,22
2010-03,22
2010-04,21
2010-05,18
2010-06,14
2010-07,19
2010-08,15
2010-09,16
2010-10,16
2010-11,15
2010-12,22
2011-01,28
2011-02,24
2011-03,44
2011-04,30
2011-05,35
2011-06,31
2011-07,20
2011-08,15
2011-09,16
2011-10,19
2011-11,23
2011-12,16
2012-01,22
2012-02,24
2012-03,23
2012-04,20
2012-05,24
2012-06,22
2012-07,19
2012-08,17
2012-09,16
2012-10,15
2012-11,15
2012-12,16
2013-01,23
2013-02,16
2013-03,23
2013-04,16
2013-05,18
2013-06,12
2013-07,15
2013-08,16
2013-09,12
2013-10,18
2013-11,17
2013-12,13
2014-01,24
2014-02,26
2014-03,13
2014-04,20
2014-05,16
2014-06,14
2014-07,19
2014-08,15
2014-09,19
2014-10,18
2014-11,17
2014-12,17
2015-01,20
2015-02,18
2015-03,14
2015-04,16
2015-05,18
2015-06,17
2015-07,17
2015-08,15
2015-09,16
2015-10,17
2015-11,15
2015-12,16
2016-01,30
2016-02,29
2016-03,25
2016-04,26
2016-05,26
2016-06,27
2016-07,45
2016-08,33
2016-09,27
2016-10,31
2016-11,33
2016-12,41
2017-01,38
2017-02,33
2017-03,37
2017-04,42
2017-05,37
2017-06,38
2017-07,40
2017-08,49
2017-09,37
2017-10,51
2017-11,38
2017-12,45
2018-01,35
2018-02,36
2018-03,39
2018-04,41
2018-05,40
2018-06,40
2018-07,45
2018-08,45
2018-09,46
2018-10,55
2018-11,51
2018-12,57
2019-01,50
2019-02,53
2019-03,60
2019-04,54
2019-05,50
2019-06,66
2019-07,61
2019-08,56
2019-09,52
2019-10,57
2019-11,47
2019-12,48
2020-01,49
2020-02,44
2020-03,46
2020-04,50
2020-05,82
2020-06,83
2020-07,87
2020-08,100
2020-09,81
2020-10,70
2020-11,71
2020-12,59
2021-01,66
2021-02,69
2021-03,57
2021-04,65
2021-05,60
2021-06,58
2021-07,60
2021-08,52
2021-09,72
2021-10,59
2021-11,50
2021-12,49
2022-01,58
2022-02,52
2022-03,47
2022-04,55
2022-05,59
2022-06,53
2022-07,59
2022-08,54
2022-09,57
2022-10,56
2022-11,56
2022-12,46
2023-01,46
2023-02,48
2023-03,47
2023-04,44
2023-05,44
2023-06,48
2023-07,51
2023-08,48
2023-09,58
2023-10,57
2023-11,53
2023-12,57
2024-01,65
2024-02,64
2024-03,59
2024-04,53
2024-05,53
2024-06,55
2024-07,57
2024-08,62
2024-09,56
2024-10,64
2024-11,57
2024-12,54
2025-01,53
2025-02,53
