Category: All categories

Month,Good Guy Greg: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,6
2011-06,26
2011-07,25
2011-08,49
2011-09,52
2011-10,49
2011-11,63
2011-12,100
2012-01,88
2012-02,74
2012-03,56
2012-04,65
2012-05,48
2012-06,42
2012-07,38
2012-08,41
2012-09,40
2012-10,29
2012-11,44
2012-12,33
2013-01,31
2013-02,27
2013-03,25
2013-04,23
2013-05,23
2013-06,24
2013-07,23
2013-08,19
2013-09,17
2013-10,16
2013-11,16
2013-12,15
2014-01,15
2014-02,14
2014-03,14
2014-04,12
2014-05,11
2014-06,10
2014-07,9
2014-08,9
2014-09,8
2014-10,8
2014-11,7
2014-12,7
2015-01,7
2015-02,8
2015-03,7
2015-04,7
2015-05,6
2015-06,5
2015-07,5
2015-08,5
2015-09,5
2015-10,6
2015-11,5
2015-12,6
2016-01,5
2016-02,4
2016-03,4
2016-04,4
2016-05,4
2016-06,3
2016-07,4
2016-08,3
2016-09,4
2016-10,3
2016-11,3
2016-12,3
2017-01,3
2017-02,3
2017-03,3
2017-04,3
2017-05,3
2017-06,3
2017-07,2
2017-08,2
2017-09,2
2017-10,2
2017-11,2
2017-12,2
2018-01,2
2018-02,2
2018-03,2
2018-04,2
2018-05,2
2018-06,2
2018-07,2
2018-08,2
2018-09,2
2018-10,2
2018-11,2
2018-12,2
2019-01,2
2019-02,1
2019-03,1
2019-04,2
2019-05,1
2019-06,1
2019-07,1
2019-08,2
2019-09,1
2019-10,1
2019-11,1
2019-12,2
2020-01,1
2020-02,1
2020-03,1
2020-04,2
2020-05,1
2020-06,1
2020-07,1
2020-08,1
2020-09,1
2020-10,1
2020-11,1
2020-12,1
2021-01,1
2021-02,1
2021-03,1
2021-04,1
2021-05,1
2021-06,1
2021-07,1
2021-08,1
2021-09,1
2021-10,1
2021-11,1
2021-12,1
2022-01,1
2022-02,1
2022-03,1
2022-04,1
2022-05,1
2022-06,1
2022-07,1
2022-08,1
2022-09,1
2022-10,1
2022-11,1
2022-12,1
2023-01,1
2023-02,1
2023-03,1
2023-04,1
2023-05,1
2023-06,<1
2023-07,1
2023-08,1
2023-09,1
2023-10,1
2023-11,1
2023-12,1
2024-01,1
2024-02,1
2024-03,1
2024-04,1
2024-05,1
2024-06,<1
2024-07,1
2024-08,1
2024-09,1
2024-10,1
2024-11,1
2024-12,1
2025-01,<1
2025-02,<1
