Category: All categories

Month,Chef Gordon Ramsay: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,27
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,21
2005-07,0
2005-08,19
2005-09,0
2005-10,0
2005-11,13
2005-12,20
2006-01,0
2006-02,14
2006-03,10
2006-04,13
2006-05,11
2006-06,17
2006-07,14
2006-08,30
2006-09,11
2006-10,11
2006-11,9
2006-12,19
2007-01,11
2007-02,10
2007-03,7
2007-04,0
2007-05,12
2007-06,21
2007-07,17
2007-08,16
2007-09,21
2007-10,26
2007-11,36
2007-12,32
2008-01,24
2008-02,20
2008-03,20
2008-04,30
2008-05,27
2008-06,26
2008-07,23
2008-08,20
2008-09,22
2008-10,17
2008-11,31
2008-12,23
2009-01,25
2009-02,26
2009-03,25
2009-04,30
2009-05,21
2009-06,26
2009-07,20
2009-08,27
2009-09,26
2009-10,34
2009-11,30
2009-12,42
2010-01,45
2010-02,34
2010-03,37
2010-04,36
2010-05,26
2010-06,47
2010-07,63
2010-08,76
2010-09,84
2010-10,58
2010-11,58
2010-12,52
2011-01,55
2011-02,48
2011-03,40
2011-04,45
2011-05,40
2011-06,51
2011-07,62
2011-08,88
2011-09,60
2011-10,47
2011-11,50
2011-12,55
2012-01,43
2012-02,42
2012-03,44
2012-04,39
2012-05,48
2012-06,64
2012-07,73
2012-08,75
2012-09,84
2012-10,53
2012-11,53
2012-12,65
2013-01,64
2013-02,50
2013-03,69
2013-04,72
2013-05,92
2013-06,91
2013-07,88
2013-08,69
2013-09,66
2013-10,66
2013-11,65
2013-12,66
2014-01,62
2014-02,49
2014-03,53
2014-04,57
2014-05,63
2014-06,63
2014-07,77
2014-08,74
2014-09,80
2014-10,61
2014-11,66
2014-12,84
2015-01,73
2015-02,61
2015-03,54
2015-04,58
2015-05,58
2015-06,61
2015-07,69
2015-08,63
2015-09,60
2015-10,54
2015-11,63
2015-12,65
2016-01,69
2016-02,61
2016-03,50
2016-04,49
2016-05,50
2016-06,56
2016-07,65
2016-08,48
2016-09,50
2016-10,49
2016-11,50
2016-12,49
2017-01,53
2017-02,57
2017-03,55
2017-04,70
2017-05,56
2017-06,61
2017-07,69
2017-08,63
2017-09,58
2017-10,56
2017-11,66
2017-12,65
2018-01,62
2018-02,55
2018-03,63
2018-04,67
2018-05,55
2018-06,63
2018-07,62
2018-08,61
2018-09,61
2018-10,56
2018-11,60
2018-12,62
2019-01,78
2019-02,67
2019-03,60
2019-04,57
2019-05,52
2019-06,50
2019-07,62
2019-08,68
2019-09,59
2019-10,50
2019-11,55
2019-12,58
2020-01,69
2020-02,58
2020-03,55
2020-04,86
2020-05,71
2020-06,67
2020-07,67
2020-08,67
2020-09,64
2020-10,62
2020-11,73
2020-12,83
2021-01,91
2021-02,76
2021-03,63
2021-04,68
2021-05,59
2021-06,71
2021-07,67
2021-08,63
2021-09,58
2021-10,50
2021-11,55
2021-12,61
2022-01,100
2022-02,67
2022-03,62
2022-04,55
2022-05,58
2022-06,63
2022-07,60
2022-08,57
2022-09,57
2022-10,48
2022-11,48
2022-12,52
2023-01,74
2023-02,74
2023-03,53
2023-04,50
2023-05,59
2023-06,57
2023-07,52
2023-08,51
2023-09,53
2023-10,52
2023-11,63
2023-12,59
2024-01,67
2024-02,56
2024-03,50
2024-04,49
2024-05,50
2024-06,57
2024-07,53
2024-08,45
2024-09,54
2024-10,44
2024-11,45
2024-12,44
2025-01,61
2025-02,58
