Category: All categories

Month,Guess I'll die: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,2
2016-02,0
2016-03,2
2016-04,3
2016-05,3
2016-06,4
2016-07,5
2016-08,6
2016-09,13
2016-10,23
2016-11,36
2016-12,24
2017-01,26
2017-02,34
2017-03,44
2017-04,54
2017-05,52
2017-06,46
2017-07,42
2017-08,66
2017-09,40
2017-10,90
2017-11,98
2017-12,100
2018-01,93
2018-02,69
2018-03,70
2018-04,78
2018-05,75
2018-06,73
2018-07,64
2018-08,60
2018-09,80
2018-10,77
2018-11,72
2018-12,67
2019-01,95
2019-02,72
2019-03,62
2019-04,57
2019-05,57
2019-06,52
2019-07,48
2019-08,49
2019-09,48
2019-10,44
2019-11,45
2019-12,38
2020-01,48
2020-02,44
2020-03,77
2020-04,56
2020-05,38
2020-06,42
2020-07,39
2020-08,39
2020-09,39
2020-10,34
2020-11,35
2020-12,33
2021-01,26
2021-02,28
2021-03,27
2021-04,24
2021-05,25
2021-06,25
2021-07,21
2021-08,20
2021-09,16
2021-10,19
2021-11,17
2021-12,21
2022-01,29
2022-02,23
2022-03,25
2022-04,19
2022-05,16
2022-06,14
2022-07,12
2022-08,13
2022-09,13
2022-10,13
2022-11,13
2022-12,11
2023-01,13
2023-02,11
2023-03,13
2023-04,13
2023-05,8
2023-06,13
2023-07,10
2023-08,11
2023-09,12
2023-10,15
2023-11,12
2023-12,10
2024-01,12
2024-02,12
2024-03,8
2024-04,12
2024-05,11
2024-06,10
2024-07,12
2024-08,9
2024-09,10
2024-10,10
2024-11,12
2024-12,8
2025-01,10
2025-02,8
