Category: All categories

Month,I believe in supremacy: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,4
2012-02,0
2012-03,3
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,3
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,2
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,2
2016-09,0
2016-10,0
2016-11,2
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,2
2017-09,0
2017-10,0
2017-11,3
2017-12,0
2018-01,2
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,3
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,2
2020-02,2
2020-03,3
2020-04,3
2020-05,4
2020-06,11
2020-07,13
2020-08,18
2020-09,26
2020-10,30
2020-11,44
2020-12,55
2021-01,67
2021-02,98
2021-03,98
2021-04,100
2021-05,96
2021-06,92
2021-07,77
2021-08,68
2021-09,48
2021-10,50
2021-11,42
2021-12,38
2022-01,45
2022-02,44
2022-03,44
2022-04,40
2022-05,41
2022-06,41
2022-07,39
2022-08,38
2022-09,30
2022-10,29
2022-11,27
2022-12,28
2023-01,25
2023-02,26
2023-03,22
2023-04,22
2023-05,22
2023-06,21
2023-07,21
2023-08,17
2023-09,17
2023-10,16
2023-11,15
2023-12,15
2024-01,17
2024-02,18
2024-03,14
2024-04,14
2024-05,14
2024-06,14
2024-07,18
2024-08,15
2024-09,13
2024-10,13
2024-11,12
2024-12,14
2025-01,14
2025-02,13
