Category: All categories

Month,Say it Again: (Worldwide),Dexter: (Worldwide)
2004-01,<1,12
2004-02,<1,12
2004-03,0,12
2004-04,<1,11
2004-05,<1,11
2004-06,<1,11
2004-07,<1,11
2004-08,<1,11
2004-09,<1,11
2004-10,<1,10
2004-11,<1,10
2004-12,<1,10
2005-01,<1,10
2005-02,<1,10
2005-03,<1,10
2005-04,<1,10
2005-05,<1,10
2005-06,<1,10
2005-07,<1,10
2005-08,<1,11
2005-09,<1,10
2005-10,<1,10
2005-11,<1,10
2005-12,<1,9
2006-01,<1,9
2006-02,<1,8
2006-03,<1,9
2006-04,<1,8
2006-05,<1,8
2006-06,<1,9
2006-07,<1,8
2006-08,<1,9
2006-09,<1,9
2006-10,<1,16
2006-11,<1,15
2006-12,<1,19
2007-01,<1,15
2007-02,<1,13
2007-03,<1,12
2007-04,<1,13
2007-05,<1,15
2007-06,<1,17
2007-07,<1,18
2007-08,<1,18
2007-09,<1,23
2007-10,<1,30
2007-11,<1,37
2007-12,<1,41
2008-01,<1,27
2008-02,1,29
2008-03,1,30
2008-04,1,27
2008-05,1,26
2008-06,1,24
2008-07,1,28
2008-08,1,28
2008-09,1,42
2008-10,1,46
2008-11,1,43
2008-12,<1,50
2009-01,<1,38
2009-02,<1,31
2009-03,<1,31
2009-04,<1,27
2009-05,<1,29
2009-06,<1,29
2009-07,<1,29
2009-08,1,38
2009-09,<1,48
2009-10,<1,55
2009-11,<1,61
2009-12,<1,82
2010-01,<1,53
2010-02,<1,45
2010-03,<1,45
2010-04,<1,40
2010-05,<1,37
2010-06,<1,38
2010-07,<1,41
2010-08,<1,47
2010-09,<1,72
2010-10,<1,77
2010-11,<1,86
2010-12,<1,89
2011-01,<1,58
2011-02,<1,45
2011-03,<1,44
2011-04,<1,41
2011-05,<1,43
2011-06,<1,42
2011-07,<1,45
2011-08,<1,42
2011-09,<1,52
2011-10,<1,81
2011-11,<1,74
2011-12,<1,79
2012-01,<1,48
2012-02,<1,38
2012-03,<1,37
2012-04,<1,35
2012-05,<1,32
2012-06,<1,34
2012-07,<1,37
2012-08,<1,39
2012-09,<1,52
2012-10,<1,83
2012-11,<1,76
2012-12,<1,82
2013-01,<1,49
2013-02,<1,40
2013-03,<1,38
2013-04,<1,35
2013-05,<1,34
2013-06,<1,47
2013-07,<1,81
2013-08,<1,77
2013-09,<1,100
2013-10,<1,47
2013-11,<1,43
2013-12,<1,41
2014-01,<1,46
2014-02,<1,38
2014-03,<1,30
2014-04,<1,29
2014-05,<1,28
2014-06,<1,26
2014-07,<1,28
2014-08,<1,28
2014-09,<1,26
2014-10,<1,25
2014-11,<1,22
2014-12,<1,23
2015-01,<1,25
2015-02,<1,23
2015-03,<1,22
2015-04,<1,21
2015-05,<1,21
2015-06,<1,21
2015-07,<1,21
2015-08,<1,22
2015-09,<1,23
2015-10,<1,20
2015-11,<1,20
2015-12,<1,22
2016-01,<1,21
2016-02,<1,21
2016-03,<1,19
2016-04,<1,18
2016-05,<1,18
2016-06,<1,19
2016-07,<1,20
2016-08,<1,19
2016-09,<1,19
2016-10,<1,18
2016-11,<1,17
2016-12,<1,18
2017-01,<1,19
2017-02,<1,17
2017-03,<1,18
2017-04,<1,17
2017-05,<1,16
2017-06,<1,17
2017-07,<1,17
2017-08,<1,16
2017-09,<1,17
2017-10,<1,16
2017-11,<1,15
2017-12,<1,16
2018-01,<1,16
2018-02,<1,16
2018-03,<1,20
2018-04,<1,16
2018-05,<1,18
2018-06,<1,15
2018-07,<1,16
2018-08,<1,15
2018-09,<1,15
2018-10,<1,14
2018-11,1,15
2018-12,<1,16
2019-01,<1,15
2019-02,<1,15
2019-03,<1,15
2019-04,<1,15
2019-05,<1,16
2019-06,<1,14
2019-07,<1,14
2019-08,<1,15
2019-09,<1,13
2019-10,<1,14
2019-11,<1,12
2019-12,<1,14
2020-01,<1,16
2020-02,<1,14
2020-03,<1,13
2020-04,<1,16
2020-05,<1,16
2020-06,<1,15
2020-07,<1,15
2020-08,<1,16
2020-09,<1,14
2020-10,<1,20
2020-11,<1,15
2020-12,<1,16
2021-01,<1,14
2021-02,<1,14
2021-03,<1,13
2021-04,<1,15
2021-05,<1,16
2021-06,<1,14
2021-07,<1,17
2021-08,<1,17
2021-09,<1,15
2021-10,<1,18
2021-11,<1,43
2021-12,<1,37
2022-01,<1,42
2022-02,<1,18
2022-03,<1,15
2022-04,<1,14
2022-05,<1,14
2022-06,<1,13
2022-07,<1,14
2022-08,<1,13
2022-09,<1,12
2022-10,<1,13
2022-11,<1,12
2022-12,<1,12
2023-01,<1,12
2023-02,<1,12
2023-03,<1,12
2023-04,<1,11
2023-05,<1,12
2023-06,<1,12
2023-07,<1,13
2023-08,<1,12
2023-09,<1,11
2023-10,<1,12
2023-11,<1,12
2023-12,<1,12
2024-01,<1,15
2024-02,<1,15
2024-03,<1,13
2024-04,<1,27
2024-05,<1,25
2024-06,<1,28
2024-07,<1,31
2024-08,<1,33
2024-09,<1,37
2024-10,<1,32
2024-11,<1,31
2024-12,<1,49
2025-01,<1,55
2025-02,<1,55
