Category: All categories

Month,You know: (Worldwide),I'm something of a scientist myself: (Worldwide)
2004-01,40,0
2004-02,38,0
2004-03,40,0
2004-04,41,0
2004-05,42,0
2004-06,41,0
2004-07,40,0
2004-08,40,0
2004-09,42,0
2004-10,42,0
2004-11,43,0
2004-12,46,0
2005-01,42,0
2005-02,45,0
2005-03,47,0
2005-04,48,0
2005-05,46,0
2005-06,44,0
2005-07,49,0
2005-08,51,0
2005-09,52,0
2005-10,49,0
2005-11,49,0
2005-12,53,0
2006-01,49,0
2006-02,49,0
2006-03,53,0
2006-04,54,0
2006-05,50,0
2006-06,46,0
2006-07,50,0
2006-08,51,0
2006-09,50,0
2006-10,51,0
2006-11,60,<1
2006-12,61,0
2007-01,54,0
2007-02,54,0
2007-03,49,0
2007-04,52,0
2007-05,57,0
2007-06,67,0
2007-07,65,0
2007-08,63,0
2007-09,57,0
2007-10,57,0
2007-11,58,0
2007-12,59,0
2008-01,54,0
2008-02,53,0
2008-03,53,0
2008-04,53,0
2008-05,54,0
2008-06,54,0
2008-07,52,0
2008-08,56,0
2008-09,56,0
2008-10,50,0
2008-11,57,0
2008-12,57,0
2009-01,56,0
2009-02,57,0
2009-03,58,0
2009-04,63,0
2009-05,66,0
2009-06,71,0
2009-07,76,0
2009-08,83,0
2009-09,77,0
2009-10,74,0
2009-11,74,0
2009-12,74,0
2010-01,71,0
2010-02,70,0
2010-03,68,0
2010-04,71,0
2010-05,68,0
2010-06,65,0
2010-07,67,0
2010-08,68,0
2010-09,70,0
2010-10,69,0
2010-11,70,0
2010-12,78,0
2011-01,80,0
2011-02,80,0
2011-03,79,0
2011-04,81,0
2011-05,77,0
2011-06,76,0
2011-07,73,0
2011-08,83,0
2011-09,77,0
2011-10,82,0
2011-11,79,0
2011-12,87,0
2012-01,83,0
2012-02,82,0
2012-03,80,0
2012-04,81,0
2012-05,78,0
2012-06,79,0
2012-07,75,0
2012-08,77,0
2012-09,78,0
2012-10,73,0
2012-11,74,0
2012-12,77,0
2013-01,76,0
2013-02,81,0
2013-03,77,0
2013-04,79,0
2013-05,76,0
2013-06,74,0
2013-07,80,0
2013-08,79,0
2013-09,77,0
2013-10,77,0
2013-11,76,0
2013-12,77,0
2014-01,77,0
2014-02,75,0
2014-03,72,0
2014-04,74,0
2014-05,73,0
2014-06,73,0
2014-07,73,0
2014-08,73,0
2014-09,69,0
2014-10,73,0
2014-11,72,0
2014-12,76,0
2015-01,73,0
2015-02,76,0
2015-03,77,0
2015-04,80,0
2015-05,80,0
2015-06,76,0
2015-07,75,0
2015-08,79,0
2015-09,78,0
2015-10,71,0
2015-11,76,0
2015-12,86,0
2016-01,91,0
2016-02,89,0
2016-03,86,0
2016-04,86,0
2016-05,86,0
2016-06,84,0
2016-07,81,0
2016-08,89,0
2016-09,91,0
2016-10,95,0
2016-11,89,0
2016-12,97,0
2017-01,88,0
2017-02,89,0
2017-03,93,0
2017-04,91,0
2017-05,88,0
2017-06,91,0
2017-07,93,0
2017-08,87,0
2017-09,83,0
2017-10,87,0
2017-11,89,0
2017-12,89,0
2018-01,98,0
2018-02,90,<1
2018-03,89,<1
2018-04,85,<1
2018-05,84,<1
2018-06,81,<1
2018-07,83,<1
2018-08,81,<1
2018-09,82,<1
2018-10,83,<1
2018-11,77,<1
2018-12,83,<1
2019-01,81,<1
2019-02,82,<1
2019-03,82,<1
2019-04,77,<1
2019-05,78,<1
2019-06,76,<1
2019-07,80,<1
2019-08,82,<1
2019-09,85,<1
2019-10,79,<1
2019-11,81,<1
2019-12,84,<1
2020-01,84,<1
2020-02,85,<1
2020-03,87,<1
2020-04,100,<1
2020-05,96,<1
2020-06,86,<1
2020-07,92,<1
2020-08,88,<1
2020-09,93,<1
2020-10,88,<1
2020-11,81,<1
2020-12,87,<1
2021-01,84,<1
2021-02,88,<1
2021-03,85,<1
2021-04,86,<1
2021-05,86,<1
2021-06,87,<1
2021-07,82,<1
2021-08,83,<1
2021-09,84,<1
2021-10,88,<1
2021-11,86,<1
2021-12,87,<1
2022-01,91,<1
2022-02,91,<1
2022-03,91,<1
2022-04,93,<1
2022-05,93,<1
2022-06,92,<1
2022-07,90,<1
2022-08,86,<1
2022-09,89,<1
2022-10,87,<1
2022-11,85,<1
2022-12,88,<1
2023-01,86,<1
2023-02,90,<1
2023-03,87,<1
2023-04,85,<1
2023-05,86,<1
2023-06,83,<1
2023-07,80,<1
2023-08,82,<1
2023-09,85,<1
2023-10,83,<1
2023-11,80,<1
2023-12,84,<1
2024-01,87,<1
2024-02,89,<1
2024-03,83,<1
2024-04,83,<1
2024-05,84,<1
2024-06,79,<1
2024-07,82,<1
2024-08,83,<1
2024-09,84,<1
2024-10,85,<1
2024-11,84,<1
2024-12,91,<1
2025-01,86,<1
2025-02,88,<1
2025-03,84,<1
