Category: All categories

Month,How Tough Are You: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,15
2009-06,21
2009-07,0
2009-08,0
2009-09,13
2009-10,12
2009-11,17
2009-12,17
2010-01,26
2010-02,18
2010-03,20
2010-04,13
2010-05,12
2010-06,14
2010-07,16
2010-08,15
2010-09,18
2010-10,18
2010-11,21
2010-12,15
2011-01,19
2011-02,30
2011-03,22
2011-04,26
2011-05,21
2011-06,20
2011-07,20
2011-08,25
2011-09,25
2011-10,13
2011-11,22
2011-12,15
2012-01,28
2012-02,20
2012-03,17
2012-04,27
2012-05,28
2012-06,26
2012-07,52
2012-08,55
2012-09,44
2012-10,40
2012-11,43
2012-12,37
2013-01,35
2013-02,39
2013-03,30
2013-04,52
2013-05,32
2013-06,30
2013-07,31
2013-08,27
2013-09,25
2013-10,23
2013-11,22
2013-12,25
2014-01,29
2014-02,34
2014-03,32
2014-04,29
2014-05,28
2014-06,31
2014-07,35
2014-08,33
2014-09,39
2014-10,41
2014-11,42
2014-12,48
2015-01,41
2015-02,41
2015-03,35
2015-04,38
2015-05,36
2015-06,39
2015-07,27
2015-08,38
2015-09,34
2015-10,39
2015-11,31
2015-12,32
2016-01,31
2016-02,37
2016-03,42
2016-04,40
2016-05,35
2016-06,36
2016-07,32
2016-08,36
2016-09,36
2016-10,41
2016-11,34
2016-12,40
2017-01,46
2017-02,38
2017-03,37
2017-04,75
2017-05,50
2017-06,35
2017-07,38
2017-08,40
2017-09,40
2017-10,39
2017-11,40
2017-12,34
2018-01,32
2018-02,36
2018-03,43
2018-04,48
2018-05,39
2018-06,30
2018-07,32
2018-08,29
2018-09,36
2018-10,38
2018-11,35
2018-12,29
2019-01,41
2019-02,47
2019-03,42
2019-04,46
2019-05,41
2019-06,40
2019-07,34
2019-08,33
2019-09,40
2019-10,42
2019-11,36
2019-12,37
2020-01,41
2020-02,46
2020-03,46
2020-04,63
2020-05,59
2020-06,54
2020-07,41
2020-08,42
2020-09,56
2020-10,60
2020-11,53
2020-12,49
2021-01,46
2021-02,58
2021-03,61
2021-04,50
2021-05,54
2021-06,51
2021-07,51
2021-08,38
2021-09,50
2021-10,59
2021-11,56
2021-12,50
2022-01,61
2022-02,75
2022-03,85
2022-04,74
2022-05,72
2022-06,63
2022-07,65
2022-08,49
2022-09,68
2022-10,82
2022-11,73
2022-12,64
2023-01,63
2023-02,80
2023-03,74
2023-04,78
2023-05,83
2023-06,56
2023-07,45
2023-08,46
2023-09,69
2023-10,74
2023-11,64
2023-12,62
2024-01,62
2024-02,84
2024-03,76
2024-04,83
2024-05,72
2024-06,61
2024-07,60
2024-08,61
2024-09,88
2024-10,89
2024-11,83
2024-12,71
2025-01,79
2025-02,100
2025-03,61
