Category: All categories

Month,Butterfly man: (Worldwide)
2004-01,67
2004-02,100
2004-03,0
2004-04,66
2004-05,90
2004-06,60
2004-07,41
2004-08,73
2004-09,68
2004-10,68
2004-11,63
2004-12,38
2005-01,46
2005-02,69
2005-03,44
2005-04,49
2005-05,59
2005-06,44
2005-07,48
2005-08,52
2005-09,60
2005-10,45
2005-11,47
2005-12,41
2006-01,31
2006-02,39
2006-03,39
2006-04,47
2006-05,32
2006-06,47
2006-07,52
2006-08,50
2006-09,53
2006-10,66
2006-11,53
2006-12,40
2007-01,48
2007-02,41
2007-03,42
2007-04,52
2007-05,70
2007-06,62
2007-07,60
2007-08,53
2007-09,52
2007-10,48
2007-11,45
2007-12,58
2008-01,58
2008-02,53
2008-03,54
2008-04,58
2008-05,65
2008-06,47
2008-07,48
2008-08,57
2008-09,46
2008-10,47
2008-11,47
2008-12,48
2009-01,46
2009-02,51
2009-03,68
2009-04,70
2009-05,60
2009-06,57
2009-07,52
2009-08,53
2009-09,57
2009-10,50
2009-11,56
2009-12,53
2010-01,50
2010-02,48
2010-03,56
2010-04,63
2010-05,63
2010-06,54
2010-07,53
2010-08,56
2010-09,53
2010-10,55
2010-11,51
2010-12,53
2011-01,53
2011-02,43
2011-03,43
2011-04,48
2011-05,45
2011-06,48
2011-07,48
2011-08,52
2011-09,46
2011-10,49
2011-11,50
2011-12,42
2012-01,44
2012-02,46
2012-03,44
2012-04,44
2012-05,65
2012-06,55
2012-07,58
2012-08,58
2012-09,54
2012-10,50
2012-11,50
2012-12,50
2013-01,50
2013-02,83
2013-03,83
2013-04,69
2013-05,57
2013-06,56
2013-07,59
2013-08,61
2013-09,52
2013-10,62
2013-11,48
2013-12,48
2014-01,48
2014-02,49
2014-03,47
2014-04,50
2014-05,52
2014-06,47
2014-07,49
2014-08,51
2014-09,47
2014-10,40
2014-11,40
2014-12,40
2015-01,41
2015-02,46
2015-03,91
2015-04,63
2015-05,56
2015-06,47
2015-07,51
2015-08,48
2015-09,53
2015-10,47
2015-11,46
2015-12,55
2016-01,51
2016-02,51
2016-03,47
2016-04,47
2016-05,51
2016-06,48
2016-07,45
2016-08,54
2016-09,43
2016-10,43
2016-11,41
2016-12,39
2017-01,42
2017-02,41
2017-03,42
2017-04,46
2017-05,64
2017-06,57
2017-07,53
2017-08,47
2017-09,43
2017-10,43
2017-11,42
2017-12,42
2018-01,41
2018-02,41
2018-03,41
2018-04,44
2018-05,44
2018-06,42
2018-07,40
2018-08,42
2018-09,38
2018-10,39
2018-11,36
2018-12,39
2019-01,35
2019-02,39
2019-03,41
2019-04,39
2019-05,37
2019-06,36
2019-07,40
2019-08,40
2019-09,39
2019-10,36
2019-11,36
2019-12,36
2020-01,33
2020-02,38
2020-03,45
2020-04,50
2020-05,47
2020-06,47
2020-07,47
2020-08,44
2020-09,44
2020-10,47
2020-11,40
2020-12,42
2021-01,42
2021-02,42
2021-03,45
2021-04,44
2021-05,44
2021-06,42
2021-07,47
2021-08,46
2021-09,46
2021-10,44
2021-11,40
2021-12,45
2022-01,57
2022-02,52
2022-03,70
2022-04,58
2022-05,52
2022-06,54
2022-07,54
2022-08,55
2022-09,55
2022-10,48
2022-11,47
2022-12,45
2023-01,51
2023-02,53
2023-03,52
2023-04,52
2023-05,51
2023-06,53
2023-07,50
2023-08,52
2023-09,46
2023-10,47
2023-11,41
2023-12,41
2024-01,47
2024-02,47
2024-03,48
2024-04,46
2024-05,49
2024-06,46
2024-07,47
2024-08,48
2024-09,45
2024-10,46
2024-11,43
2024-12,48
2025-01,47
2025-02,47
