Category: All categories

Month,Live reaction: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,15
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,9
2005-06,0
2005-07,13
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,11
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,7
2006-08,0
2006-09,0
2006-10,5
2006-11,5
2006-12,0
2007-01,7
2007-02,5
2007-03,5
2007-04,4
2007-05,4
2007-06,4
2007-07,7
2007-08,5
2007-09,8
2007-10,5
2007-11,6
2007-12,5
2008-01,6
2008-02,6
2008-03,6
2008-04,5
2008-05,5
2008-06,6
2008-07,6
2008-08,6
2008-09,12
2008-10,13
2008-11,12
2008-12,7
2009-01,8
2009-02,8
2009-03,8
2009-04,7
2009-05,9
2009-06,9
2009-07,6
2009-08,5
2009-09,9
2009-10,12
2009-11,13
2009-12,11
2010-01,9
2010-02,10
2010-03,8
2010-04,13
2010-05,10
2010-06,11
2010-07,11
2010-08,8
2010-09,10
2010-10,10
2010-11,10
2010-12,10
2011-01,11
2011-02,11
2011-03,15
2011-04,15
2011-05,17
2011-06,10
2011-07,18
2011-08,9
2011-09,10
2011-10,14
2011-11,14
2011-12,13
2012-01,11
2012-02,14
2012-03,13
2012-04,13
2012-05,12
2012-06,11
2012-07,10
2012-08,10
2012-09,13
2012-10,23
2012-11,14
2012-12,12
2013-01,12
2013-02,15
2013-03,11
2013-04,14
2013-05,14
2013-06,11
2013-07,14
2013-08,13
2013-09,14
2013-10,13
2013-11,14
2013-12,17
2014-01,13
2014-02,15
2014-03,14
2014-04,15
2014-05,17
2014-06,15
2014-07,18
2014-08,16
2014-09,17
2014-10,16
2014-11,19
2014-12,17
2015-01,18
2015-02,22
2015-03,18
2015-04,21
2015-05,19
2015-06,18
2015-07,18
2015-08,18
2015-09,20
2015-10,22
2015-11,22
2015-12,22
2016-01,22
2016-02,31
2016-03,26
2016-04,30
2016-05,25
2016-06,30
2016-07,23
2016-08,21
2016-09,32
2016-10,31
2016-11,59
2016-12,28
2017-01,30
2017-02,28
2017-03,29
2017-04,30
2017-05,28
2017-06,28
2017-07,23
2017-08,22
2017-09,21
2017-10,22
2017-11,21
2017-12,20
2018-01,22
2018-02,24
2018-03,23
2018-04,25
2018-05,21
2018-06,20
2018-07,24
2018-08,20
2018-09,25
2018-10,25
2018-11,24
2018-12,22
2019-01,21
2019-02,32
2019-03,26
2019-04,26
2019-05,30
2019-06,26
2019-07,25
2019-08,23
2019-09,21
2019-10,21
2019-11,24
2019-12,19
2020-01,26
2020-02,25
2020-03,24
2020-04,29
2020-05,28
2020-06,25
2020-07,23
2020-08,25
2020-09,34
2020-10,37
2020-11,44
2020-12,29
2021-01,29
2021-02,27
2021-03,31
2021-04,37
2021-05,30
2021-06,28
2021-07,27
2021-08,25
2021-09,31
2021-10,31
2021-11,28
2021-12,27
2022-01,33
2022-02,41
2022-03,100
2022-04,80
2022-05,61
2022-06,57
2022-07,47
2022-08,45
2022-09,53
2022-10,54
2022-11,55
2022-12,49
2023-01,52
2023-02,52
2023-03,52
2023-04,57
2023-05,61
2023-06,49
2023-07,41
2023-08,47
2023-09,57
2023-10,55
2023-11,63
2023-12,47
2024-01,51
2024-02,57
2024-03,53
2024-04,56
2024-05,51
2024-06,49
2024-07,45
2024-08,44
2024-09,50
2024-10,52
2024-11,56
2024-12,49
2025-01,47
2025-02,53
