Category: All categories

Month,Look At Me: (Worldwide)
2004-01,6
2004-02,6
2004-03,6
2004-04,8
2004-05,9
2004-06,8
2004-07,8
2004-08,8
2004-09,7
2004-10,7
2004-11,8
2004-12,8
2005-01,8
2005-02,9
2005-03,10
2005-04,11
2005-05,10
2005-06,9
2005-07,8
2005-08,8
2005-09,9
2005-10,8
2005-11,8
2005-12,8
2006-01,8
2006-02,9
2006-03,8
2006-04,8
2006-05,8
2006-06,8
2006-07,8
2006-08,8
2006-09,8
2006-10,8
2006-11,8
2006-12,7
2007-01,8
2007-02,9
2007-03,8
2007-04,8
2007-05,8
2007-06,9
2007-07,9
2007-08,9
2007-09,8
2007-10,9
2007-11,8
2007-12,8
2008-01,7
2008-02,8
2008-03,8
2008-04,7
2008-05,8
2008-06,8
2008-07,9
2008-08,9
2008-09,9
2008-10,9
2008-11,7
2008-12,8
2009-01,7
2009-02,9
2009-03,8
2009-04,8
2009-05,9
2009-06,8
2009-07,9
2009-08,8
2009-09,9
2009-10,9
2009-11,9
2009-12,9
2010-01,9
2010-02,11
2010-03,10
2010-04,11
2010-05,11
2010-06,10
2010-07,10
2010-08,10
2010-09,10
2010-10,9
2010-11,10
2010-12,9
2011-01,23
2011-02,36
2011-03,66
2011-04,96
2011-05,100
2011-06,78
2011-07,66
2011-08,53
2011-09,46
2011-10,41
2011-11,34
2011-12,32
2012-01,27
2012-02,27
2012-03,24
2012-04,21
2012-05,19
2012-06,20
2012-07,17
2012-08,16
2012-09,17
2012-10,16
2012-11,17
2012-12,16
2013-01,15
2013-02,14
2013-03,16
2013-04,14
2013-05,14
2013-06,13
2013-07,13
2013-08,13
2013-09,12
2013-10,12
2013-11,12
2013-12,12
2014-01,11
2014-02,15
2014-03,12
2014-04,11
2014-05,11
2014-06,10
2014-07,11
2014-08,11
2014-09,10
2014-10,10
2014-11,10
2014-12,10
2015-01,10
2015-02,10
2015-03,10
2015-04,10
2015-05,10
2015-06,10
2015-07,10
2015-08,10
2015-09,10
2015-10,10
2015-11,10
2015-12,9
2016-01,11
2016-02,10
2016-03,10
2016-04,10
2016-05,10
2016-06,9
2016-07,9
2016-08,8
2016-09,9
2016-10,9
2016-11,9
2016-12,9
2017-01,11
2017-02,13
2017-03,15
2017-04,16
2017-05,14
2017-06,13
2017-07,12
2017-08,14
2017-09,16
2017-10,14
2017-11,13
2017-12,12
2018-01,10
2018-02,11
2018-03,12
2018-04,11
2018-05,11
2018-06,18
2018-07,15
2018-08,12
2018-09,13
2018-10,13
2018-11,12
2018-12,13
2019-01,12
2019-02,12
2019-03,11
2019-04,11
2019-05,10
2019-06,10
2019-07,10
2019-08,10
2019-09,11
2019-10,14
2019-11,14
2019-12,13
2020-01,12
2020-02,11
2020-03,12
2020-04,12
2020-05,11
2020-06,13
2020-07,15
2020-08,13
2020-09,14
2020-10,12
2020-11,11
2020-12,12
2021-01,11
2021-02,10
2021-03,10
2021-04,10
2021-05,10
2021-06,9
2021-07,9
2021-08,9
2021-09,9
2021-10,11
2021-11,13
2021-12,12
2022-01,12
2022-02,12
2022-03,10
2022-04,10
2022-05,11
2022-06,10
2022-07,9
2022-08,9
2022-09,9
2022-10,10
2022-11,9
2022-12,10
2023-01,10
2023-02,10
2023-03,10
2023-04,10
2023-05,9
2023-06,9
2023-07,12
2023-08,12
2023-09,11
2023-10,10
2023-11,9
2023-12,9
2024-01,9
2024-02,10
2024-03,10
2024-04,10
2024-05,10
2024-06,10
2024-07,9
2024-08,9
2024-09,9
2024-10,9
2024-11,9
2024-12,9
2025-01,9
2025-02,9
