Category: All categories

Month,Matrix Morpheus: (Worldwide)
2004-01,48
2004-02,30
2004-03,31
2004-04,42
2004-05,30
2004-06,29
2004-07,26
2004-08,32
2004-09,27
2004-10,29
2004-11,41
2004-12,32
2005-01,28
2005-02,24
2005-03,25
2005-04,23
2005-05,33
2005-06,20
2005-07,16
2005-08,18
2005-09,22
2005-10,27
2005-11,28
2005-12,20
2006-01,21
2006-02,22
2006-03,17
2006-04,15
2006-05,20
2006-06,16
2006-07,16
2006-08,17
2006-09,14
2006-10,24
2006-11,18
2006-12,13
2007-01,11
2007-02,12
2007-03,10
2007-04,13
2007-05,14
2007-06,11
2007-07,13
2007-08,9
2007-09,15
2007-10,12
2007-11,13
2007-12,12
2008-01,15
2008-02,11
2008-03,12
2008-04,12
2008-05,12
2008-06,9
2008-07,10
2008-08,11
2008-09,9
2008-10,14
2008-11,11
2008-12,11
2009-01,11
2009-02,10
2009-03,9
2009-04,9
2009-05,8
2009-06,10
2009-07,9
2009-08,11
2009-09,9
2009-10,14
2009-11,13
2009-12,12
2010-01,12
2010-02,12
2010-03,13
2010-04,15
2010-05,10
2010-06,10
2010-07,11
2010-08,26
2010-09,15
2010-10,14
2010-11,13
2010-12,11
2011-01,14
2011-02,13
2011-03,12
2011-04,11
2011-05,11
2011-06,12
2011-07,12
2011-08,10
2011-09,12
2011-10,14
2011-11,12
2011-12,13
2012-01,11
2012-02,11
2012-03,12
2012-04,14
2012-05,13
2012-06,13
2012-07,15
2012-08,13
2012-09,13
2012-10,13
2012-11,12
2012-12,16
2013-01,13
2013-02,13
2013-03,13
2013-04,15
2013-05,13
2013-06,14
2013-07,11
2013-08,12
2013-09,12
2013-10,12
2013-11,13
2013-12,13
2014-01,13
2014-02,19
2014-03,15
2014-04,16
2014-05,15
2014-06,12
2014-07,12
2014-08,12
2014-09,14
2014-10,14
2014-11,12
2014-12,12
2015-01,12
2015-02,12
2015-03,10
2015-04,11
2015-05,11
2015-06,12
2015-07,12
2015-08,13
2015-09,15
2015-10,14
2015-11,13
2015-12,13
2016-01,13
2016-02,12
2016-03,12
2016-04,13
2016-05,12
2016-06,11
2016-07,10
2016-08,10
2016-09,10
2016-10,13
2016-11,11
2016-12,10
2017-01,11
2017-02,11
2017-03,12
2017-04,12
2017-05,12
2017-06,11
2017-07,11
2017-08,11
2017-09,11
2017-10,11
2017-11,11
2017-12,10
2018-01,10
2018-02,10
2018-03,11
2018-04,11
2018-05,12
2018-06,10
2018-07,9
2018-08,10
2018-09,11
2018-10,11
2018-11,12
2018-12,11
2019-01,11
2019-02,12
2019-03,12
2019-04,12
2019-05,15
2019-06,16
2019-07,15
2019-08,18
2019-09,13
2019-10,14
2019-11,14
2019-12,14
2020-01,13
2020-02,15
2020-03,14
2020-04,16
2020-05,17
2020-06,15
2020-07,13
2020-08,15
2020-09,15
2020-10,13
2020-11,14
2020-12,14
2021-01,16
2021-02,13
2021-03,12
2021-04,13
2021-05,13
2021-06,13
2021-07,13
2021-08,15
2021-09,61
2021-10,19
2021-11,20
2021-12,100
2022-01,55
2022-02,22
2022-03,18
2022-04,15
2022-05,15
2022-06,14
2022-07,12
2022-08,16
2022-09,16
2022-10,17
2022-11,14
2022-12,12
2023-01,15
2023-02,14
2023-03,15
2023-04,15
2023-05,13
2023-06,14
2023-07,14
2023-08,13
2023-09,12
2023-10,16
2023-11,12
2023-12,12
2024-01,14
2024-02,14
2024-03,13
2024-04,17
2024-05,17
2024-06,14
2024-07,16
2024-08,12
2024-09,13
2024-10,15
2024-11,12
2024-12,13
2025-01,13
2025-02,12
