Category: All categories

Month,Bender: (Worldwide)
2004-01,72
2004-02,72
2004-03,67
2004-04,78
2004-05,70
2004-06,71
2004-07,77
2004-08,72
2004-09,72
2004-10,70
2004-11,66
2004-12,66
2005-01,67
2005-02,79
2005-03,74
2005-04,74
2005-05,67
2005-06,69
2005-07,75
2005-08,66
2005-09,66
2005-10,66
2005-11,67
2005-12,69
2006-01,64
2006-02,69
2006-03,63
2006-04,62
2006-05,59
2006-06,56
2006-07,62
2006-08,62
2006-09,65
2006-10,71
2006-11,69
2006-12,58
2007-01,64
2007-02,66
2007-03,61
2007-04,61
2007-05,62
2007-06,64
2007-07,61
2007-08,62
2007-09,64
2007-10,70
2007-11,69
2007-12,71
2008-01,77
2008-02,69
2008-03,68
2008-04,72
2008-05,68
2008-06,67
2008-07,78
2008-08,63
2008-09,59
2008-10,59
2008-11,61
2008-12,64
2009-01,74
2009-02,62
2009-03,58
2009-04,55
2009-05,56
2009-06,57
2009-07,62
2009-08,64
2009-09,57
2009-10,58
2009-11,58
2009-12,63
2010-01,60
2010-02,66
2010-03,61
2010-04,59
2010-05,65
2010-06,81
2010-07,100
2010-08,77
2010-09,68
2010-10,65
2010-11,64
2010-12,60
2011-01,61
2011-02,60
2011-03,64
2011-04,61
2011-05,61
2011-06,58
2011-07,60
2011-08,60
2011-09,59
2011-10,64
2011-11,59
2011-12,55
2012-01,59
2012-02,56
2012-03,57
2012-04,58
2012-05,61
2012-06,83
2012-07,61
2012-08,63
2012-09,57
2012-10,58
2012-11,57
2012-12,55
2013-01,58
2013-02,63
2013-03,57
2013-04,62
2013-05,60
2013-06,61
2013-07,61
2013-08,58
2013-09,55
2013-10,63
2013-11,63
2013-12,56
2014-01,57
2014-02,58
2014-03,58
2014-04,57
2014-05,61
2014-06,58
2014-07,68
2014-08,62
2014-09,58
2014-10,62
2014-11,60
2014-12,52
2015-01,59
2015-02,59
2015-03,58
2015-04,56
2015-05,57
2015-06,58
2015-07,60
2015-08,62
2015-09,56
2015-10,56
2015-11,59
2015-12,54
2016-01,53
2016-02,55
2016-03,57
2016-04,52
2016-05,59
2016-06,58
2016-07,51
2016-08,57
2016-09,52
2016-10,51
2016-11,52
2016-12,51
2017-01,54
2017-02,49
2017-03,51
2017-04,51
2017-05,47
2017-06,49
2017-07,51
2017-08,50
2017-09,48
2017-10,50
2017-11,52
2017-12,46
2018-01,47
2018-02,49
2018-03,51
2018-04,48
2018-05,44
2018-06,44
2018-07,45
2018-08,48
2018-09,46
2018-10,46
2018-11,45
2018-12,43
2019-01,46
2019-02,49
2019-03,47
2019-04,45
2019-05,42
2019-06,43
2019-07,45
2019-08,43
2019-09,44
2019-10,48
2019-11,46
2019-12,44
2020-01,45
2020-02,48
2020-03,43
2020-04,44
2020-05,53
2020-06,60
2020-07,52
2020-08,52
2020-09,48
2020-10,45
2020-11,44
2020-12,46
2021-01,42
2021-02,45
2021-03,46
2021-04,44
2021-05,50
2021-06,41
2021-07,44
2021-08,42
2021-09,42
2021-10,45
2021-11,44
2021-12,40
2022-01,40
2022-02,45
2022-03,42
2022-04,45
2022-05,47
2022-06,45
2022-07,46
2022-08,42
2022-09,40
2022-10,42
2022-11,39
2022-12,38
2023-01,40
2023-02,40
2023-03,39
2023-04,39
2023-05,41
2023-06,41
2023-07,43
2023-08,45
2023-09,43
2023-10,43
2023-11,39
2023-12,39
2024-01,41
2024-02,57
2024-03,60
2024-04,50
2024-05,45
2024-06,44
2024-07,42
2024-08,43
2024-09,43
2024-10,44
2024-11,43
2024-12,40
2025-01,43
2025-02,45
