Category: All categories

Month,No - Yes: (Worldwide)
2004-01,24
2004-02,24
2004-03,22
2004-04,24
2004-05,21
2004-06,22
2004-07,21
2004-08,25
2004-09,24
2004-10,25
2004-11,25
2004-12,25
2005-01,22
2005-02,25
2005-03,28
2005-04,25
2005-05,27
2005-06,27
2005-07,22
2005-08,22
2005-09,24
2005-10,24
2005-11,26
2005-12,23
2006-01,22
2006-02,23
2006-03,24
2006-04,22
2006-05,21
2006-06,22
2006-07,22
2006-08,21
2006-09,23
2006-10,24
2006-11,24
2006-12,19
2007-01,21
2007-02,21
2007-03,21
2007-04,22
2007-05,21
2007-06,21
2007-07,21
2007-08,22
2007-09,21
2007-10,23
2007-11,22
2007-12,22
2008-01,24
2008-02,21
2008-03,21
2008-04,20
2008-05,22
2008-06,21
2008-07,23
2008-08,23
2008-09,23
2008-10,33
2008-11,31
2008-12,26
2009-01,26
2009-02,24
2009-03,25
2009-04,25
2009-05,24
2009-06,22
2009-07,23
2009-08,25
2009-09,23
2009-10,29
2009-11,29
2009-12,26
2010-01,27
2010-02,26
2010-03,28
2010-04,28
2010-05,25
2010-06,29
2010-07,30
2010-08,30
2010-09,29
2010-10,35
2010-11,49
2010-12,71
2011-01,53
2011-02,42
2011-03,40
2011-04,41
2011-05,62
2011-06,52
2011-07,49
2011-08,46
2011-09,42
2011-10,42
2011-11,43
2011-12,41
2012-01,45
2012-02,42
2012-03,40
2012-04,43
2012-05,42
2012-06,44
2012-07,49
2012-08,77
2012-09,70
2012-10,61
2012-11,57
2012-12,62
2013-01,51
2013-02,50
2013-03,52
2013-04,48
2013-05,46
2013-06,48
2013-07,45
2013-08,42
2013-09,44
2013-10,44
2013-11,44
2013-12,45
2014-01,46
2014-02,48
2014-03,47
2014-04,48
2014-05,50
2014-06,49
2014-07,51
2014-08,52
2014-09,67
2014-10,55
2014-11,54
2014-12,52
2015-01,51
2015-02,53
2015-03,57
2015-04,58
2015-05,65
2015-06,66
2015-07,63
2015-08,59
2015-09,62
2015-10,62
2015-11,54
2015-12,51
2016-01,50
2016-02,51
2016-03,52
2016-04,51
2016-05,51
2016-06,51
2016-07,48
2016-08,46
2016-09,52
2016-10,54
2016-11,55
2016-12,51
2017-01,53
2017-02,55
2017-03,54
2017-04,53
2017-05,54
2017-06,54
2017-07,55
2017-08,54
2017-09,55
2017-10,63
2017-11,59
2017-12,57
2018-01,55
2018-02,59
2018-03,59
2018-04,57
2018-05,58
2018-06,56
2018-07,56
2018-08,57
2018-09,63
2018-10,67
2018-11,68
2018-12,59
2019-01,62
2019-02,64
2019-03,66
2019-04,65
2019-05,63
2019-06,64
2019-07,62
2019-08,63
2019-09,64
2019-10,66
2019-11,68
2019-12,64
2020-01,64
2020-02,68
2020-03,68
2020-04,71
2020-05,68
2020-06,70
2020-07,72
2020-08,73
2020-09,82
2020-10,82
2020-11,73
2020-12,78
2021-01,71
2021-02,74
2021-03,76
2021-04,72
2021-05,78
2021-06,75
2021-07,71
2021-08,77
2021-09,77
2021-10,78
2021-11,77
2021-12,74
2022-01,82
2022-02,93
2022-03,94
2022-04,93
2022-05,85
2022-06,84
2022-07,79
2022-08,84
2022-09,95
2022-10,90
2022-11,89
2022-12,86
2023-01,84
2023-02,87
2023-03,83
2023-04,87
2023-05,87
2023-06,83
2023-07,81
2023-08,84
2023-09,85
2023-10,100
2023-11,97
2023-12,86
2024-01,85
2024-02,89
2024-03,87
2024-04,86
2024-05,85
2024-06,81
2024-07,81
2024-08,85
2024-09,86
2024-10,94
2024-11,94
2024-12,91
2025-01,93
2025-02,98
