Category: All categories

Month,Second Breakfast: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,48
2004-09,0
2004-10,0
2004-11,0
2004-12,52
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,46
2005-10,0
2005-11,30
2005-12,0
2006-01,25
2006-02,34
2006-03,22
2006-04,0
2006-05,28
2006-06,32
2006-07,0
2006-08,56
2006-09,29
2006-10,24
2006-11,0
2006-12,23
2007-01,24
2007-02,28
2007-03,32
2007-04,0
2007-05,27
2007-06,26
2007-07,32
2007-08,39
2007-09,34
2007-10,28
2007-11,19
2007-12,25
2008-01,23
2008-02,21
2008-03,29
2008-04,21
2008-05,34
2008-06,40
2008-07,24
2008-08,35
2008-09,29
2008-10,27
2008-11,19
2008-12,15
2009-01,22
2009-02,21
2009-03,28
2009-04,27
2009-05,23
2009-06,22
2009-07,43
2009-08,45
2009-09,25
2009-10,22
2009-11,22
2009-12,28
2010-01,24
2010-02,30
2010-03,28
2010-04,22
2010-05,30
2010-06,31
2010-07,41
2010-08,46
2010-09,30
2010-10,22
2010-11,32
2010-12,19
2011-01,29
2011-02,32
2011-03,33
2011-04,31
2011-05,33
2011-06,34
2011-07,42
2011-08,47
2011-09,32
2011-10,30
2011-11,31
2011-12,26
2012-01,28
2012-02,32
2012-03,38
2012-04,28
2012-05,31
2012-06,36
2012-07,42
2012-08,42
2012-09,90
2012-10,61
2012-11,54
2012-12,89
2013-01,63
2013-02,54
2013-03,50
2013-04,48
2013-05,39
2013-06,41
2013-07,46
2013-08,49
2013-09,45
2013-10,37
2013-11,45
2013-12,53
2014-01,46
2014-02,45
2014-03,58
2014-04,54
2014-05,49
2014-06,38
2014-07,55
2014-08,55
2014-09,44
2014-10,47
2014-11,46
2014-12,62
2015-01,71
2015-02,51
2015-03,57
2015-04,55
2015-05,52
2015-06,50
2015-07,55
2015-08,56
2015-09,52
2015-10,51
2015-11,47
2015-12,46
2016-01,50
2016-02,50
2016-03,52
2016-04,50
2016-05,51
2016-06,50
2016-07,49
2016-08,55
2016-09,51
2016-10,49
2016-11,45
2016-12,43
2017-01,51
2017-02,46
2017-03,57
2017-04,53
2017-05,48
2017-06,48
2017-07,48
2017-08,47
2017-09,49
2017-10,52
2017-11,47
2017-12,46
2018-01,48
2018-02,48
2018-03,52
2018-04,53
2018-05,51
2018-06,47
2018-07,46
2018-08,51
2018-09,54
2018-10,48
2018-11,50
2018-12,50
2019-01,57
2019-02,53
2019-03,47
2019-04,52
2019-05,50
2019-06,50
2019-07,54
2019-08,53
2019-09,54
2019-10,56
2019-11,57
2019-12,54
2020-01,54
2020-02,57
2020-03,55
2020-04,64
2020-05,60
2020-06,60
2020-07,67
2020-08,63
2020-09,67
2020-10,53
2020-11,65
2020-12,60
2021-01,66
2021-02,58
2021-03,59
2021-04,64
2021-05,65
2021-06,63
2021-07,58
2021-08,62
2021-09,58
2021-10,52
2021-11,53
2021-12,64
2022-01,63
2022-02,64
2022-03,59
2022-04,75
2022-05,70
2022-06,58
2022-07,59
2022-08,60
2022-09,74
2022-10,68
2022-11,65
2022-12,55
2023-01,76
2023-02,75
2023-03,74
2023-04,69
2023-05,71
2023-06,66
2023-07,61
2023-08,61
2023-09,73
2023-10,100
2023-11,80
2023-12,75
2024-01,77
2024-02,81
2024-03,78
2024-04,78
2024-05,78
2024-06,68
2024-07,61
2024-08,69
2024-09,70
2024-10,76
2024-11,66
2024-12,74
2025-01,74
2025-02,78
