Category: All categories

Month,Shut Up And Take My Money Fry: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,47
2012-02,56
2012-03,75
2012-04,72
2012-05,57
2012-06,99
2012-07,97
2012-08,90
2012-09,100
2012-10,85
2012-11,49
2012-12,49
2013-01,0
2013-02,94
2013-03,60
2013-04,49
2013-05,79
2013-06,62
2013-07,43
2013-08,59
2013-09,81
2013-10,29
2013-11,40
2013-12,66
2014-01,56
2014-02,58
2014-03,66
2014-04,62
2014-05,57
2014-06,35
2014-07,55
2014-08,48
2014-09,68
2014-10,44
2014-11,53
2014-12,45
2015-01,60
2015-02,25
2015-03,59
2015-04,54
2015-05,47
2015-06,57
2015-07,49
2015-08,45
2015-09,70
2015-10,57
2015-11,44
2015-12,47
2016-01,26
2016-02,30
2016-03,28
2016-04,33
2016-05,35
2016-06,41
2016-07,21
2016-08,45
2016-09,33
2016-10,31
2016-11,30
2016-12,32
2017-01,23
2017-02,45
2017-03,25
2017-04,30
2017-05,29
2017-06,26
2017-07,31
2017-08,28
2017-09,0
2017-10,27
2017-11,21
2017-12,0
2018-01,25
2018-02,18
2018-03,0
2018-04,0
2018-05,25
2018-06,0
2018-07,18
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,18
2019-03,0
2019-04,20
2019-05,17
2019-06,18
2019-07,0
2019-08,23
2019-09,0
2019-10,0
2019-11,16
2019-12,16
2020-01,15
2020-02,20
2020-03,0
2020-04,0
2020-05,22
2020-06,18
2020-07,15
2020-08,20
2020-09,16
2020-10,16
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,17
2021-06,15
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,0
2021-12,0
2022-01,17
2022-02,15
2022-03,11
2022-04,15
2022-05,0
2022-06,0
2022-07,14
2022-08,14
2022-09,16
2022-10,19
2022-11,14
2022-12,0
2023-01,0
2023-02,13
2023-03,0
2023-04,0
2023-05,0
2023-06,14
2023-07,15
2023-08,18
2023-09,0
2023-10,0
2023-11,0
2023-12,0
2024-01,0
2024-02,0
2024-03,24
2024-04,0
2024-05,0
2024-06,0
2024-07,0
2024-08,20
2024-09,0
2024-10,0
2024-11,0
2024-12,0
2025-01,0
2025-02,8
