Category: All categories

Month,Slowpoke: (Worldwide)
2004-01,0
2004-02,0
2004-03,4
2004-04,4
2004-05,5
2004-06,4
2004-07,4
2004-08,3
2004-09,3
2004-10,5
2004-11,3
2004-12,4
2005-01,3
2005-02,4
2005-03,5
2005-04,2
2005-05,5
2005-06,4
2005-07,4
2005-08,4
2005-09,5
2005-10,4
2005-11,4
2005-12,4
2006-01,4
2006-02,5
2006-03,4
2006-04,4
2006-05,5
2006-06,5
2006-07,5
2006-08,4
2006-09,4
2006-10,4
2006-11,3
2006-12,4
2007-01,3
2007-02,4
2007-03,5
2007-04,7
2007-05,7
2007-06,8
2007-07,8
2007-08,9
2007-09,7
2007-10,7
2007-11,7
2007-12,7
2008-01,7
2008-02,8
2008-03,8
2008-04,8
2008-05,9
2008-06,9
2008-07,10
2008-08,10
2008-09,9
2008-10,9
2008-11,9
2008-12,8
2009-01,9
2009-02,9
2009-03,9
2009-04,11
2009-05,12
2009-06,12
2009-07,13
2009-08,12
2009-09,11
2009-10,9
2009-11,9
2009-12,13
2010-01,9
2010-02,12
2010-03,17
2010-04,22
2010-05,16
2010-06,18
2010-07,17
2010-08,15
2010-09,12
2010-10,11
2010-11,12
2010-12,18
2011-01,13
2011-02,12
2011-03,14
2011-04,15
2011-05,16
2011-06,15
2011-07,16
2011-08,16
2011-09,14
2011-10,16
2011-11,15
2011-12,16
2012-01,23
2012-02,22
2012-03,23
2012-04,24
2012-05,23
2012-06,24
2012-07,24
2012-08,23
2012-09,21
2012-10,20
2012-11,24
2012-12,23
2013-01,19
2013-02,20
2013-03,22
2013-04,20
2013-05,20
2013-06,20
2013-07,21
2013-08,20
2013-09,18
2013-10,24
2013-11,24
2013-12,24
2014-01,22
2014-02,23
2014-03,22
2014-04,21
2014-05,20
2014-06,19
2014-07,21
2014-08,24
2014-09,17
2014-10,15
2014-11,17
2014-12,20
2015-01,19
2015-02,17
2015-03,15
2015-04,16
2015-05,16
2015-06,16
2015-07,15
2015-08,15
2015-09,18
2015-10,16
2015-11,13
2015-12,15
2016-01,13
2016-02,15
2016-03,18
2016-04,16
2016-05,15
2016-06,15
2016-07,77
2016-08,72
2016-09,38
2016-10,23
2016-11,45
2016-12,51
2017-01,30
2017-02,24
2017-03,20
2017-04,18
2017-05,14
2017-06,17
2017-07,17
2017-08,17
2017-09,13
2017-10,14
2017-11,16
2017-12,16
2018-01,15
2018-02,13
2018-03,12
2018-04,13
2018-05,13
2018-06,17
2018-07,16
2018-08,14
2018-09,12
2018-10,21
2018-11,14
2018-12,14
2019-01,13
2019-02,14
2019-03,12
2019-04,11
2019-05,12
2019-06,16
2019-07,14
2019-08,16
2019-09,13
2019-10,12
2019-11,16
2019-12,15
2020-01,67
2020-02,26
2020-03,26
2020-04,21
2020-05,21
2020-06,53
2020-07,32
2020-08,20
2020-09,17
2020-10,20
2020-11,33
2020-12,19
2021-01,24
2021-02,20
2021-03,20
2021-04,18
2021-05,15
2021-06,100
2021-07,21
2021-08,25
2021-09,20
2021-10,40
2021-11,19
2021-12,19
2022-01,21
2022-02,17
2022-03,18
2022-04,17
2022-05,18
2022-06,23
2022-07,22
2022-08,21
2022-09,21
2022-10,17
2022-11,25
2022-12,35
2023-01,29
2023-02,19
2023-03,57
2023-04,19
2023-05,16
2023-06,20
2023-07,20
2023-08,19
2023-09,23
2023-10,22
2023-11,14
2023-12,38
2024-01,23
2024-02,17
2024-03,17
2024-04,19
2024-05,18
2024-06,19
2024-07,19
2024-08,17
2024-09,19
2024-10,21
2024-11,19
2024-12,21
2025-01,19
2025-02,27
