Category: All categories

Month,sweating bullets: (Worldwide)
2004-01,68
2004-02,63
2004-03,0
2004-04,0
2004-05,48
2004-06,0
2004-07,0
2004-08,0
2004-09,72
2004-10,49
2004-11,0
2004-12,41
2005-01,52
2005-02,59
2005-03,40
2005-04,38
2005-05,58
2005-06,43
2005-07,46
2005-08,83
2005-09,51
2005-10,60
2005-11,63
2005-12,48
2006-01,58
2006-02,61
2006-03,49
2006-04,47
2006-05,69
2006-06,67
2006-07,61
2006-08,53
2006-09,53
2006-10,43
2006-11,54
2006-12,57
2007-01,36
2007-02,41
2007-03,43
2007-04,54
2007-05,52
2007-06,58
2007-07,61
2007-08,41
2007-09,54
2007-10,45
2007-11,36
2007-12,53
2008-01,51
2008-02,46
2008-03,51
2008-04,68
2008-05,63
2008-06,70
2008-07,51
2008-08,49
2008-09,47
2008-10,54
2008-11,44
2008-12,55
2009-01,63
2009-02,57
2009-03,74
2009-04,69
2009-05,63
2009-06,61
2009-07,54
2009-08,64
2009-09,92
2009-10,90
2009-11,80
2009-12,82
2010-01,80
2010-02,73
2010-03,84
2010-04,91
2010-05,79
2010-06,91
2010-07,100
2010-08,93
2010-09,83
2010-10,81
2010-11,80
2010-12,80
2011-01,88
2011-02,77
2011-03,77
2011-04,75
2011-05,69
2011-06,78
2011-07,78
2011-08,69
2011-09,71
2011-10,58
2011-11,73
2011-12,69
2012-01,53
2012-02,70
2012-03,53
2012-04,52
2012-05,48
2012-06,60
2012-07,61
2012-08,57
2012-09,71
2012-10,52
2012-11,54
2012-12,53
2013-01,48
2013-02,50
2013-03,44
2013-04,50
2013-05,52
2013-06,53
2013-07,53
2013-08,47
2013-09,51
2013-10,46
2013-11,42
2013-12,46
2014-01,40
2014-02,41
2014-03,40
2014-04,42
2014-05,49
2014-06,40
2014-07,43
2014-08,46
2014-09,38
2014-10,37
2014-11,33
2014-12,36
2015-01,38
2015-02,33
2015-03,34
2015-04,34
2015-05,31
2015-06,35
2015-07,39
2015-08,37
2015-09,38
2015-10,39
2015-11,33
2015-12,32
2016-01,35
2016-02,30
2016-03,36
2016-04,30
2016-05,34
2016-06,37
2016-07,37
2016-08,36
2016-09,36
2016-10,34
2016-11,28
2016-12,24
2017-01,29
2017-02,27
2017-03,33
2017-04,28
2017-05,32
2017-06,33
2017-07,30
2017-08,29
2017-09,32
2017-10,26
2017-11,26
2017-12,24
2018-01,28
2018-02,26
2018-03,23
2018-04,23
2018-05,24
2018-06,22
2018-07,26
2018-08,29
2018-09,25
2018-10,25
2018-11,21
2018-12,26
2019-01,19
2019-02,22
2019-03,22
2019-04,24
2019-05,24
2019-06,27
2019-07,30
2019-08,28
2019-09,25
2019-10,23
2019-11,22
2019-12,23
2020-01,22
2020-02,25
2020-03,22
2020-04,32
2020-05,25
2020-06,23
2020-07,28
2020-08,26
2020-09,21
2020-10,18
2020-11,20
2020-12,18
2021-01,21
2021-02,18
2021-03,18
2021-04,18
2021-05,24
2021-06,21
2021-07,23
2021-08,21
2021-09,21
2021-10,21
2021-11,17
2021-12,19
2022-01,17
2022-02,20
2022-03,19
2022-04,20
2022-05,22
2022-06,26
2022-07,26
2022-08,24
2022-09,28
2022-10,22
2022-11,22
2022-12,23
2023-01,23
2023-02,26
2023-03,23
2023-04,26
2023-05,27
2023-06,26
2023-07,27
2023-08,27
2023-09,25
2023-10,21
2023-11,22
2023-12,22
2024-01,20
2024-02,23
2024-03,20
2024-04,26
2024-05,24
2024-06,24
2024-07,25
2024-08,25
2024-09,25
2024-10,24
2024-11,21
2024-12,24
2025-01,24
2025-02,24
