Category: All categories

Month,That Would Be Great: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,4
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,4
2005-12,0
2006-01,0
2006-02,0
2006-03,4
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,2
2006-11,3
2006-12,0
2007-01,0
2007-02,0
2007-03,3
2007-04,3
2007-05,0
2007-06,2
2007-07,4
2007-08,3
2007-09,2
2007-10,3
2007-11,3
2007-12,3
2008-01,2
2008-02,2
2008-03,2
2008-04,3
2008-05,2
2008-06,2
2008-07,1
2008-08,3
2008-09,3
2008-10,2
2008-11,1
2008-12,3
2009-01,3
2009-02,2
2009-03,3
2009-04,4
2009-05,3
2009-06,3
2009-07,2
2009-08,3
2009-09,3
2009-10,3
2009-11,3
2009-12,3
2010-01,3
2010-02,4
2010-03,6
2010-04,5
2010-05,5
2010-06,4
2010-07,3
2010-08,2
2010-09,4
2010-10,4
2010-11,5
2010-12,5
2011-01,6
2011-02,7
2011-03,7
2011-04,7
2011-05,7
2011-06,6
2011-07,5
2011-08,5
2011-09,7
2011-10,7
2011-11,7
2011-12,6
2012-01,7
2012-02,8
2012-03,9
2012-04,10
2012-05,9
2012-06,6
2012-07,6
2012-08,7
2012-09,8
2012-10,9
2012-11,10
2012-12,8
2013-01,9
2013-02,13
2013-03,16
2013-04,15
2013-05,16
2013-06,13
2013-07,10
2013-08,12
2013-09,13
2013-10,13
2013-11,12
2013-12,12
2014-01,11
2014-02,14
2014-03,14
2014-04,15
2014-05,12
2014-06,10
2014-07,11
2014-08,10
2014-09,14
2014-10,15
2014-11,13
2014-12,11
2015-01,11
2015-02,13
2015-03,13
2015-04,15
2015-05,12
2015-06,11
2015-07,10
2015-08,9
2015-09,14
2015-10,14
2015-11,14
2015-12,13
2016-01,19
2016-02,24
2016-03,23
2016-04,23
2016-05,22
2016-06,17
2016-07,15
2016-08,14
2016-09,19
2016-10,21
2016-11,21
2016-12,20
2017-01,20
2017-02,24
2017-03,26
2017-04,25
2017-05,22
2017-06,16
2017-07,15
2017-08,14
2017-09,21
2017-10,26
2017-11,24
2017-12,18
2018-01,15
2018-02,21
2018-03,26
2018-04,26
2018-05,23
2018-06,15
2018-07,15
2018-08,13
2018-09,22
2018-10,23
2018-11,23
2018-12,18
2019-01,22
2019-02,28
2019-03,28
2019-04,29
2019-05,26
2019-06,20
2019-07,16
2019-08,16
2019-09,28
2019-10,29
2019-11,27
2019-12,23
2020-01,25
2020-02,33
2020-03,29
2020-04,35
2020-05,34
2020-06,26
2020-07,23
2020-08,21
2020-09,43
2020-10,45
2020-11,38
2020-12,36
2021-01,42
2021-02,42
2021-03,42
2021-04,42
2021-05,41
2021-06,33
2021-07,26
2021-08,25
2021-09,40
2021-10,46
2021-11,44
2021-12,39
2022-01,42
2022-02,64
2022-03,73
2022-04,81
2022-05,71
2022-06,51
2022-07,33
2022-08,35
2022-09,68
2022-10,71
2022-11,71
2022-12,67
2023-01,68
2023-02,84
2023-03,84
2023-04,82
2023-05,77
2023-06,50
2023-07,32
2023-08,37
2023-09,72
2023-10,80
2023-11,74
2023-12,64
2024-01,68
2024-02,98
2024-03,93
2024-04,94
2024-05,76
2024-06,57
2024-07,39
2024-08,48
2024-09,97
2024-10,100
2024-11,85
2024-12,76
2025-01,73
2025-02,84
