Category: All categories

Month,The future world if: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,28
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,13
2008-06,0
2008-07,0
2008-08,0
2008-09,11
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,11
2009-04,0
2009-05,11
2009-06,14
2009-07,0
2009-08,10
2009-09,9
2009-10,11
2009-11,11
2009-12,9
2010-01,13
2010-02,11
2010-03,14
2010-04,16
2010-05,10
2010-06,10
2010-07,12
2010-08,0
2010-09,14
2010-10,8
2010-11,13
2010-12,9
2011-01,11
2011-02,15
2011-03,12
2011-04,15
2011-05,13
2011-06,9
2011-07,8
2011-08,9
2011-09,10
2011-10,13
2011-11,12
2011-12,13
2012-01,7
2012-02,11
2012-03,11
2012-04,15
2012-05,12
2012-06,9
2012-07,8
2012-08,12
2012-09,14
2012-10,15
2012-11,15
2012-12,13
2013-01,14
2013-02,13
2013-03,13
2013-04,17
2013-05,10
2013-06,12
2013-07,10
2013-08,11
2013-09,13
2013-10,15
2013-11,9
2013-12,11
2014-01,11
2014-02,14
2014-03,15
2014-04,11
2014-05,14
2014-06,17
2014-07,9
2014-08,11
2014-09,13
2014-10,14
2014-11,17
2014-12,11
2015-01,13
2015-02,13
2015-03,13
2015-04,16
2015-05,15
2015-06,11
2015-07,10
2015-08,11
2015-09,14
2015-10,22
2015-11,16
2015-12,11
2016-01,21
2016-02,25
2016-03,23
2016-04,26
2016-05,26
2016-06,18
2016-07,13
2016-08,12
2016-09,14
2016-10,17
2016-11,26
2016-12,23
2017-01,22
2017-02,24
2017-03,24
2017-04,26
2017-05,22
2017-06,15
2017-07,15
2017-08,16
2017-09,22
2017-10,23
2017-11,23
2017-12,22
2018-01,15
2018-02,20
2018-03,23
2018-04,27
2018-05,21
2018-06,21
2018-07,16
2018-08,18
2018-09,22
2018-10,23
2018-11,20
2018-12,19
2019-01,21
2019-02,27
2019-03,29
2019-04,28
2019-05,31
2019-06,20
2019-07,21
2019-08,17
2019-09,30
2019-10,36
2019-11,27
2019-12,24
2020-01,31
2020-02,33
2020-03,36
2020-04,47
2020-05,45
2020-06,34
2020-07,29
2020-08,35
2020-09,48
2020-10,46
2020-11,48
2020-12,44
2021-01,40
2021-02,47
2021-03,52
2021-04,55
2021-05,57
2021-06,43
2021-07,38
2021-08,36
2021-09,54
2021-10,61
2021-11,57
2021-12,57
2022-01,60
2022-02,81
2022-03,94
2022-04,99
2022-05,92
2022-06,73
2022-07,43
2022-08,50
2022-09,73
2022-10,77
2022-11,87
2022-12,87
2023-01,72
2023-02,87
2023-03,95
2023-04,91
2023-05,94
2023-06,60
2023-07,41
2023-08,43
2023-09,63
2023-10,69
2023-11,69
2023-12,64
2024-01,67
2024-02,84
2024-03,79
2024-04,86
2024-05,82
2024-06,60
2024-07,54
2024-08,61
2024-09,87
2024-10,92
2024-11,84
2024-12,85
2025-01,83
2025-02,100
