Category: All categories

Month,They don't know: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,92
2016-02,81
2016-03,86
2016-04,87
2016-05,84
2016-06,76
2016-07,75
2016-08,66
2016-09,92
2016-10,78
2016-11,90
2016-12,84
2017-01,95
2017-02,84
2017-03,83
2017-04,83
2017-05,84
2017-06,88
2017-07,83
2017-08,84
2017-09,76
2017-10,79
2017-11,76
2017-12,67
2018-01,70
2018-02,64
2018-03,73
2018-04,73
2018-05,69
2018-06,67
2018-07,66
2018-08,60
2018-09,66
2018-10,68
2018-11,68
2018-12,66
2019-01,66
2019-02,67
2019-03,69
2019-04,64
2019-05,64
2019-06,59
2019-07,59
2019-08,62
2019-09,63
2019-10,62
2019-11,68
2019-12,62
2020-01,67
2020-02,64
2020-03,70
2020-04,82
2020-05,83
2020-06,78
2020-07,79
2020-08,73
2020-09,79
2020-10,77
2020-11,76
2020-12,82
2021-01,77
2021-02,81
2021-03,80
2021-04,89
2021-05,83
2021-06,78
2021-07,69
2021-08,71
2021-09,72
2021-10,76
2021-11,79
2021-12,78
2022-01,88
2022-02,100
2022-03,97
2022-04,99
2022-05,91
2022-06,85
2022-07,82
2022-08,82
2022-09,86
2022-10,90
2022-11,87
2022-12,88
2023-01,78
2023-02,92
2023-03,90
2023-04,92
2023-05,91
2023-06,80
2023-07,68
2023-08,67
2023-09,72
2023-10,71
2023-11,69
2023-12,67
2024-01,70
2024-02,77
2024-03,80
2024-04,82
2024-05,77
2024-06,72
2024-07,72
2024-08,71
2024-09,80
2024-10,85
2024-11,83
2024-12,83
2025-01,77
2025-02,82
