Category: All categories

Month,Here it comes: (Worldwide)
2004-01,37
2004-02,46
2004-03,47
2004-04,53
2004-05,45
2004-06,48
2004-07,53
2004-08,52
2004-09,69
2004-10,27
2004-11,56
2004-12,58
2005-01,46
2005-02,51
2005-03,58
2005-04,48
2005-05,45
2005-06,28
2005-07,83
2005-08,100
2005-09,73
2005-10,77
2005-11,71
2005-12,73
2006-01,60
2006-02,55
2006-03,56
2006-04,44
2006-05,54
2006-06,60
2006-07,50
2006-08,50
2006-09,61
2006-10,47
2006-11,51
2006-12,73
2007-01,56
2007-02,40
2007-03,60
2007-04,61
2007-05,47
2007-06,54
2007-07,54
2007-08,46
2007-09,52
2007-10,53
2007-11,78
2007-12,65
2008-01,56
2008-02,48
2008-03,67
2008-04,49
2008-05,55
2008-06,52
2008-07,39
2008-08,45
2008-09,48
2008-10,49
2008-11,46
2008-12,57
2009-01,46
2009-02,53
2009-03,56
2009-04,69
2009-05,58
2009-06,52
2009-07,52
2009-08,50
2009-09,52
2009-10,54
2009-11,56
2009-12,59
2010-01,54
2010-02,55
2010-03,56
2010-04,56
2010-05,59
2010-06,54
2010-07,47
2010-08,51
2010-09,48
2010-10,45
2010-11,51
2010-12,69
2011-01,76
2011-02,78
2011-03,59
2011-04,55
2011-05,44
2011-06,46
2011-07,45
2011-08,45
2011-09,45
2011-10,43
2011-11,43
2011-12,50
2012-01,40
2012-02,35
2012-03,35
2012-04,42
2012-05,43
2012-06,37
2012-07,39
2012-08,42
2012-09,43
2012-10,45
2012-11,50
2012-12,44
2013-01,48
2013-02,63
2013-03,51
2013-04,48
2013-05,43
2013-06,47
2013-07,48
2013-08,45
2013-09,42
2013-10,42
2013-11,35
2013-12,38
2014-01,34
2014-02,42
2014-03,40
2014-04,39
2014-05,38
2014-06,45
2014-07,42
2014-08,38
2014-09,35
2014-10,35
2014-11,33
2014-12,41
2015-01,36
2015-02,30
2015-03,32
2015-04,31
2015-05,31
2015-06,30
2015-07,30
2015-08,29
2015-09,29
2015-10,28
2015-11,29
2015-12,37
2016-01,32
2016-02,27
2016-03,34
2016-04,34
2016-05,32
2016-06,29
2016-07,30
2016-08,28
2016-09,32
2016-10,30
2016-11,28
2016-12,35
2017-01,29
2017-02,29
2017-03,26
2017-04,29
2017-05,28
2017-06,29
2017-07,30
2017-08,27
2017-09,27
2017-10,28
2017-11,29
2017-12,35
2018-01,26
2018-02,24
2018-03,26
2018-04,28
2018-05,28
2018-06,25
2018-07,25
2018-08,25
2018-09,25
2018-10,23
2018-11,24
2018-12,31
2019-01,27
2019-02,34
2019-03,32
2019-04,31
2019-05,30
2019-06,28
2019-07,30
2019-08,31
2019-09,33
2019-10,31
2019-11,33
2019-12,34
2020-01,34
2020-02,31
2020-03,35
2020-04,45
2020-05,43
2020-06,38
2020-07,32
2020-08,33
2020-09,36
2020-10,33
2020-11,39
2020-12,39
2021-01,33
2021-02,34
2021-03,39
2021-04,35
2021-05,36
2021-06,38
2021-07,33
2021-08,33
2021-09,34
2021-10,37
2021-11,40
2021-12,39
2022-01,44
2022-02,43
2022-03,46
2022-04,45
2022-05,44
2022-06,46
2022-07,38
2022-08,37
2022-09,41
2022-10,40
2022-11,41
2022-12,43
2023-01,38
2023-02,39
2023-03,41
2023-04,40
2023-05,42
2023-06,36
2023-07,30
2023-08,31
2023-09,35
2023-10,33
2023-11,35
2023-12,35
2024-01,34
2024-02,34
2024-03,39
2024-04,39
2024-05,39
2024-06,36
2024-07,36
2024-08,36
2024-09,42
2024-10,43
2024-11,41
2024-12,45
2025-01,38
2025-02,44
