Category: All categories

Month,Always Has Been: (Worldwide)
2004-01,9
2004-02,9
2004-03,6
2004-04,13
2004-05,11
2004-06,9
2004-07,7
2004-08,6
2004-09,9
2004-10,11
2004-11,12
2004-12,12
2005-01,8
2005-02,9
2005-03,9
2005-04,12
2005-05,11
2005-06,9
2005-07,5
2005-08,6
2005-09,6
2005-10,10
2005-11,12
2005-12,12
2006-01,9
2006-02,9
2006-03,9
2006-04,10
2006-05,9
2006-06,10
2006-07,7
2006-08,7
2006-09,9
2006-10,10
2006-11,8
2006-12,7
2007-01,7
2007-02,7
2007-03,9
2007-04,11
2007-05,11
2007-06,10
2007-07,8
2007-08,7
2007-09,8
2007-10,9
2007-11,10
2007-12,8
2008-01,8
2008-02,8
2008-03,11
2008-04,10
2008-05,9
2008-06,8
2008-07,7
2008-08,8
2008-09,9
2008-10,10
2008-11,10
2008-12,9
2009-01,8
2009-02,11
2009-03,10
2009-04,10
2009-05,10
2009-06,9
2009-07,9
2009-08,9
2009-09,10
2009-10,12
2009-11,12
2009-12,12
2010-01,10
2010-02,10
2010-03,13
2010-04,13
2010-05,15
2010-06,12
2010-07,11
2010-08,12
2010-09,12
2010-10,14
2010-11,14
2010-12,12
2011-01,14
2011-02,15
2011-03,14
2011-04,16
2011-05,16
2011-06,13
2011-07,12
2011-08,12
2011-09,14
2011-10,15
2011-11,23
2011-12,16
2012-01,14
2012-02,16
2012-03,17
2012-04,16
2012-05,17
2012-06,15
2012-07,15
2012-08,16
2012-09,16
2012-10,19
2012-11,19
2012-12,15
2013-01,16
2013-02,17
2013-03,17
2013-04,17
2013-05,16
2013-06,13
2013-07,12
2013-08,13
2013-09,16
2013-10,16
2013-11,17
2013-12,15
2014-01,16
2014-02,17
2014-03,16
2014-04,18
2014-05,16
2014-06,13
2014-07,13
2014-08,12
2014-09,16
2014-10,17
2014-11,16
2014-12,15
2015-01,14
2015-02,16
2015-03,16
2015-04,17
2015-05,16
2015-06,14
2015-07,13
2015-08,13
2015-09,17
2015-10,18
2015-11,19
2015-12,18
2016-01,21
2016-02,27
2016-03,26
2016-04,25
2016-05,24
2016-06,21
2016-07,17
2016-08,17
2016-09,21
2016-10,23
2016-11,27
2016-12,23
2017-01,23
2017-02,29
2017-03,25
2017-04,28
2017-05,24
2017-06,21
2017-07,18
2017-08,18
2017-09,22
2017-10,25
2017-11,26
2017-12,25
2018-01,23
2018-02,25
2018-03,25
2018-04,27
2018-05,24
2018-06,21
2018-07,20
2018-08,18
2018-09,25
2018-10,26
2018-11,23
2018-12,23
2019-01,22
2019-02,28
2019-03,28
2019-04,30
2019-05,26
2019-06,22
2019-07,19
2019-08,20
2019-09,26
2019-10,26
2019-11,28
2019-12,24
2020-01,24
2020-02,32
2020-03,31
2020-04,43
2020-05,42
2020-06,45
2020-07,100
2020-08,69
2020-09,73
2020-10,64
2020-11,57
2020-12,50
2021-01,48
2021-02,51
2021-03,55
2021-04,60
2021-05,66
2021-06,64
2021-07,68
2021-08,67
2021-09,74
2021-10,80
2021-11,75
2021-12,72
2022-01,77
2022-02,86
2022-03,92
2022-04,85
2022-05,74
2022-06,60
2022-07,54
2022-08,52
2022-09,72
2022-10,79
2022-11,76
2022-12,69
2023-01,68
2023-02,79
2023-03,78
2023-04,82
2023-05,79
2023-06,54
2023-07,44
2023-08,46
2023-09,64
2023-10,69
2023-11,67
2023-12,61
2024-01,61
2024-02,80
2024-03,78
2024-04,82
2024-05,70
2024-06,60
2024-07,56
2024-08,64
2024-09,82
2024-10,87
2024-11,85
2024-12,73
2025-01,73
2025-02,88
