Category: All categories

Month,Wake Up Babe: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,57
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,26
2009-10,25
2009-11,29
2009-12,28
2010-01,0
2010-02,24
2010-03,0
2010-04,22
2010-05,20
2010-06,22
2010-07,19
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,18
2011-01,0
2011-02,22
2011-03,14
2011-04,17
2011-05,0
2011-06,29
2011-07,23
2011-08,23
2011-09,0
2011-10,21
2011-11,0
2011-12,17
2012-01,23
2012-02,18
2012-03,19
2012-04,12
2012-05,14
2012-06,20
2012-07,22
2012-08,24
2012-09,16
2012-10,0
2012-11,15
2012-12,23
2013-01,23
2013-02,13
2013-03,17
2013-04,20
2013-05,17
2013-06,20
2013-07,21
2013-08,24
2013-09,30
2013-10,21
2013-11,22
2013-12,24
2014-01,26
2014-02,23
2014-03,25
2014-04,24
2014-05,31
2014-06,29
2014-07,39
2014-08,30
2014-09,23
2014-10,28
2014-11,27
2014-12,32
2015-01,27
2015-02,25
2015-03,32
2015-04,23
2015-05,30
2015-06,29
2015-07,26
2015-08,27
2015-09,22
2015-10,27
2015-11,22
2015-12,30
2016-01,24
2016-02,21
2016-03,24
2016-04,22
2016-05,20
2016-06,28
2016-07,27
2016-08,27
2016-09,21
2016-10,20
2016-11,21
2016-12,17
2017-01,19
2017-02,24
2017-03,19
2017-04,15
2017-05,21
2017-06,20
2017-07,27
2017-08,18
2017-09,29
2017-10,20
2017-11,18
2017-12,18
2018-01,18
2018-02,18
2018-03,16
2018-04,24
2018-05,16
2018-06,11
2018-07,20
2018-08,19
2018-09,15
2018-10,14
2018-11,14
2018-12,21
2019-01,22
2019-02,17
2019-03,14
2019-04,11
2019-05,14
2019-06,22
2019-07,21
2019-08,16
2019-09,11
2019-10,19
2019-11,14
2019-12,18
2020-01,11
2020-02,15
2020-03,15
2020-04,23
2020-05,14
2020-06,21
2020-07,20
2020-08,33
2020-09,31
2020-10,36
2020-11,35
2020-12,50
2021-01,48
2021-02,47
2021-03,50
2021-04,54
2021-05,49
2021-06,50
2021-07,44
2021-08,45
2021-09,45
2021-10,60
2021-11,61
2021-12,54
2022-01,73
2022-02,86
2022-03,80
2022-04,69
2022-05,82
2022-06,76
2022-07,93
2022-08,80
2022-09,97
2022-10,94
2022-11,76
2022-12,74
2023-01,84
2023-02,82
2023-03,75
2023-04,81
2023-05,69
2023-06,87
2023-07,73
2023-08,78
2023-09,73
2023-10,75
2023-11,67
2023-12,72
2024-01,76
2024-02,92
2024-03,82
2024-04,99
2024-05,100
2024-06,94
2024-07,89
2024-08,89
2024-09,86
2024-10,95
2024-11,82
2024-12,70
2025-01,72
2025-02,79
