Category: All categories

Month,Well Yes: (Worldwide),But Actually No: (Worldwide)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,0,0
2004-09,0,0
2004-10,0,0
2004-11,0,0
2004-12,0,0
2005-01,14,0
2005-02,0,0
2005-03,13,0
2005-04,0,0
2005-05,0,0
2005-06,0,0
2005-07,0,0
2005-08,0,0
2005-09,0,0
2005-10,0,0
2005-11,0,0
2005-12,11,0
2006-01,0,0
2006-02,13,0
2006-03,9,0
2006-04,0,0
2006-05,0,0
2006-06,9,0
2006-07,0,0
2006-08,7,0
2006-09,11,0
2006-10,9,0
2006-11,10,0
2006-12,0,0
2007-01,8,0
2007-02,6,0
2007-03,6,0
2007-04,6,0
2007-05,9,0
2007-06,6,0
2007-07,7,0
2007-08,6,0
2007-09,9,0
2007-10,7,0
2007-11,8,0
2007-12,6,0
2008-01,10,0
2008-02,7,0
2008-03,8,0
2008-04,8,0
2008-05,10,0
2008-06,7,0
2008-07,5,0
2008-08,8,0
2008-09,8,0
2008-10,8,0
2008-11,6,0
2008-12,11,0
2009-01,8,0
2009-02,10,0
2009-03,10,0
2009-04,10,0
2009-05,12,0
2009-06,8,0
2009-07,11,0
2009-08,12,0
2009-09,8,0
2009-10,11,0
2009-11,12,3
2009-12,12,0
2010-01,13,0
2010-02,11,0
2010-03,14,3
2010-04,10,2
2010-05,11,0
2010-06,13,3
2010-07,11,0
2010-08,13,0
2010-09,12,3
2010-10,11,3
2010-11,11,3
2010-12,11,3
2011-01,12,3
2011-02,14,4
2011-03,15,3
2011-04,12,3
2011-05,14,2
2011-06,12,4
2011-07,14,4
2011-08,14,3
2011-09,13,3
2011-10,13,4
2011-11,15,4
2011-12,13,4
2012-01,13,4
2012-02,15,4
2012-03,15,4
2012-04,15,4
2012-05,15,4
2012-06,15,3
2012-07,15,3
2012-08,14,4
2012-09,16,4
2012-10,14,3
2012-11,12,5
2012-12,12,3
2013-01,14,4
2013-02,17,4
2013-03,14,4
2013-04,15,5
2013-05,13,4
2013-06,13,3
2013-07,10,3
2013-08,11,3
2013-09,11,4
2013-10,11,4
2013-11,14,4
2013-12,13,3
2014-01,14,4
2014-02,13,4
2014-03,12,4
2014-04,14,4
2014-05,15,4
2014-06,13,2
2014-07,14,3
2014-08,13,4
2014-09,15,3
2014-10,16,5
2014-11,16,5
2014-12,16,3
2015-01,17,4
2015-02,16,5
2015-03,16,5
2015-04,18,5
2015-05,16,4
2015-06,18,3
2015-07,18,3
2015-08,18,3
2015-09,19,3
2015-10,18,5
2015-11,12,4
2015-12,15,5
2016-01,14,11
2016-02,16,13
2016-03,15,13
2016-04,16,13
2016-05,14,12
2016-06,16,10
2016-07,14,9
2016-08,14,8
2016-09,16,10
2016-10,15,10
2016-11,16,11
2016-12,22,11
2017-01,49,10
2017-02,41,14
2017-03,24,14
2017-04,23,15
2017-05,20,12
2017-06,18,11
2017-07,17,9
2017-08,18,9
2017-09,23,11
2017-10,28,13
2017-11,24,14
2017-12,21,12
2018-01,41,8
2018-02,29,12
2018-03,25,13
2018-04,19,13
2018-05,19,12
2018-06,19,9
2018-07,18,9
2018-08,20,8
2018-09,24,12
2018-10,26,12
2018-11,23,12
2018-12,20,11
2019-01,26,12
2019-02,63,61
2019-03,88,100
2019-04,60,67
2019-05,56,60
2019-06,55,60
2019-07,54,50
2019-08,55,51
2019-09,57,54
2019-10,56,51
2019-11,55,54
2019-12,49,47
2020-01,53,47
2020-02,50,46
2020-03,55,49
2020-04,57,57
2020-05,53,54
2020-06,53,48
2020-07,57,49
2020-08,59,46
2020-09,61,53
2020-10,53,52
2020-11,49,46
2020-12,47,40
2021-01,49,39
2021-02,44,41
2021-03,44,42
2021-04,42,43
2021-05,45,40
2021-06,38,35
2021-07,38,30
2021-08,40,27
2021-09,43,35
2021-10,41,41
2021-11,38,41
2021-12,39,39
2022-01,52,41
2022-02,50,50
2022-03,55,55
2022-04,46,56
2022-05,44,49
2022-06,40,44
2022-07,39,36
2022-08,40,33
2022-09,43,44
2022-10,44,51
2022-11,40,49
2022-12,39,50
2023-01,41,44
2023-02,40,58
2023-03,41,55
2023-04,38,58
2023-05,39,59
2023-06,34,40
2023-07,30,29
2023-08,32,31
2023-09,39,43
2023-10,38,50
2023-11,37,44
2023-12,38,43
2024-01,39,44
2024-02,38,57
2024-03,35,61
2024-04,35,63
2024-05,34,53
2024-06,33,47
2024-07,37,43
2024-08,36,43
2024-09,37,65
2024-10,37,73
2024-11,37,67
2024-12,37,66
2025-01,37,60
2025-02,38,67
