Category: All categories

Month,This is Worthless: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,100
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,79
2006-06,74
2006-07,0
2006-08,88
2006-09,0
2006-10,0
2006-11,0
2006-12,79
2007-01,0
2007-02,62
2007-03,50
2007-04,50
2007-05,44
2007-06,0
2007-07,0
2007-08,64
2007-09,0
2007-10,64
2007-11,48
2007-12,41
2008-01,0
2008-02,50
2008-03,50
2008-04,34
2008-05,46
2008-06,41
2008-07,32
2008-08,0
2008-09,52
2008-10,70
2008-11,0
2008-12,28
2009-01,32
2009-02,38
2009-03,40
2009-04,38
2009-05,45
2009-06,49
2009-07,51
2009-08,45
2009-09,37
2009-10,30
2009-11,57
2009-12,41
2010-01,39
2010-02,37
2010-03,27
2010-04,30
2010-05,28
2010-06,33
2010-07,27
2010-08,27
2010-09,34
2010-10,28
2010-11,0
2010-12,26
2011-01,25
2011-02,22
2011-03,34
2011-04,34
2011-05,29
2011-06,23
2011-07,25
2011-08,23
2011-09,23
2011-10,28
2011-11,25
2011-12,23
2012-01,27
2012-02,33
2012-03,24
2012-04,35
2012-05,26
2012-06,27
2012-07,24
2012-08,29
2012-09,21
2012-10,21
2012-11,32
2012-12,15
2013-01,19
2013-02,22
2013-03,23
2013-04,24
2013-05,21
2013-06,24
2013-07,20
2013-08,21
2013-09,19
2013-10,17
2013-11,20
2013-12,16
2014-01,20
2014-02,17
2014-03,17
2014-04,24
2014-05,27
2014-06,14
2014-07,18
2014-08,22
2014-09,19
2014-10,22
2014-11,25
2014-12,21
2015-01,19
2015-02,23
2015-03,16
2015-04,22
2015-05,21
2015-06,18
2015-07,30
2015-08,18
2015-09,18
2015-10,17
2015-11,17
2015-12,19
2016-01,22
2016-02,27
2016-03,23
2016-04,33
2016-05,24
2016-06,21
2016-07,20
2016-08,14
2016-09,17
2016-10,21
2016-11,21
2016-12,19
2017-01,26
2017-02,38
2017-03,34
2017-04,34
2017-05,27
2017-06,26
2017-07,23
2017-08,13
2017-09,27
2017-10,24
2017-11,30
2017-12,31
2018-01,21
2018-02,30
2018-03,31
2018-04,35
2018-05,27
2018-06,21
2018-07,15
2018-08,28
2018-09,46
2018-10,37
2018-11,37
2018-12,53
2019-01,37
2019-02,44
2019-03,49
2019-04,61
2019-05,40
2019-06,36
2019-07,46
2019-08,38
2019-09,44
2019-10,43
2019-11,51
2019-12,52
2020-01,44
2020-02,53
2020-03,60
2020-04,90
2020-05,85
2020-06,83
2020-07,75
2020-08,64
2020-09,81
2020-10,81
2020-11,70
2020-12,79
2021-01,63
2021-02,61
2021-03,65
2021-04,71
2021-05,63
2021-06,54
2021-07,51
2021-08,61
2021-09,62
2021-10,57
2021-11,77
2021-12,68
2022-01,64
2022-02,91
2022-03,93
2022-04,94
2022-05,76
2022-06,64
2022-07,59
2022-08,55
2022-09,76
2022-10,84
2022-11,75
2022-12,74
2023-01,63
2023-02,73
2023-03,82
2023-04,86
2023-05,77
2023-06,64
2023-07,45
2023-08,47
2023-09,63
2023-10,73
2023-11,73
2023-12,70
2024-01,49
2024-02,61
2024-03,78
2024-04,65
2024-05,74
2024-06,67
2024-07,50
2024-08,59
2024-09,75
2024-10,84
2024-11,76
2024-12,82
2025-01,70
2025-02,74
