Category: All categories

Month,For Dummies: (Worldwide)
2004-01,100
2004-02,100
2004-03,94
2004-04,91
2004-05,89
2004-06,89
2004-07,87
2004-08,100
2004-09,90
2004-10,89
2004-11,85
2004-12,86
2005-01,90
2005-02,88
2005-03,85
2005-04,80
2005-05,81
2005-06,75
2005-07,74
2005-08,78
2005-09,84
2005-10,91
2005-11,82
2005-12,79
2006-01,87
2006-02,86
2006-03,85
2006-04,78
2006-05,78
2006-06,70
2006-07,77
2006-08,74
2006-09,79
2006-10,80
2006-11,77
2006-12,70
2007-01,80
2007-02,76
2007-03,75
2007-04,72
2007-05,70
2007-06,68
2007-07,71
2007-08,76
2007-09,72
2007-10,73
2007-11,72
2007-12,71
2008-01,79
2008-02,80
2008-03,71
2008-04,70
2008-05,64
2008-06,66
2008-07,70
2008-08,69
2008-09,79
2008-10,77
2008-11,73
2008-12,71
2009-01,76
2009-02,74
2009-03,77
2009-04,71
2009-05,71
2009-06,70
2009-07,69
2009-08,75
2009-09,81
2009-10,79
2009-11,76
2009-12,76
2010-01,81
2010-02,82
2010-03,79
2010-04,78
2010-05,74
2010-06,73
2010-07,67
2010-08,66
2010-09,72
2010-10,73
2010-11,72
2010-12,68
2011-01,77
2011-02,71
2011-03,70
2011-04,68
2011-05,62
2011-06,67
2011-07,67
2011-08,71
2011-09,70
2011-10,67
2011-11,67
2011-12,69
2012-01,73
2012-02,71
2012-03,66
2012-04,64
2012-05,65
2012-06,61
2012-07,62
2012-08,63
2012-09,66
2012-10,66
2012-11,62
2012-12,58
2013-01,64
2013-02,62
2013-03,64
2013-04,61
2013-05,59
2013-06,54
2013-07,55
2013-08,57
2013-09,63
2013-10,62
2013-11,61
2013-12,57
2014-01,61
2014-02,61
2014-03,57
2014-04,53
2014-05,52
2014-06,48
2014-07,49
2014-08,51
2014-09,55
2014-10,53
2014-11,53
2014-12,49
2015-01,49
2015-02,54
2015-03,54
2015-04,50
2015-05,47
2015-06,49
2015-07,43
2015-08,46
2015-09,53
2015-10,51
2015-11,48
2015-12,46
2016-01,45
2016-02,47
2016-03,42
2016-04,43
2016-05,41
2016-06,40
2016-07,37
2016-08,37
2016-09,42
2016-10,39
2016-11,43
2016-12,37
2017-01,42
2017-02,42
2017-03,41
2017-04,38
2017-05,38
2017-06,35
2017-07,33
2017-08,36
2017-09,38
2017-10,41
2017-11,41
2017-12,40
2018-01,41
2018-02,42
2018-03,38
2018-04,35
2018-05,34
2018-06,31
2018-07,31
2018-08,32
2018-09,37
2018-10,36
2018-11,36
2018-12,33
2019-01,35
2019-02,35
2019-03,34
2019-04,31
2019-05,31
2019-06,29
2019-07,27
2019-08,29
2019-09,33
2019-10,29
2019-11,31
2019-12,29
2020-01,32
2020-02,30
2020-03,28
2020-04,32
2020-05,26
2020-06,25
2020-07,26
2020-08,24
2020-09,26
2020-10,25
2020-11,23
2020-12,21
2021-01,26
2021-02,25
2021-03,22
2021-04,21
2021-05,23
2021-06,20
2021-07,18
2021-08,21
2021-09,20
2021-10,19
2021-11,20
2021-12,20
2022-01,20
2022-02,21
2022-03,19
2022-04,19
2022-05,18
2022-06,17
2022-07,17
2022-08,17
2022-09,18
2022-10,18
2022-11,17
2022-12,17
2023-01,18
2023-02,18
2023-03,17
2023-04,16
2023-05,16
2023-06,16
2023-07,16
2023-08,17
2023-09,18
2023-10,19
2023-11,17
2023-12,17
2024-01,18
2024-02,19
2024-03,17
2024-04,17
2024-05,17
2024-06,16
2024-07,15
2024-08,17
2024-09,18
2024-10,19
2024-11,19
2024-12,17
2025-01,19
2025-02,18
