Category: All categories

Month,Y U No: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,2
2005-06,0
2005-07,0
2005-08,0
2005-09,3
2005-10,2
2005-11,1
2005-12,0
2006-01,1
2006-02,0
2006-03,1
2006-04,2
2006-05,0
2006-06,2
2006-07,1
2006-08,0
2006-09,1
2006-10,2
2006-11,2
2006-12,2
2007-01,1
2007-02,2
2007-03,2
2007-04,2
2007-05,2
2007-06,2
2007-07,2
2007-08,2
2007-09,3
2007-10,2
2007-11,3
2007-12,2
2008-01,3
2008-02,2
2008-03,3
2008-04,2
2008-05,2
2008-06,3
2008-07,3
2008-08,2
2008-09,2
2008-10,3
2008-11,3
2008-12,3
2009-01,3
2009-02,3
2009-03,3
2009-04,3
2009-05,3
2009-06,3
2009-07,3
2009-08,3
2009-09,4
2009-10,3
2009-11,3
2009-12,3
2010-01,3
2010-02,3
2010-03,4
2010-04,4
2010-05,4
2010-06,4
2010-07,4
2010-08,4
2010-09,10
2010-10,18
2010-11,21
2010-12,26
2011-01,35
2011-02,43
2011-03,46
2011-04,48
2011-05,46
2011-06,46
2011-07,50
2011-08,58
2011-09,71
2011-10,76
2011-11,90
2011-12,100
2012-01,93
2012-02,95
2012-03,87
2012-04,69
2012-05,61
2012-06,52
2012-07,43
2012-08,41
2012-09,34
2012-10,33
2012-11,29
2012-12,26
2013-01,25
2013-02,25
2013-03,23
2013-04,23
2013-05,21
2013-06,23
2013-07,20
2013-08,18
2013-09,16
2013-10,16
2013-11,15
2013-12,13
2014-01,13
2014-02,13
2014-03,13
2014-04,12
2014-05,13
2014-06,12
2014-07,12
2014-08,13
2014-09,13
2014-10,13
2014-11,13
2014-12,12
2015-01,11
2015-02,11
2015-03,12
2015-04,12
2015-05,12
2015-06,11
2015-07,11
2015-08,10
2015-09,12
2015-10,12
2015-11,10
2015-12,10
2016-01,10
2016-02,10
2016-03,10
2016-04,11
2016-05,11
2016-06,10
2016-07,9
2016-08,9
2016-09,10
2016-10,10
2016-11,10
2016-12,8
2017-01,8
2017-02,9
2017-03,10
2017-04,10
2017-05,10
2017-06,9
2017-07,8
2017-08,8
2017-09,8
2017-10,9
2017-11,9
2017-12,7
2018-01,8
2018-02,8
2018-03,9
2018-04,9
2018-05,9
2018-06,9
2018-07,7
2018-08,7
2018-09,8
2018-10,8
2018-11,8
2018-12,7
2019-01,6
2019-02,7
2019-03,8
2019-04,8
2019-05,8
2019-06,8
2019-07,7
2019-08,7
2019-09,7
2019-10,8
2019-11,7
2019-12,6
2020-01,6
2020-02,7
2020-03,9
2020-04,11
2020-05,15
2020-06,12
2020-07,10
2020-08,11
2020-09,14
2020-10,14
2020-11,13
2020-12,11
2021-01,9
2021-02,11
2021-03,14
2021-04,14
2021-05,16
2021-06,16
2021-07,12
2021-08,12
2021-09,15
2021-10,15
2021-11,15
2021-12,11
2022-01,12
2022-02,16
2022-03,21
2022-04,18
2022-05,18
2022-06,17
2022-07,13
2022-08,13
2022-09,15
2022-10,16
2022-11,15
2022-12,12
2023-01,11
2023-02,13
2023-03,16
2023-04,15
2023-05,16
2023-06,14
2023-07,10
2023-08,13
2023-09,12
2023-10,12
2023-11,13
2023-12,10
2024-01,10
2024-02,11
2024-03,13
2024-04,13
2024-05,12
2024-06,13
2024-07,12
2024-08,11
2024-09,12
2024-10,14
2024-11,14
2024-12,11
2025-01,11
2025-02,13
