Category: All categories

Month,achievement unlocked: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,2
2007-03,2
2007-04,2
2007-05,2
2007-06,2
2007-07,0
2007-08,4
2007-09,2
2007-10,3
2007-11,3
2007-12,3
2008-01,3
2008-02,3
2008-03,4
2008-04,3
2008-05,3
2008-06,3
2008-07,3
2008-08,3
2008-09,4
2008-10,3
2008-11,5
2008-12,63
2009-01,61
2009-02,25
2009-03,22
2009-04,23
2009-05,26
2009-06,25
2009-07,22
2009-08,32
2009-09,22
2009-10,21
2009-11,20
2009-12,23
2010-01,20
2010-02,29
2010-03,21
2010-04,14
2010-05,15
2010-06,16
2010-07,13
2010-08,100
2010-09,43
2010-10,39
2010-11,43
2010-12,37
2011-01,36
2011-02,29
2011-03,24
2011-04,26
2011-05,23
2011-06,24
2011-07,22
2011-08,19
2011-09,16
2011-10,18
2011-11,17
2011-12,17
2012-01,17
2012-02,17
2012-03,15
2012-04,29
2012-05,26
2012-06,45
2012-07,22
2012-08,21
2012-09,15
2012-10,14
2012-11,15
2012-12,15
2013-01,13
2013-02,13
2013-03,15
2013-04,13
2013-05,14
2013-06,14
2013-07,12
2013-08,11
2013-09,12
2013-10,11
2013-11,12
2013-12,13
2014-01,14
2014-02,14
2014-03,13
2014-04,17
2014-05,19
2014-06,13
2014-07,12
2014-08,13
2014-09,11
2014-10,11
2014-11,12
2014-12,12
2015-01,11
2015-02,12
2015-03,11
2015-04,12
2015-05,12
2015-06,9
2015-07,9
2015-08,9
2015-09,9
2015-10,11
2015-11,10
2015-12,11
2016-01,10
2016-02,10
2016-03,9
2016-04,9
2016-05,9
2016-06,9
2016-07,7
2016-08,6
2016-09,7
2016-10,8
2016-11,8
2016-12,8
2017-01,8
2017-02,8
2017-03,8
2017-04,8
2017-05,8
2017-06,6
2017-07,6
2017-08,6
2017-09,6
2017-10,7
2017-11,7
2017-12,7
2018-01,7
2018-02,7
2018-03,7
2018-04,6
2018-05,7
2018-06,5
2018-07,5
2018-08,5
2018-09,6
2018-10,7
2018-11,6
2018-12,6
2019-01,6
2019-02,6
2019-03,6
2019-04,7
2019-05,7
2019-06,6
2019-07,6
2019-08,5
2019-09,7
2019-10,7
2019-11,6
2019-12,6
2020-01,6
2020-02,6
2020-03,5
2020-04,5
2020-05,5
2020-06,5
2020-07,5
2020-08,5
2020-09,5
2020-10,4
2020-11,4
2020-12,4
2021-01,5
2021-02,4
2021-03,3
2021-04,4
2021-05,4
2021-06,4
2021-07,4
2021-08,4
2021-09,4
2021-10,4
2021-11,4
2021-12,4
2022-01,4
2022-02,4
2022-03,4
2022-04,5
2022-05,4
2022-06,4
2022-07,5
2022-08,5
2022-09,5
2022-10,5
2022-11,5
2022-12,5
2023-01,5
2023-02,5
2023-03,5
2023-04,5
2023-05,5
2023-06,5
2023-07,5
2023-08,5
2023-09,5
2023-10,5
2023-11,6
2023-12,5
2024-01,5
2024-02,5
2024-03,5
2024-04,5
2024-05,6
2024-06,5
2024-07,5
2024-08,5
2024-09,5
2024-10,5
2024-11,4
2024-12,4
2025-01,5
2025-02,5
