Category: All categories

Month,Ancient Aliens: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,2
2004-10,3
2004-11,0
2004-12,0
2005-01,2
2005-02,3
2005-03,0
2005-04,0
2005-05,2
2005-06,2
2005-07,0
2005-08,0
2005-09,2
2005-10,1
2005-11,0
2005-12,0
2006-01,2
2006-02,0
2006-03,0
2006-04,2
2006-05,0
2006-06,1
2006-07,1
2006-08,1
2006-09,0
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,0
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,2
2007-10,1
2007-11,1
2007-12,1
2008-01,1
2008-02,4
2008-03,1
2008-04,1
2008-05,2
2008-06,2
2008-07,2
2008-08,1
2008-09,1
2008-10,1
2008-11,1
2008-12,1
2009-01,1
2009-02,1
2009-03,9
2009-04,5
2009-05,4
2009-06,3
2009-07,6
2009-08,13
2009-09,8
2009-10,9
2009-11,10
2009-12,8
2010-01,6
2010-02,5
2010-03,7
2010-04,21
2010-05,43
2010-06,24
2010-07,21
2010-08,25
2010-09,22
2010-10,25
2010-11,45
2010-12,51
2011-01,64
2011-02,44
2011-03,45
2011-04,35
2011-05,39
2011-06,44
2011-07,58
2011-08,87
2011-09,99
2011-10,95
2011-11,89
2011-12,85
2012-01,82
2012-02,90
2012-03,100
2012-04,87
2012-05,79
2012-06,74
2012-07,57
2012-08,57
2012-09,61
2012-10,59
2012-11,57
2012-12,67
2013-01,68
2013-02,65
2013-03,54
2013-04,57
2013-05,46
2013-06,45
2013-07,43
2013-08,45
2013-09,41
2013-10,65
2013-11,58
2013-12,54
2014-01,49
2014-02,50
2014-03,50
2014-04,41
2014-05,36
2014-06,32
2014-07,39
2014-08,44
2014-09,34
2014-10,31
2014-11,37
2014-12,36
2015-01,38
2015-02,30
2015-03,30
2015-04,40
2015-05,37
2015-06,31
2015-07,36
2015-08,38
2015-09,38
2015-10,36
2015-11,26
2015-12,25
2016-01,21
2016-02,22
2016-03,22
2016-04,21
2016-05,31
2016-06,26
2016-07,37
2016-08,40
2016-09,38
2016-10,27
2016-11,22
2016-12,22
2017-01,22
2017-02,20
2017-03,19
2017-04,20
2017-05,25
2017-06,25
2017-07,26
2017-08,21
2017-09,22
2017-10,21
2017-11,19
2017-12,20
2018-01,18
2018-02,19
2018-03,19
2018-04,17
2018-05,19
2018-06,19
2018-07,20
2018-08,22
2018-09,21
2018-10,17
2018-11,17
2018-12,18
2019-01,25
2019-02,18
2019-03,17
2019-04,14
2019-05,16
2019-06,21
2019-07,19
2019-08,22
2019-09,21
2019-10,19
2019-11,17
2019-12,18
2020-01,18
2020-02,19
2020-03,18
2020-04,21
2020-05,19
2020-06,15
2020-07,15
2020-08,13
2020-09,16
2020-10,13
2020-11,13
2020-12,15
2021-01,13
2021-02,13
2021-03,12
2021-04,13
2021-05,13
2021-06,11
2021-07,11
2021-08,13
2021-09,10
2021-10,11
2021-11,10
2021-12,12
2022-01,14
2022-02,12
2022-03,11
2022-04,11
2022-05,11
2022-06,9
2022-07,11
2022-08,13
2022-09,12
2022-10,10
2022-11,11
2022-12,9
2023-01,11
2023-02,12
2023-03,10
2023-04,9
2023-05,8
2023-06,9
2023-07,11
2023-08,11
2023-09,11
2023-10,9
2023-11,8
2023-12,9
2024-01,10
2024-02,10
2024-03,10
2024-04,9
2024-05,8
2024-06,9
2024-07,8
2024-08,8
2024-09,9
2024-10,8
2024-11,8
2024-12,9
2025-01,9
2025-02,9
