Category: All categories

Month,Winter Is Coming: (Worldwide)
2004-01,0
2004-02,9
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,4
2004-12,15
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,3
2005-11,6
2005-12,11
2006-01,2
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,2
2006-07,2
2006-08,0
2006-09,2
2006-10,3
2006-11,5
2006-12,12
2007-01,0
2007-02,1
2007-03,0
2007-04,0
2007-05,1
2007-06,0
2007-07,0
2007-08,0
2007-09,1
2007-10,2
2007-11,5
2007-12,10
2008-01,1
2008-02,2
2008-03,1
2008-04,1
2008-05,1
2008-06,0
2008-07,1
2008-08,1
2008-09,1
2008-10,3
2008-11,5
2008-12,12
2009-01,6
2009-02,5
2009-03,6
2009-04,5
2009-05,8
2009-06,8
2009-07,12
2009-08,20
2009-09,18
2009-10,20
2009-11,22
2009-12,20
2010-01,11
2010-02,11
2010-03,13
2010-04,10
2010-05,9
2010-06,13
2010-07,16
2010-08,14
2010-09,18
2010-10,15
2010-11,22
2010-12,28
2011-01,20
2011-02,17
2011-03,21
2011-04,47
2011-05,36
2011-06,48
2011-07,43
2011-08,44
2011-09,45
2011-10,52
2011-11,55
2011-12,51
2012-01,36
2012-02,36
2012-03,45
2012-04,58
2012-05,50
2012-06,46
2012-07,37
2012-08,35
2012-09,42
2012-10,47
2012-11,45
2012-12,47
2013-01,33
2013-02,38
2013-03,51
2013-04,57
2013-05,49
2013-06,57
2013-07,39
2013-08,40
2013-09,47
2013-10,53
2013-11,72
2013-12,61
2014-01,46
2014-02,40
2014-03,40
2014-04,67
2014-05,46
2014-06,54
2014-07,39
2014-08,43
2014-09,48
2014-10,61
2014-11,81
2014-12,58
2015-01,37
2015-02,32
2015-03,33
2015-04,56
2015-05,45
2015-06,62
2015-07,39
2015-08,41
2015-09,54
2015-10,67
2015-11,81
2015-12,71
2016-01,36
2016-02,30
2016-03,29
2016-04,56
2016-05,54
2016-06,64
2016-07,45
2016-08,34
2016-09,45
2016-10,55
2016-11,71
2016-12,54
2017-01,37
2017-02,27
2017-03,30
2017-04,28
2017-05,23
2017-06,34
2017-07,78
2017-08,77
2017-09,64
2017-10,56
2017-11,64
2017-12,52
2018-01,26
2018-02,26
2018-03,20
2018-04,20
2018-05,20
2018-06,19
2018-07,19
2018-08,26
2018-09,29
2018-10,49
2018-11,57
2018-12,42
2019-01,35
2019-02,35
2019-03,40
2019-04,100
2019-05,75
2019-06,46
2019-07,25
2019-08,29
2019-09,32
2019-10,40
2019-11,46
2019-12,35
2020-01,24
2020-02,20
2020-03,21
2020-04,22
2020-05,22
2020-06,21
2020-07,21
2020-08,21
2020-09,30
2020-10,32
2020-11,31
2020-12,34
2021-01,21
2021-02,26
2021-03,24
2021-04,22
2021-05,16
2021-06,16
2021-07,14
2021-08,17
2021-09,22
2021-10,25
2021-11,28
2021-12,34
2022-01,22
2022-02,20
2022-03,17
2022-04,16
2022-05,16
2022-06,15
2022-07,16
2022-08,23
2022-09,33
2022-10,35
2022-11,35
2022-12,41
2023-01,20
2023-02,16
2023-03,14
2023-04,12
2023-05,12
2023-06,13
2023-07,12
2023-08,16
2023-09,20
2023-10,27
2023-11,27
2023-12,26
2024-01,20
2024-02,14
2024-03,13
2024-04,12
2024-05,12
2024-06,15
2024-07,16
2024-08,19
2024-09,25
2024-10,26
2024-11,30
2024-12,30
2025-01,24
2025-02,17
