Category: All categories

Month,Gentlemen: (Worldwide),it is with great pleasure to inform you that: (Worldwide)
2004-01,19,0
2004-02,16,0
2004-03,14,0
2004-04,11,0
2004-05,11,0
2004-06,10,0
2004-07,11,0
2004-08,11,0
2004-09,12,0
2004-10,11,0
2004-11,12,0
2004-12,14,0
2005-01,11,0
2005-02,11,0
2005-03,10,0
2005-04,11,0
2005-05,15,0
2005-06,15,0
2005-07,11,0
2005-08,10,0
2005-09,10,0
2005-10,12,0
2005-11,12,0
2005-12,13,0
2006-01,9,0
2006-02,10,0
2006-03,8,0
2006-04,8,0
2006-05,8,0
2006-06,8,0
2006-07,9,0
2006-08,9,0
2006-09,8,0
2006-10,8,0
2006-11,8,0
2006-12,10,0
2007-01,8,0
2007-02,8,0
2007-03,8,0
2007-04,8,0
2007-05,10,0
2007-06,6,0
2007-07,7,0
2007-08,7,0
2007-09,7,0
2007-10,7,0
2007-11,9,0
2007-12,11,0
2008-01,7,0
2008-02,7,0
2008-03,7,0
2008-04,6,0
2008-05,8,0
2008-06,7,0
2008-07,7,0
2008-08,7,0
2008-09,8,0
2008-10,8,0
2008-11,8,0
2008-12,10,0
2009-01,8,0
2009-02,7,0
2009-03,7,0
2009-04,8,0
2009-05,8,0
2009-06,7,0
2009-07,8,0
2009-08,8,0
2009-09,7,0
2009-10,8,0
2009-11,9,0
2009-12,12,0
2010-01,9,0
2010-02,9,0
2010-03,9,0
2010-04,9,0
2010-05,8,0
2010-06,7,0
2010-07,7,0
2010-08,8,0
2010-09,8,0
2010-10,8,0
2010-11,9,0
2010-12,12,0
2011-01,8,0
2011-02,8,0
2011-03,8,0
2011-04,9,0
2011-05,8,0
2011-06,7,0
2011-07,8,0
2011-08,8,0
2011-09,8,0
2011-10,7,0
2011-11,9,0
2011-12,11,0
2012-01,8,0
2012-02,7,0
2012-03,7,0
2012-04,8,0
2012-05,8,0
2012-06,8,0
2012-07,9,0
2012-08,9,0
2012-09,8,0
2012-10,8,0
2012-11,8,0
2012-12,10,0
2013-01,7,0
2013-02,10,0
2013-03,9,0
2013-04,20,0
2013-05,14,0
2013-06,12,0
2013-07,10,0
2013-08,11,0
2013-09,10,0
2013-10,9,0
2013-11,9,0
2013-12,12,0
2014-01,8,0
2014-02,8,0
2014-03,8,0
2014-04,8,0
2014-05,8,0
2014-06,8,0
2014-07,8,0
2014-08,8,0
2014-09,8,0
2014-10,8,0
2014-11,8,0
2014-12,11,0
2015-01,8,0
2015-02,8,0
2015-03,8,0
2015-04,8,0
2015-05,9,0
2015-06,9,0
2015-07,8,0
2015-08,8,0
2015-09,8,0
2015-10,8,0
2015-11,8,0
2015-12,11,0
2016-01,8,0
2016-02,7,0
2016-03,7,0
2016-04,7,0
2016-05,8,0
2016-06,8,0
2016-07,8,0
2016-08,7,0
2016-09,7,0
2016-10,7,0
2016-11,8,0
2016-12,11,0
2017-01,8,0
2017-02,8,0
2017-03,7,0
2017-04,8,0
2017-05,7,0
2017-06,7,0
2017-07,8,0
2017-08,8,0
2017-09,7,0
2017-10,7,0
2017-11,8,0
2017-12,15,0
2018-01,8,0
2018-02,7,0
2018-03,7,0
2018-04,6,0
2018-05,6,0
2018-06,6,0
2018-07,6,0
2018-08,7,0
2018-09,8,0
2018-10,7,0
2018-11,8,0
2018-12,10,0
2019-01,7,0
2019-02,6,0
2019-03,7,0
2019-04,6,0
2019-05,6,0
2019-06,6,0
2019-07,6,0
2019-08,6,0
2019-09,6,0
2019-10,7,0
2019-11,7,0
2019-12,11,<1
2020-01,32,0
2020-02,35,0
2020-03,18,0
2020-04,21,0
2020-05,15,0
2020-06,12,0
2020-07,13,0
2020-08,11,0
2020-09,11,0
2020-10,12,0
2020-11,13,0
2020-12,16,0
2021-01,12,0
2021-02,10,0
2021-03,9,0
2021-04,9,0
2021-05,10,0
2021-06,9,0
2021-07,9,0
2021-08,9,0
2021-09,8,0
2021-10,9,0
2021-11,9,0
2021-12,11,0
2022-01,13,0
2022-02,9,0
2022-03,9,<1
2022-04,11,0
2022-05,13,0
2022-06,10,0
2022-07,9,0
2022-08,8,0
2022-09,10,<1
2022-10,9,0
2022-11,9,<1
2022-12,11,<1
2023-01,9,0
2023-02,9,<1
2023-03,9,0
2023-04,8,<1
2023-05,7,<1
2023-06,7,0
2023-07,8,0
2023-08,7,0
2023-09,8,0
2023-10,8,0
2023-11,8,0
2023-12,12,0
2024-01,11,0
2024-02,10,0
2024-03,100,0
2024-04,41,0
2024-05,21,0
2024-06,17,0
2024-07,15,0
2024-08,16,0
2024-09,14,0
2024-10,12,0
2024-11,19,0
2024-12,18,<1
2025-01,13,0
2025-02,11,<1
