Category: All categories

Month,Dinkleberg: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,29
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,13
2010-11,43
2010-12,32
2011-01,22
2011-02,16
2011-03,31
2011-04,22
2011-05,21
2011-06,30
2011-07,37
2011-08,40
2011-09,29
2011-10,28
2011-11,27
2011-12,33
2012-01,34
2012-02,54
2012-03,31
2012-04,35
2012-05,35
2012-06,46
2012-07,52
2012-08,44
2012-09,59
2012-10,46
2012-11,42
2012-12,44
2013-01,49
2013-02,60
2013-03,46
2013-04,44
2013-05,40
2013-06,39
2013-07,34
2013-08,34
2013-09,39
2013-10,49
2013-11,35
2013-12,39
2014-01,39
2014-02,46
2014-03,36
2014-04,35
2014-05,32
2014-06,32
2014-07,33
2014-08,34
2014-09,37
2014-10,29
2014-11,34
2014-12,27
2015-01,32
2015-02,32
2015-03,32
2015-04,30
2015-05,32
2015-06,32
2015-07,29
2015-08,25
2015-09,31
2015-10,28
2015-11,29
2015-12,26
2016-01,27
2016-02,30
2016-03,28
2016-04,32
2016-05,27
2016-06,45
2016-07,37
2016-08,29
2016-09,29
2016-10,27
2016-11,29
2016-12,27
2017-01,24
2017-02,32
2017-03,32
2017-04,41
2017-05,33
2017-06,39
2017-07,30
2017-08,25
2017-09,24
2017-10,27
2017-11,22
2017-12,28
2018-01,22
2018-02,27
2018-03,31
2018-04,29
2018-05,26
2018-06,23
2018-07,26
2018-08,30
2018-09,23
2018-10,23
2018-11,21
2018-12,19
2019-01,19
2019-02,23
2019-03,17
2019-04,20
2019-05,22
2019-06,20
2019-07,27
2019-08,41
2019-09,27
2019-10,26
2019-11,22
2019-12,20
2020-01,22
2020-02,27
2020-03,26
2020-04,29
2020-05,33
2020-06,28
2020-07,26
2020-08,25
2020-09,19
2020-10,23
2020-11,24
2020-12,18
2021-01,19
2021-02,100
2021-03,26
2021-04,23
2021-05,18
2021-06,17
2021-07,21
2021-08,17
2021-09,19
2021-10,26
2021-11,17
2021-12,19
2022-01,20
2022-02,35
2022-03,22
2022-04,22
2022-05,26
2022-06,21
2022-07,18
2022-08,17
2022-09,16
2022-10,24
2022-11,17
2022-12,17
2023-01,15
2023-02,15
2023-03,14
2023-04,19
2023-05,18
2023-06,17
2023-07,14
2023-08,15
2023-09,12
2023-10,15
2023-11,13
2023-12,15
2024-01,14
2024-02,16
2024-03,19
2024-04,15
2024-05,19
2024-06,16
2024-07,14
2024-08,19
2024-09,16
2024-10,19
2024-11,16
2024-12,16
2025-01,18
2025-02,13
