Category: All categories

Month,Doge: (Worldwide)
2004-01,4
2004-02,4
2004-03,4
2004-04,4
2004-05,4
2004-06,4
2004-07,3
2004-08,3
2004-09,3
2004-10,4
2004-11,4
2004-12,4
2005-01,4
2005-02,4
2005-03,4
2005-04,4
2005-05,4
2005-06,3
2005-07,4
2005-08,4
2005-09,3
2005-10,4
2005-11,4
2005-12,3
2006-01,5
2006-02,4
2006-03,4
2006-04,4
2006-05,5
2006-06,5
2006-07,5
2006-08,4
2006-09,4
2006-10,4
2006-11,4
2006-12,4
2007-01,5
2007-02,4
2007-03,4
2007-04,4
2007-05,4
2007-06,5
2007-07,4
2007-08,4
2007-09,4
2007-10,4
2007-11,4
2007-12,4
2008-01,5
2008-02,4
2008-03,4
2008-04,4
2008-05,4
2008-06,4
2008-07,4
2008-08,4
2008-09,4
2008-10,4
2008-11,3
2008-12,4
2009-01,3
2009-02,4
2009-03,4
2009-04,3
2009-05,3
2009-06,3
2009-07,3
2009-08,3
2009-09,3
2009-10,3
2009-11,2
2009-12,2
2010-01,2
2010-02,3
2010-03,3
2010-04,2
2010-05,3
2010-06,2
2010-07,3
2010-08,2
2010-09,2
2010-10,2
2010-11,2
2010-12,2
2011-01,3
2011-02,3
2011-03,2
2011-04,3
2011-05,3
2011-06,3
2011-07,3
2011-08,2
2011-09,2
2011-10,2
2011-11,2
2011-12,2
2012-01,3
2012-02,2
2012-03,2
2012-04,2
2012-05,2
2012-06,2
2012-07,2
2012-08,2
2012-09,2
2012-10,2
2012-11,2
2012-12,2
2013-01,2
2013-02,2
2013-03,2
2013-04,2
2013-05,3
2013-06,3
2013-07,3
2013-08,4
2013-09,5
2013-10,11
2013-11,28
2013-12,31
2014-01,26
2014-02,28
2014-03,19
2014-04,17
2014-05,16
2014-06,11
2014-07,9
2014-08,10
2014-09,9
2014-10,9
2014-11,9
2014-12,11
2015-01,9
2015-02,9
2015-03,8
2015-04,10
2015-05,10
2015-06,10
2015-07,10
2015-08,10
2015-09,12
2015-10,12
2015-11,12
2015-12,11
2016-01,10
2016-02,11
2016-03,10
2016-04,10
2016-05,10
2016-06,9
2016-07,8
2016-08,8
2016-09,10
2016-10,10
2016-11,9
2016-12,9
2017-01,9
2017-02,9
2017-03,9
2017-04,10
2017-05,9
2017-06,8
2017-07,7
2017-08,8
2017-09,8
2017-10,8
2017-11,8
2017-12,11
2018-01,11
2018-02,9
2018-03,8
2018-04,8
2018-05,8
2018-06,7
2018-07,7
2018-08,7
2018-09,9
2018-10,8
2018-11,8
2018-12,7
2019-01,7
2019-02,7
2019-03,8
2019-04,8
2019-05,8
2019-06,7
2019-07,6
2019-08,7
2019-09,7
2019-10,7
2019-11,7
2019-12,7
2020-01,7
2020-02,7
2020-03,6
2020-04,6
2020-05,7
2020-06,7
2020-07,9
2020-08,7
2020-09,8
2020-10,6
2020-11,6
2020-12,7
2021-01,24
2021-02,37
2021-03,13
2021-04,53
2021-05,79
2021-06,24
2021-07,23
2021-08,17
2021-09,14
2021-10,20
2021-11,21
2021-12,16
2022-01,25
2022-02,16
2022-03,13
2022-04,14
2022-05,13
2022-06,11
2022-07,10
2022-08,11
2022-09,10
2022-10,11
2022-11,12
2022-12,9
2023-01,9
2023-02,12
2023-03,9
2023-04,15
2023-05,9
2023-06,8
2023-07,8
2023-08,9
2023-09,7
2023-10,7
2023-11,7
2023-12,8
2024-01,8
2024-02,8
2024-03,15
2024-04,10
2024-05,18
2024-06,8
2024-07,7
2024-08,8
2024-09,7
2024-10,9
2024-11,44
2024-12,26
2025-01,25
2025-02,100
