Category: All categories

Month,FINALLY: (Worldwide)
2004-01,27
2004-02,29
2004-03,31
2004-04,34
2004-05,33
2004-06,29
2004-07,29
2004-08,32
2004-09,29
2004-10,30
2004-11,32
2004-12,30
2005-01,31
2005-02,34
2005-03,34
2005-04,34
2005-05,35
2005-06,35
2005-07,31
2005-08,32
2005-09,33
2005-10,31
2005-11,30
2005-12,31
2006-01,34
2006-02,29
2006-03,30
2006-04,32
2006-05,36
2006-06,30
2006-07,32
2006-08,32
2006-09,32
2006-10,31
2006-11,33
2006-12,29
2007-01,32
2007-02,33
2007-03,28
2007-04,35
2007-05,34
2007-06,32
2007-07,30
2007-08,30
2007-09,30
2007-10,28
2007-11,27
2007-12,29
2008-01,25
2008-02,30
2008-03,37
2008-04,42
2008-05,44
2008-06,36
2008-07,36
2008-08,38
2008-09,37
2008-10,42
2008-11,46
2008-12,51
2009-01,46
2009-02,45
2009-03,50
2009-04,48
2009-05,53
2009-06,44
2009-07,39
2009-08,39
2009-09,38
2009-10,38
2009-11,37
2009-12,39
2010-01,36
2010-02,38
2010-03,41
2010-04,43
2010-05,45
2010-06,41
2010-07,39
2010-08,39
2010-09,40
2010-10,37
2010-11,40
2010-12,39
2011-01,39
2011-02,40
2011-03,45
2011-04,52
2011-05,46
2011-06,67
2011-07,62
2011-08,48
2011-09,49
2011-10,49
2011-11,46
2011-12,56
2012-01,52
2012-02,47
2012-03,44
2012-04,45
2012-05,44
2012-06,40
2012-07,42
2012-08,47
2012-09,60
2012-10,70
2012-11,80
2012-12,100
2013-01,71
2013-02,62
2013-03,62
2013-04,58
2013-05,54
2013-06,50
2013-07,44
2013-08,45
2013-09,43
2013-10,45
2013-11,43
2013-12,40
2014-01,40
2014-02,42
2014-03,45
2014-04,43
2014-05,44
2014-06,39
2014-07,40
2014-08,41
2014-09,41
2014-10,41
2014-11,41
2014-12,40
2015-01,38
2015-02,42
2015-03,47
2015-04,45
2015-05,43
2015-06,40
2015-07,40
2015-08,38
2015-09,40
2015-10,39
2015-11,46
2015-12,44
2016-01,43
2016-02,47
2016-03,48
2016-04,47
2016-05,47
2016-06,44
2016-07,40
2016-08,36
2016-09,42
2016-10,43
2016-11,43
2016-12,43
2017-01,40
2017-02,42
2017-03,45
2017-04,42
2017-05,44
2017-06,41
2017-07,44
2017-08,54
2017-09,46
2017-10,44
2017-11,53
2017-12,51
2018-01,44
2018-02,45
2018-03,47
2018-04,46
2018-05,47
2018-06,45
2018-07,42
2018-08,41
2018-09,54
2018-10,44
2018-11,43
2018-12,46
2019-01,42
2019-02,46
2019-03,47
2019-04,46
2019-05,46
2019-06,43
2019-07,42
2019-08,43
2019-09,44
2019-10,46
2019-11,44
2019-12,43
2020-01,43
2020-02,45
2020-03,45
2020-04,53
2020-05,52
2020-06,48
2020-07,47
2020-08,44
2020-09,54
2020-10,49
2020-11,47
2020-12,46
2021-01,51
2021-02,47
2021-03,48
2021-04,46
2021-05,48
2021-06,45
2021-07,46
2021-08,46
2021-09,47
2021-10,49
2021-11,45
2021-12,44
2022-01,50
2022-02,54
2022-03,59
2022-04,61
2022-05,58
2022-06,55
2022-07,50
2022-08,49
2022-09,57
2022-10,55
2022-11,52
2022-12,52
2023-01,50
2023-02,55
2023-03,58
2023-04,52
2023-05,58
2023-06,48
2023-07,43
2023-08,46
2023-09,50
2023-10,49
2023-11,49
2023-12,49
2024-01,49
2024-02,55
2024-03,52
2024-04,54
2024-05,54
2024-06,53
2024-07,48
2024-08,48
2024-09,55
2024-10,55
2024-11,52
2024-12,53
2025-01,51
2025-02,52
