Category: All categories

Month,Hide the Pain Harold: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,2
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,1
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,2
2014-09,6
2014-10,8
2014-11,6
2014-12,7
2015-01,19
2015-02,8
2015-03,9
2015-04,18
2015-05,11
2015-06,9
2015-07,8
2015-08,8
2015-09,9
2015-10,11
2015-11,16
2015-12,16
2016-01,11
2016-02,12
2016-03,19
2016-04,13
2016-05,12
2016-06,16
2016-07,12
2016-08,10
2016-09,15
2016-10,18
2016-11,18
2016-12,17
2017-01,15
2017-02,18
2017-03,17
2017-04,26
2017-05,28
2017-06,32
2017-07,21
2017-08,23
2017-09,24
2017-10,29
2017-11,27
2017-12,27
2018-01,26
2018-02,36
2018-03,71
2018-04,41
2018-05,70
2018-06,54
2018-07,34
2018-08,60
2018-09,38
2018-10,44
2018-11,47
2018-12,51
2019-01,82
2019-02,51
2019-03,41
2019-04,33
2019-05,32
2019-06,56
2019-07,60
2019-08,90
2019-09,75
2019-10,100
2019-11,100
2019-12,62
2020-01,56
2020-02,49
2020-03,73
2020-04,40
2020-05,67
2020-06,90
2020-07,64
2020-08,57
2020-09,48
2020-10,39
2020-11,41
2020-12,70
2021-01,41
2021-02,42
2021-03,43
2021-04,42
2021-05,42
2021-06,52
2021-07,34
2021-08,30
2021-09,35
2021-10,28
2021-11,28
2021-12,28
2022-01,34
2022-02,37
2022-03,32
2022-04,35
2022-05,29
2022-06,44
2022-07,31
2022-08,34
2022-09,33
2022-10,30
2022-11,32
2022-12,51
2023-01,33
2023-02,25
2023-03,26
2023-04,30
2023-05,34
2023-06,32
2023-07,31
2023-08,34
2023-09,34
2023-10,32
2023-11,28
2023-12,25
2024-01,24
2024-02,30
2024-03,30
2024-04,32
2024-05,26
2024-06,26
2024-07,24
2024-08,24
2024-09,30
2024-10,26
2024-11,24
2024-12,23
2025-01,20
2025-02,21
