Category: All categories

Month,X All The Y: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,12
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,5
2007-10,5
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,3
2008-04,3
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,3
2008-10,5
2008-11,0
2008-12,4
2009-01,4
2009-02,3
2009-03,4
2009-04,5
2009-05,4
2009-06,2
2009-07,3
2009-08,3
2009-09,5
2009-10,5
2009-11,5
2009-12,3
2010-01,3
2010-02,4
2010-03,6
2010-04,7
2010-05,6
2010-06,5
2010-07,6
2010-08,3
2010-09,7
2010-10,7
2010-11,7
2010-12,4
2011-01,7
2011-02,10
2011-03,8
2011-04,8
2011-05,9
2011-06,6
2011-07,8
2011-08,26
2011-09,28
2011-10,36
2011-11,41
2011-12,53
2012-01,45
2012-02,40
2012-03,34
2012-04,30
2012-05,24
2012-06,21
2012-07,19
2012-08,20
2012-09,24
2012-10,22
2012-11,20
2012-12,17
2013-01,21
2013-02,23
2013-03,22
2013-04,22
2013-05,21
2013-06,20
2013-07,19
2013-08,19
2013-09,31
2013-10,88
2013-11,63
2013-12,53
2014-01,48
2014-02,45
2014-03,37
2014-04,31
2014-05,26
2014-06,24
2014-07,24
2014-08,25
2014-09,30
2014-10,27
2014-11,23
2014-12,20
2015-01,20
2015-02,22
2015-03,21
2015-04,20
2015-05,16
2015-06,14
2015-07,17
2015-08,15
2015-09,23
2015-10,22
2015-11,21
2015-12,19
2016-01,19
2016-02,28
2016-03,23
2016-04,24
2016-05,22
2016-06,19
2016-07,20
2016-08,18
2016-09,26
2016-10,22
2016-11,21
2016-12,19
2017-01,19
2017-02,25
2017-03,22
2017-04,24
2017-05,17
2017-06,15
2017-07,13
2017-08,12
2017-09,22
2017-10,24
2017-11,21
2017-12,18
2018-01,15
2018-02,25
2018-03,22
2018-04,23
2018-05,20
2018-06,17
2018-07,14
2018-08,15
2018-09,26
2018-10,29
2018-11,24
2018-12,20
2019-01,21
2019-02,27
2019-03,24
2019-04,25
2019-05,22
2019-06,21
2019-07,16
2019-08,17
2019-09,30
2019-10,29
2019-11,25
2019-12,22
2020-01,23
2020-02,33
2020-03,29
2020-04,49
2020-05,48
2020-06,40
2020-07,41
2020-08,44
2020-09,82
2020-10,78
2020-11,64
2020-12,65
2021-01,56
2021-02,63
2021-03,66
2021-04,66
2021-05,66
2021-06,55
2021-07,51
2021-08,54
2021-09,77
2021-10,77
2021-11,66
2021-12,55
2022-01,74
2022-02,95
2022-03,90
2022-04,100
2022-05,80
2022-06,75
2022-07,56
2022-08,57
2022-09,86
2022-10,84
2022-11,80
2022-12,76
2023-01,76
2023-02,95
2023-03,88
2023-04,80
2023-05,78
2023-06,56
2023-07,41
2023-08,45
2023-09,79
2023-10,79
2023-11,67
2023-12,66
2024-01,71
2024-02,100
2024-03,82
2024-04,84
2024-05,77
2024-06,64
2024-07,54
2024-08,54
2024-09,95
2024-10,88
2024-11,79
2024-12,75
2025-01,70
2025-02,87
