Category: All categories

Month,I Too Like To Live Dangerously: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,11
2012-12,11
2013-01,23
2013-02,25
2013-03,83
2013-04,100
2013-05,72
2013-06,60
2013-07,67
2013-08,45
2013-09,57
2013-10,61
2013-11,47
2013-12,67
2014-01,59
2014-02,47
2014-03,41
2014-04,56
2014-05,58
2014-06,48
2014-07,47
2014-08,52
2014-09,51
2014-10,44
2014-11,46
2014-12,55
2015-01,59
2015-02,41
2015-03,41
2015-04,52
2015-05,45
2015-06,56
2015-07,45
2015-08,43
2015-09,41
2015-10,41
2015-11,42
2015-12,52
2016-01,39
2016-02,39
2016-03,33
2016-04,38
2016-05,40
2016-06,32
2016-07,30
2016-08,41
2016-09,35
2016-10,36
2016-11,36
2016-12,33
2017-01,33
2017-02,38
2017-03,33
2017-04,30
2017-05,34
2017-06,29
2017-07,30
2017-08,27
2017-09,32
2017-10,24
2017-11,30
2017-12,28
2018-01,27
2018-02,26
2018-03,28
2018-04,18
2018-05,25
2018-06,23
2018-07,23
2018-08,25
2018-09,24
2018-10,26
2018-11,22
2018-12,18
2019-01,26
2019-02,21
2019-03,20
2019-04,23
2019-05,20
2019-06,19
2019-07,17
2019-08,21
2019-09,19
2019-10,15
2019-11,22
2019-12,17
2020-01,17
2020-02,22
2020-03,20
2020-04,16
2020-05,15
2020-06,14
2020-07,13
2020-08,14
2020-09,18
2020-10,13
2020-11,8
2020-12,11
2021-01,8
2021-02,11
2021-03,11
2021-04,11
2021-05,10
2021-06,7
2021-07,9
2021-08,15
2021-09,10
2021-10,8
2021-11,8
2021-12,8
2022-01,10
2022-02,8
2022-03,8
2022-04,7
2022-05,9
2022-06,7
2022-07,10
2022-08,9
2022-09,11
2022-10,6
2022-11,6
2022-12,9
2023-01,5
2023-02,9
2023-03,6
2023-04,8
2023-05,7
2023-06,7
2023-07,5
2023-08,8
2023-09,8
2023-10,8
2023-11,7
2023-12,5
2024-01,5
2024-02,5
2024-03,6
2024-04,5
2024-05,8
2024-06,7
2024-07,6
2024-08,6
2024-09,5
2024-10,5
2024-11,6
2024-12,7
2025-01,7
2025-02,3
