Category: All categories

Month,Liam Neeson Taken: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,3
2008-03,3
2008-04,2
2008-05,3
2008-06,3
2008-07,5
2008-08,14
2008-09,14
2008-10,17
2008-11,13
2008-12,13
2009-01,38
2009-02,36
2009-03,34
2009-04,15
2009-05,20
2009-06,15
2009-07,10
2009-08,10
2009-09,8
2009-10,7
2009-11,6
2009-12,12
2010-01,10
2010-02,8
2010-03,7
2010-04,7
2010-05,9
2010-06,8
2010-07,8
2010-08,9
2010-09,6
2010-10,7
2010-11,9
2010-12,10
2011-01,13
2011-02,20
2011-03,19
2011-04,13
2011-05,11
2011-06,19
2011-07,17
2011-08,16
2011-09,11
2011-10,10
2011-11,11
2011-12,14
2012-01,23
2012-02,21
2012-03,15
2012-04,16
2012-05,19
2012-06,27
2012-07,32
2012-08,27
2012-09,47
2012-10,75
2012-11,27
2012-12,26
2013-01,32
2013-02,27
2013-03,22
2013-04,17
2013-05,15
2013-06,16
2013-07,17
2013-08,17
2013-09,17
2013-10,15
2013-11,16
2013-12,17
2014-01,18
2014-02,32
2014-03,34
2014-04,26
2014-05,24
2014-06,28
2014-07,25
2014-08,25
2014-09,31
2014-10,36
2014-11,24
2014-12,35
2015-01,100
2015-02,49
2015-03,35
2015-04,34
2015-05,32
2015-06,28
2015-07,26
2015-08,25
2015-09,22
2015-10,20
2015-11,20
2015-12,26
2016-01,23
2016-02,20
2016-03,18
2016-04,14
2016-05,15
2016-06,14
2016-07,14
2016-08,13
2016-09,14
2016-10,13
2016-11,14
2016-12,17
2017-01,17
2017-02,15
2017-03,16
2017-04,13
2017-05,14
2017-06,13
2017-07,13
2017-08,14
2017-09,13
2017-10,14
2017-11,14
2017-12,17
2018-01,27
2018-02,20
2018-03,17
2018-04,16
2018-05,13
2018-06,13
2018-07,13
2018-08,13
2018-09,12
2018-10,11
2018-11,12
2018-12,13
2019-01,17
2019-02,26
2019-03,14
2019-04,12
2019-05,12
2019-06,11
2019-07,12
2019-08,11
2019-09,10
2019-10,10
2019-11,11
2019-12,12
2020-01,13
2020-02,10
2020-03,11
2020-04,13
2020-05,12
2020-06,10
2020-07,9
2020-08,10
2020-09,9
2020-10,12
2020-11,12
2020-12,14
2021-01,18
2021-02,12
2021-03,11
2021-04,11
2021-05,12
2021-06,13
2021-07,12
2021-08,11
2021-09,9
2021-10,8
2021-11,9
2021-12,9
2022-01,12
2022-02,13
2022-03,12
2022-04,11
2022-05,11
2022-06,12
2022-07,9
2022-08,9
2022-09,9
2022-10,9
2022-11,9
2022-12,10
2023-01,12
2023-02,9
2023-03,9
2023-04,10
2023-05,8
2023-06,9
2023-07,10
2023-08,10
2023-09,12
2023-10,10
2023-11,10
2023-12,15
2024-01,12
2024-02,11
2024-03,10
2024-04,9
2024-05,10
2024-06,12
2024-07,10
2024-08,10
2024-09,9
2024-10,8
2024-11,10
2024-12,11
2025-01,9
2025-02,10
