Category: All categories

Month,i receive you receive: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,11
2004-07,9
2004-08,0
2004-09,7
2004-10,11
2004-11,8
2004-12,6
2005-01,6
2005-02,0
2005-03,10
2005-04,13
2005-05,10
2005-06,11
2005-07,9
2005-08,7
2005-09,10
2005-10,6
2005-11,8
2005-12,8
2006-01,9
2006-02,8
2006-03,9
2006-04,9
2006-05,7
2006-06,11
2006-07,9
2006-08,12
2006-09,6
2006-10,9
2006-11,8
2006-12,8
2007-01,8
2007-02,9
2007-03,11
2007-04,11
2007-05,12
2007-06,12
2007-07,9
2007-08,10
2007-09,10
2007-10,9
2007-11,9
2007-12,10
2008-01,12
2008-02,12
2008-03,12
2008-04,15
2008-05,17
2008-06,11
2008-07,16
2008-08,14
2008-09,12
2008-10,13
2008-11,15
2008-12,14
2009-01,16
2009-02,20
2009-03,19
2009-04,19
2009-05,17
2009-06,17
2009-07,18
2009-08,18
2009-09,18
2009-10,18
2009-11,34
2009-12,30
2010-01,25
2010-02,22
2010-03,18
2010-04,21
2010-05,21
2010-06,21
2010-07,22
2010-08,22
2010-09,22
2010-10,20
2010-11,20
2010-12,23
2011-01,26
2011-02,26
2011-03,24
2011-04,25
2011-05,24
2011-06,24
2011-07,24
2011-08,25
2011-09,23
2011-10,22
2011-11,24
2011-12,24
2012-01,30
2012-02,32
2012-03,26
2012-04,27
2012-05,25
2012-06,28
2012-07,29
2012-08,29
2012-09,27
2012-10,28
2012-11,27
2012-12,25
2013-01,31
2013-02,33
2013-03,29
2013-04,28
2013-05,25
2013-06,24
2013-07,26
2013-08,26
2013-09,26
2013-10,27
2013-11,25
2013-12,24
2014-01,33
2014-02,31
2014-03,27
2014-04,29
2014-05,27
2014-06,25
2014-07,27
2014-08,25
2014-09,28
2014-10,26
2014-11,26
2014-12,26
2015-01,32
2015-02,32
2015-03,29
2015-04,30
2015-05,29
2015-06,27
2015-07,27
2015-08,28
2015-09,27
2015-10,29
2015-11,28
2015-12,27
2016-01,34
2016-02,36
2016-03,31
2016-04,32
2016-05,31
2016-06,31
2016-07,27
2016-08,28
2016-09,28
2016-10,30
2016-11,31
2016-12,31
2017-01,37
2017-02,38
2017-03,35
2017-04,33
2017-05,31
2017-06,29
2017-07,31
2017-08,31
2017-09,30
2017-10,33
2017-11,32
2017-12,31
2018-01,35
2018-02,38
2018-03,37
2018-04,36
2018-05,33
2018-06,31
2018-07,33
2018-08,35
2018-09,35
2018-10,35
2018-11,37
2018-12,33
2019-01,39
2019-02,47
2019-03,39
2019-04,39
2019-05,36
2019-06,34
2019-07,35
2019-08,36
2019-09,39
2019-10,37
2019-11,38
2019-12,36
2020-01,42
2020-02,48
2020-03,46
2020-04,94
2020-05,68
2020-06,57
2020-07,50
2020-08,47
2020-09,50
2020-10,48
2020-11,44
2020-12,48
2021-01,62
2021-02,55
2021-03,72
2021-04,70
2021-05,57
2021-06,47
2021-07,54
2021-08,51
2021-09,50
2021-10,52
2021-11,53
2021-12,52
2022-01,74
2022-02,83
2022-03,82
2022-04,80
2022-05,70
2022-06,65
2022-07,66
2022-08,68
2022-09,67
2022-10,68
2022-11,62
2022-12,61
2023-01,74
2023-02,78
2023-03,76
2023-04,76
2023-05,72
2023-06,66
2023-07,62
2023-08,60
2023-09,55
2023-10,62
2023-11,58
2023-12,55
2024-01,67
2024-02,74
2024-03,71
2024-04,70
2024-05,64
2024-06,59
2024-07,65
2024-08,64
2024-09,71
2024-10,75
2024-11,75
2024-12,80
2025-01,90
2025-02,100
