Category: All categories

Month,Imagination Spongebob: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,10
2009-03,0
2009-04,9
2009-05,0
2009-06,9
2009-07,15
2009-08,14
2009-09,12
2009-10,12
2009-11,12
2009-12,17
2010-01,14
2010-02,19
2010-03,13
2010-04,16
2010-05,12
2010-06,15
2010-07,9
2010-08,14
2010-09,14
2010-10,13
2010-11,10
2010-12,19
2011-01,13
2011-02,18
2011-03,21
2011-04,13
2011-05,17
2011-06,19
2011-07,14
2011-08,23
2011-09,15
2011-10,18
2011-11,24
2011-12,18
2012-01,23
2012-02,30
2012-03,28
2012-04,29
2012-05,23
2012-06,36
2012-07,37
2012-08,53
2012-09,54
2012-10,50
2012-11,51
2012-12,59
2013-01,59
2013-02,68
2013-03,75
2013-04,86
2013-05,89
2013-06,90
2013-07,86
2013-08,90
2013-09,84
2013-10,86
2013-11,83
2013-12,93
2014-01,94
2014-02,97
2014-03,90
2014-04,90
2014-05,90
2014-06,88
2014-07,97
2014-08,86
2014-09,89
2014-10,94
2014-11,92
2014-12,96
2015-01,90
2015-02,88
2015-03,100
2015-04,89
2015-05,91
2015-06,90
2015-07,81
2015-08,79
2015-09,91
2015-10,78
2015-11,83
2015-12,95
2016-01,83
2016-02,93
2016-03,71
2016-04,76
2016-05,81
2016-06,83
2016-07,81
2016-08,73
2016-09,75
2016-10,70
2016-11,66
2016-12,65
2017-01,66
2017-02,81
2017-03,80
2017-04,73
2017-05,69
2017-06,70
2017-07,58
2017-08,56
2017-09,64
2017-10,73
2017-11,64
2017-12,61
2018-01,62
2018-02,65
2018-03,63
2018-04,55
2018-05,58
2018-06,53
2018-07,53
2018-08,47
2018-09,57
2018-10,48
2018-11,50
2018-12,49
2019-01,47
2019-02,50
2019-03,47
2019-04,50
2019-05,50
2019-06,52
2019-07,50
2019-08,54
2019-09,60
2019-10,56
2019-11,48
2019-12,47
2020-01,46
2020-02,50
2020-03,52
2020-04,59
2020-05,54
2020-06,55
2020-07,42
2020-08,46
2020-09,47
2020-10,36
2020-11,32
2020-12,41
2021-01,40
2021-02,34
2021-03,31
2021-04,29
2021-05,33
2021-06,31
2021-07,32
2021-08,30
2021-09,30
2021-10,27
2021-11,24
2021-12,31
2022-01,31
2022-02,29
2022-03,26
2022-04,35
2022-05,32
2022-06,29
2022-07,26
2022-08,29
2022-09,28
2022-10,23
2022-11,24
2022-12,24
2023-01,25
2023-02,29
2023-03,25
2023-04,27
2023-05,24
2023-06,23
2023-07,22
2023-08,26
2023-09,29
2023-10,23
2023-11,25
2023-12,20
2024-01,26
2024-02,28
2024-03,26
2024-04,29
2024-05,29
2024-06,24
2024-07,28
2024-08,27
2024-09,30
2024-10,29
2024-11,26
2024-12,28
2025-01,25
2025-02,26
