Category: All categories

Month,first time: (Worldwide)
2004-01,50
2004-02,45
2004-03,54
2004-04,54
2004-05,54
2004-06,55
2004-07,55
2004-08,57
2004-09,52
2004-10,53
2004-11,55
2004-12,56
2005-01,60
2005-02,61
2005-03,58
2005-04,61
2005-05,60
2005-06,62
2005-07,61
2005-08,58
2005-09,54
2005-10,54
2005-11,55
2005-12,53
2006-01,57
2006-02,54
2006-03,52
2006-04,55
2006-05,52
2006-06,52
2006-07,56
2006-08,52
2006-09,49
2006-10,48
2006-11,47
2006-12,48
2007-01,48
2007-02,49
2007-03,48
2007-04,50
2007-05,49
2007-06,53
2007-07,57
2007-08,55
2007-09,52
2007-10,52
2007-11,48
2007-12,48
2008-01,51
2008-02,52
2008-03,53
2008-04,50
2008-05,54
2008-06,50
2008-07,51
2008-08,53
2008-09,52
2008-10,50
2008-11,49
2008-12,52
2009-01,58
2009-02,74
2009-03,65
2009-04,65
2009-05,63
2009-06,67
2009-07,64
2009-08,68
2009-09,63
2009-10,68
2009-11,70
2009-12,56
2010-01,59
2010-02,64
2010-03,63
2010-04,66
2010-05,62
2010-06,64
2010-07,70
2010-08,63
2010-09,69
2010-10,69
2010-11,69
2010-12,65
2011-01,70
2011-02,67
2011-03,68
2011-04,68
2011-05,68
2011-06,66
2011-07,70
2011-08,65
2011-09,67
2011-10,65
2011-11,70
2011-12,72
2012-01,72
2012-02,68
2012-03,70
2012-04,70
2012-05,69
2012-06,73
2012-07,75
2012-08,77
2012-09,75
2012-10,77
2012-11,69
2012-12,71
2013-01,77
2013-02,76
2013-03,82
2013-04,79
2013-05,79
2013-06,82
2013-07,89
2013-08,86
2013-09,82
2013-10,80
2013-11,80
2013-12,86
2014-01,90
2014-02,91
2014-03,97
2014-04,95
2014-05,95
2014-06,89
2014-07,88
2014-08,92
2014-09,84
2014-10,82
2014-11,85
2014-12,90
2015-01,90
2015-02,89
2015-03,91
2015-04,91
2015-05,90
2015-06,88
2015-07,93
2015-08,89
2015-09,92
2015-10,89
2015-11,86
2015-12,91
2016-01,89
2016-02,89
2016-03,90
2016-04,91
2016-05,87
2016-06,86
2016-07,85
2016-08,81
2016-09,87
2016-10,87
2016-11,94
2016-12,93
2017-01,96
2017-02,91
2017-03,93
2017-04,98
2017-05,96
2017-06,93
2017-07,100
2017-08,97
2017-09,90
2017-10,96
2017-11,95
2017-12,94
2018-01,97
2018-02,99
2018-03,99
2018-04,97
2018-05,91
2018-06,96
2018-07,96
2018-08,90
2018-09,95
2018-10,94
2018-11,88
2018-12,89
2019-01,93
2019-02,93
2019-03,89
2019-04,88
2019-05,81
2019-06,92
2019-07,88
2019-08,87
2019-09,86
2019-10,85
2019-11,84
2019-12,86
2020-01,85
2020-02,87
2020-03,80
2020-04,84
2020-05,87
2020-06,86
2020-07,86
2020-08,87
2020-09,87
2020-10,87
2020-11,82
2020-12,88
2021-01,86
2021-02,85
2021-03,86
2021-04,82
2021-05,88
2021-06,81
2021-07,84
2021-08,88
2021-09,82
2021-10,86
2021-11,80
2021-12,85
2022-01,88
2022-02,95
2022-03,91
2022-04,93
2022-05,90
2022-06,90
2022-07,84
2022-08,83
2022-09,84
2022-10,87
2022-11,82
2022-12,81
2023-01,87
2023-02,88
2023-03,85
2023-04,85
2023-05,87
2023-06,86
2023-07,83
2023-08,81
2023-09,85
2023-10,85
2023-11,81
2023-12,86
2024-01,86
2024-02,94
2024-03,91
2024-04,93
2024-05,92
2024-06,84
2024-07,87
2024-08,87
2024-09,89
2024-10,88
2024-11,93
2024-12,95
2025-01,93
2025-02,97
