Category: All categories

Month,Jason Momoa Henry Cavill: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,4
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,6
2011-11,0
2011-12,0
2012-01,0
2012-02,4
2012-03,0
2012-04,5
2012-05,0
2012-06,0
2012-07,3
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,3
2013-03,0
2013-04,0
2013-05,0
2013-06,5
2013-07,3
2013-08,2
2013-09,0
2013-10,0
2013-11,0
2013-12,4
2014-01,3
2014-02,0
2014-03,0
2014-04,3
2014-05,3
2014-06,12
2014-07,9
2014-08,8
2014-09,8
2014-10,15
2014-11,6
2014-12,6
2015-01,5
2015-02,9
2015-03,9
2015-04,14
2015-05,15
2015-06,4
2015-07,9
2015-08,6
2015-09,11
2015-10,6
2015-11,5
2015-12,6
2016-01,5
2016-02,6
2016-03,21
2016-04,20
2016-05,10
2016-06,8
2016-07,16
2016-08,40
2016-09,13
2016-10,13
2016-11,9
2016-12,10
2017-01,12
2017-02,21
2017-03,13
2017-04,10
2017-05,10
2017-06,10
2017-07,18
2017-08,14
2017-09,12
2017-10,20
2017-11,100
2017-12,40
2018-01,26
2018-02,24
2018-03,22
2018-04,33
2018-05,39
2018-06,18
2018-07,35
2018-08,30
2018-09,29
2018-10,20
2018-11,31
2018-12,77
2019-01,55
2019-02,29
2019-03,24
2019-04,26
2019-05,25
2019-06,16
2019-07,22
2019-08,22
2019-09,17
2019-10,16
2019-11,21
2019-12,39
2020-01,53
2020-02,39
2020-03,30
2020-04,28
2020-05,41
2020-06,30
2020-07,32
2020-08,32
2020-09,40
2020-10,35
2020-11,35
2020-12,37
2021-01,34
2021-02,31
2021-03,60
2021-04,46
2021-05,29
2021-06,24
2021-07,28
2021-08,34
2021-09,22
2021-10,24
2021-11,21
2021-12,35
2022-01,58
2022-02,34
2022-03,34
2022-04,32
2022-05,31
2022-06,32
2022-07,23
2022-08,26
2022-09,25
2022-10,29
2022-11,39
2022-12,41
2023-01,30
2023-02,28
2023-03,22
2023-04,27
2023-05,26
2023-06,29
2023-07,30
2023-08,29
2023-09,20
2023-10,21
2023-11,18
2023-12,39
2024-01,35
2024-02,24
2024-03,24
2024-04,24
2024-05,20
2024-06,17
2024-07,21
2024-08,21
2024-09,20
2024-10,19
2024-11,15
2024-12,17
2025-01,17
2025-02,10
