Category: All categories

Month,Kill Yourself Guy: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,27
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,28
2010-10,18
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,19
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,12
2012-04,13
2012-05,0
2012-06,0
2012-07,19
2012-08,31
2012-09,47
2012-10,35
2012-11,51
2012-12,28
2013-01,32
2013-02,30
2013-03,28
2013-04,29
2013-05,25
2013-06,28
2013-07,15
2013-08,18
2013-09,23
2013-10,18
2013-11,14
2013-12,20
2014-01,14
2014-02,22
2014-03,22
2014-04,15
2014-05,26
2014-06,42
2014-07,34
2014-08,48
2014-09,31
2014-10,29
2014-11,32
2014-12,23
2015-01,32
2015-02,36
2015-03,44
2015-04,40
2015-05,39
2015-06,34
2015-07,37
2015-08,38
2015-09,50
2015-10,40
2015-11,37
2015-12,52
2016-01,51
2016-02,53
2016-03,67
2016-04,100
2016-05,85
2016-06,86
2016-07,77
2016-08,73
2016-09,84
2016-10,93
2016-11,81
2016-12,67
2017-01,70
2017-02,81
2017-03,71
2017-04,62
2017-05,68
2017-06,51
2017-07,55
2017-08,47
2017-09,46
2017-10,53
2017-11,49
2017-12,43
2018-01,37
2018-02,38
2018-03,40
2018-04,30
2018-05,35
2018-06,36
2018-07,31
2018-08,28
2018-09,34
2018-10,24
2018-11,33
2018-12,27
2019-01,24
2019-02,34
2019-03,35
2019-04,28
2019-05,24
2019-06,28
2019-07,35
2019-08,35
2019-09,25
2019-10,31
2019-11,26
2019-12,27
2020-01,21
2020-02,23
2020-03,16
2020-04,26
2020-05,25
2020-06,23
2020-07,28
2020-08,18
2020-09,19
2020-10,15
2020-11,13
2020-12,15
2021-01,17
2021-02,20
2021-03,15
2021-04,16
2021-05,12
2021-06,10
2021-07,15
2021-08,17
2021-09,12
2021-10,13
2021-11,25
2021-12,23
2022-01,27
2022-02,20
2022-03,21
2022-04,22
2022-05,25
2022-06,23
2022-07,21
2022-08,19
2022-09,16
2022-10,17
2022-11,19
2022-12,21
2023-01,23
2023-02,15
2023-03,23
2023-04,29
2023-05,32
2023-06,28
2023-07,25
2023-08,19
2023-09,19
2023-10,13
2023-11,18
2023-12,19
2024-01,23
2024-02,20
2024-03,15
2024-04,18
2024-05,16
2024-06,15
2024-07,14
2024-08,16
2024-09,9
2024-10,15
2024-11,25
2024-12,19
2025-01,25
2025-02,14
