Category: All categories

Month,Maury Lie Detector: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,59
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,63
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,36
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,41
2012-08,74
2012-09,44
2012-10,74
2012-11,37
2012-12,0
2013-01,26
2013-02,0
2013-03,54
2013-04,55
2013-05,77
2013-06,60
2013-07,32
2013-08,53
2013-09,100
2013-10,65
2013-11,92
2013-12,87
2014-01,87
2014-02,71
2014-03,77
2014-04,70
2014-05,69
2014-06,40
2014-07,71
2014-08,63
2014-09,73
2014-10,57
2014-11,60
2014-12,97
2015-01,61
2015-02,33
2015-03,67
2015-04,62
2015-05,49
2015-06,53
2015-07,50
2015-08,33
2015-09,62
2015-10,55
2015-11,54
2015-12,53
2016-01,64
2016-02,38
2016-03,62
2016-04,49
2016-05,49
2016-06,46
2016-07,72
2016-08,52
2016-09,68
2016-10,53
2016-11,49
2016-12,89
2017-01,67
2017-02,52
2017-03,62
2017-04,65
2017-05,58
2017-06,77
2017-07,98
2017-08,80
2017-09,55
2017-10,40
2017-11,75
2017-12,82
2018-01,68
2018-02,51
2018-03,64
2018-04,50
2018-05,74
2018-06,66
2018-07,67
2018-08,57
2018-09,56
2018-10,56
2018-11,45
2018-12,62
2019-01,80
2019-02,58
2019-03,47
2019-04,61
2019-05,41
2019-06,52
2019-07,56
2019-08,45
2019-09,46
2019-10,63
2019-11,47
2019-12,51
2020-01,47
2020-02,42
2020-03,53
2020-04,50
2020-05,54
2020-06,36
2020-07,51
2020-08,36
2020-09,53
2020-10,42
2020-11,38
2020-12,39
2021-01,43
2021-02,35
2021-03,28
2021-04,34
2021-05,35
2021-06,33
2021-07,39
2021-08,29
2021-09,15
2021-10,24
2021-11,24
2021-12,31
2022-01,31
2022-02,0
2022-03,19
2022-04,22
2022-05,16
2022-06,28
2022-07,26
2022-08,24
2022-09,32
2022-10,19
2022-11,22
2022-12,14
2023-01,22
2023-02,22
2023-03,12
2023-04,25
2023-05,37
2023-06,22
2023-07,23
2023-08,24
2023-09,20
2023-10,25
2023-11,19
2023-12,22
2024-01,28
2024-02,18
2024-03,14
2024-04,34
2024-05,0
2024-06,0
2024-07,22
2024-08,22
2024-09,21
2024-10,25
2024-11,0
2024-12,31
2025-01,30
2025-02,14
