Category: All categories

Month,One Does Not Simply: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,4
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,3
2005-09,0
2005-10,3
2005-11,3
2005-12,3
2006-01,3
2006-02,2
2006-03,0
2006-04,2
2006-05,2
2006-06,0
2006-07,3
2006-08,3
2006-09,2
2006-10,0
2006-11,3
2006-12,2
2007-01,3
2007-02,3
2007-03,5
2007-04,4
2007-05,4
2007-06,4
2007-07,3
2007-08,3
2007-09,3
2007-10,3
2007-11,3
2007-12,3
2008-01,3
2008-02,3
2008-03,3
2008-04,3
2008-05,3
2008-06,3
2008-07,2
2008-08,3
2008-09,3
2008-10,3
2008-11,2
2008-12,4
2009-01,3
2009-02,3
2009-03,3
2009-04,3
2009-05,3
2009-06,3
2009-07,3
2009-08,3
2009-09,3
2009-10,3
2009-11,3
2009-12,5
2010-01,3
2010-02,4
2010-03,4
2010-04,8
2010-05,6
2010-06,4
2010-07,3
2010-08,4
2010-09,5
2010-10,4
2010-11,4
2010-12,6
2011-01,6
2011-02,6
2011-03,7
2011-04,6
2011-05,6
2011-06,6
2011-07,7
2011-08,6
2011-09,7
2011-10,8
2011-11,9
2011-12,19
2012-01,52
2012-02,100
2012-03,80
2012-04,63
2012-05,57
2012-06,54
2012-07,47
2012-08,47
2012-09,46
2012-10,41
2012-11,45
2012-12,54
2013-01,46
2013-02,46
2013-03,39
2013-04,38
2013-05,36
2013-06,37
2013-07,29
2013-08,29
2013-09,24
2013-10,22
2013-11,22
2013-12,29
2014-01,28
2014-02,23
2014-03,22
2014-04,24
2014-05,21
2014-06,22
2014-07,17
2014-08,19
2014-09,18
2014-10,20
2014-11,19
2014-12,22
2015-01,21
2015-02,20
2015-03,20
2015-04,20
2015-05,20
2015-06,18
2015-07,16
2015-08,18
2015-09,19
2015-10,18
2015-11,17
2015-12,16
2016-01,14
2016-02,15
2016-03,14
2016-04,13
2016-05,14
2016-06,14
2016-07,12
2016-08,11
2016-09,12
2016-10,12
2016-11,11
2016-12,12
2017-01,11
2017-02,11
2017-03,12
2017-04,11
2017-05,10
2017-06,9
2017-07,10
2017-08,10
2017-09,14
2017-10,9
2017-11,9
2017-12,9
2018-01,10
2018-02,10
2018-03,8
2018-04,8
2018-05,7
2018-06,6
2018-07,6
2018-08,6
2018-09,8
2018-10,8
2018-11,8
2018-12,8
2019-01,8
2019-02,9
2019-03,9
2019-04,9
2019-05,9
2019-06,6
2019-07,5
2019-08,5
2019-09,6
2019-10,6
2019-11,6
2019-12,6
2020-01,6
2020-02,6
2020-03,7
2020-04,8
2020-05,7
2020-06,7
2020-07,5
2020-08,5
2020-09,7
2020-10,6
2020-11,6
2020-12,6
2021-01,7
2021-02,6
2021-03,7
2021-04,6
2021-05,6
2021-06,5
2021-07,5
2021-08,4
2021-09,6
2021-10,6
2021-11,5
2021-12,5
2022-01,7
2022-02,8
2022-03,8
2022-04,8
2022-05,8
2022-06,7
2022-07,5
2022-08,5
2022-09,9
2022-10,9
2022-11,8
2022-12,7
2023-01,7
2023-02,9
2023-03,8
2023-04,8
2023-05,8
2023-06,6
2023-07,4
2023-08,5
2023-09,7
2023-10,8
2023-11,7
2023-12,7
2024-01,7
2024-02,9
2024-03,8
2024-04,9
2024-05,7
2024-06,6
2024-07,6
2024-08,7
2024-09,11
2024-10,10
2024-11,9
2024-12,9
2025-01,8
2025-02,9
