Category: All categories

Month,Pepperidge Farm Remembers: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,24
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,17
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,10
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,8
2011-10,0
2011-11,10
2011-12,0
2012-01,0
2012-02,0
2012-03,8
2012-04,0
2012-05,0
2012-06,25
2012-07,14
2012-08,33
2012-09,49
2012-10,81
2012-11,47
2012-12,52
2013-01,67
2013-02,100
2013-03,92
2013-04,85
2013-05,77
2013-06,68
2013-07,67
2013-08,77
2013-09,73
2013-10,61
2013-11,56
2013-12,71
2014-01,48
2014-02,56
2014-03,60
2014-04,63
2014-05,71
2014-06,51
2014-07,51
2014-08,64
2014-09,65
2014-10,65
2014-11,81
2014-12,57
2015-01,62
2015-02,58
2015-03,64
2015-04,59
2015-05,65
2015-06,66
2015-07,64
2015-08,62
2015-09,63
2015-10,53
2015-11,60
2015-12,66
2016-01,42
2016-02,40
2016-03,48
2016-04,60
2016-05,54
2016-06,54
2016-07,52
2016-08,53
2016-09,73
2016-10,72
2016-11,77
2016-12,97
2017-01,85
2017-02,91
2017-03,62
2017-04,63
2017-05,64
2017-06,69
2017-07,72
2017-08,59
2017-09,55
2017-10,64
2017-11,74
2017-12,73
2018-01,64
2018-02,55
2018-03,63
2018-04,64
2018-05,57
2018-06,60
2018-07,69
2018-08,71
2018-09,58
2018-10,62
2018-11,64
2018-12,62
2019-01,72
2019-02,72
2019-03,66
2019-04,55
2019-05,61
2019-06,66
2019-07,56
2019-08,59
2019-09,59
2019-10,59
2019-11,53
2019-12,58
2020-01,60
2020-02,53
2020-03,66
2020-04,62
2020-05,57
2020-06,60
2020-07,51
2020-08,70
2020-09,58
2020-10,56
2020-11,58
2020-12,43
2021-01,52
2021-02,42
2021-03,50
2021-04,37
2021-05,39
2021-06,37
2021-07,42
2021-08,40
2021-09,37
2021-10,39
2021-11,35
2021-12,45
2022-01,44
2022-02,42
2022-03,49
2022-04,42
2022-05,44
2022-06,50
2022-07,41
2022-08,44
2022-09,40
2022-10,43
2022-11,54
2022-12,38
2023-01,43
2023-02,44
2023-03,40
2023-04,41
2023-05,47
2023-06,40
2023-07,39
2023-08,38
2023-09,50
2023-10,44
2023-11,39
2023-12,41
2024-01,38
2024-02,38
2024-03,46
2024-04,39
2024-05,45
2024-06,41
2024-07,42
2024-08,46
2024-09,44
2024-10,53
2024-11,39
2024-12,46
2025-01,41
2025-02,45
