Category: All categories

Month,Philosoraptor: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,1
2009-01,5
2009-02,5
2009-03,11
2009-04,12
2009-05,12
2009-06,12
2009-07,11
2009-08,16
2009-09,22
2009-10,20
2009-11,19
2009-12,20
2010-01,18
2010-02,19
2010-03,18
2010-04,21
2010-05,20
2010-06,20
2010-07,21
2010-08,22
2010-09,24
2010-10,46
2010-11,92
2010-12,67
2011-01,55
2011-02,58
2011-03,49
2011-04,48
2011-05,44
2011-06,39
2011-07,45
2011-08,54
2011-09,64
2011-10,76
2011-11,98
2011-12,100
2012-01,97
2012-02,92
2012-03,79
2012-04,82
2012-05,70
2012-06,72
2012-07,59
2012-08,48
2012-09,47
2012-10,43
2012-11,41
2012-12,40
2013-01,33
2013-02,31
2013-03,33
2013-04,28
2013-05,27
2013-06,24
2013-07,19
2013-08,21
2013-09,21
2013-10,22
2013-11,22
2013-12,20
2014-01,19
2014-02,18
2014-03,18
2014-04,16
2014-05,16
2014-06,12
2014-07,14
2014-08,13
2014-09,15
2014-10,15
2014-11,14
2014-12,14
2015-01,13
2015-02,15
2015-03,14
2015-04,15
2015-05,15
2015-06,20
2015-07,16
2015-08,13
2015-09,13
2015-10,15
2015-11,13
2015-12,12
2016-01,11
2016-02,11
2016-03,9
2016-04,10
2016-05,10
2016-06,9
2016-07,7
2016-08,7
2016-09,9
2016-10,10
2016-11,8
2016-12,9
2017-01,8
2017-02,7
2017-03,8
2017-04,8
2017-05,7
2017-06,7
2017-07,6
2017-08,7
2017-09,7
2017-10,7
2017-11,7
2017-12,6
2018-01,6
2018-02,6
2018-03,6
2018-04,5
2018-05,5
2018-06,5
2018-07,6
2018-08,5
2018-09,6
2018-10,5
2018-11,5
2018-12,4
2019-01,4
2019-02,5
2019-03,4
2019-04,4
2019-05,4
2019-06,4
2019-07,3
2019-08,4
2019-09,3
2019-10,3
2019-11,4
2019-12,4
2020-01,3
2020-02,3
2020-03,3
2020-04,3
2020-05,2
2020-06,3
2020-07,2
2020-08,2
2020-09,2
2020-10,2
2020-11,2
2020-12,2
2021-01,2
2021-02,2
2021-03,2
2021-04,5
2021-05,5
2021-06,3
2021-07,1
2021-08,2
2021-09,1
2021-10,2
2021-11,2
2021-12,1
2022-01,2
2022-02,2
2022-03,2
2022-04,2
2022-05,3
2022-06,3
2022-07,2
2022-08,3
2022-09,1
2022-10,2
2022-11,2
2022-12,2
2023-01,2
2023-02,2
2023-03,1
2023-04,1
2023-05,1
2023-06,1
2023-07,1
2023-08,1
2023-09,1
2023-10,1
2023-11,1
2023-12,1
2024-01,1
2024-02,1
2024-03,1
2024-04,1
2024-05,1
2024-06,2
2024-07,1
2024-08,1
2024-09,1
2024-10,1
2024-11,1
2024-12,1
2025-01,1
2025-02,1
