Category: All categories

Month,See Nobody Cares: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,19
2012-12,0
2013-01,15
2013-02,52
2013-03,59
2013-04,57
2013-05,53
2013-06,48
2013-07,43
2013-08,26
2013-09,84
2013-10,75
2013-11,56
2013-12,80
2014-01,73
2014-02,100
2014-03,87
2014-04,69
2014-05,60
2014-06,56
2014-07,49
2014-08,82
2014-09,56
2014-10,38
2014-11,48
2014-12,53
2015-01,50
2015-02,46
2015-03,37
2015-04,49
2015-05,60
2015-06,67
2015-07,59
2015-08,38
2015-09,54
2015-10,42
2015-11,43
2015-12,50
2016-01,40
2016-02,48
2016-03,32
2016-04,68
2016-05,42
2016-06,43
2016-07,51
2016-08,50
2016-09,39
2016-10,38
2016-11,46
2016-12,41
2017-01,58
2017-02,44
2017-03,48
2017-04,37
2017-05,47
2017-06,39
2017-07,32
2017-08,54
2017-09,51
2017-10,39
2017-11,33
2017-12,29
2018-01,33
2018-02,31
2018-03,51
2018-04,41
2018-05,38
2018-06,58
2018-07,50
2018-08,41
2018-09,63
2018-10,43
2018-11,49
2018-12,44
2019-01,39
2019-02,28
2019-03,43
2019-04,64
2019-05,51
2019-06,68
2019-07,56
2019-08,47
2019-09,52
2019-10,45
2019-11,35
2019-12,44
2020-01,60
2020-02,56
2020-03,57
2020-04,63
2020-05,60
2020-06,69
2020-07,63
2020-08,67
2020-09,61
2020-10,57
2020-11,51
2020-12,56
2021-01,59
2021-02,36
2021-03,45
2021-04,44
2021-05,44
2021-06,52
2021-07,61
2021-08,32
2021-09,56
2021-10,43
2021-11,45
2021-12,60
2022-01,49
2022-02,53
2022-03,53
2022-04,48
2022-05,59
2022-06,61
2022-07,48
2022-08,41
2022-09,39
2022-10,32
2022-11,44
2022-12,40
2023-01,37
2023-02,42
2023-03,36
2023-04,48
2023-05,44
2023-06,38
2023-07,40
2023-08,37
2023-09,40
2023-10,27
2023-11,32
2023-12,27
2024-01,34
2024-02,32
2024-03,27
2024-04,40
2024-05,24
2024-06,37
2024-07,33
2024-08,32
2024-09,34
2024-10,25
2024-11,28
2024-12,42
2025-01,38
2025-02,26
