Category: All categories

Month,Black Girl Wat: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,65
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,43
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,47
2012-09,0
2012-10,0
2012-11,32
2012-12,0
2013-01,38
2013-02,0
2013-03,31
2013-04,0
2013-05,40
2013-06,41
2013-07,0
2013-08,0
2013-09,39
2013-10,32
2013-11,28
2013-12,32
2014-01,26
2014-02,0
2014-03,42
2014-04,38
2014-05,87
2014-06,76
2014-07,92
2014-08,40
2014-09,69
2014-10,82
2014-11,93
2014-12,53
2015-01,48
2015-02,81
2015-03,68
2015-04,75
2015-05,65
2015-06,52
2015-07,54
2015-08,57
2015-09,56
2015-10,75
2015-11,72
2015-12,42
2016-01,58
2016-02,45
2016-03,48
2016-04,48
2016-05,56
2016-06,60
2016-07,62
2016-08,66
2016-09,50
2016-10,60
2016-11,32
2016-12,70
2017-01,27
2017-02,43
2017-03,46
2017-04,49
2017-05,38
2017-06,51
2017-07,36
2017-08,44
2017-09,46
2017-10,49
2017-11,45
2017-12,58
2018-01,46
2018-02,45
2018-03,52
2018-04,45
2018-05,48
2018-06,50
2018-07,46
2018-08,41
2018-09,38
2018-10,100
2018-11,68
2018-12,57
2019-01,23
2019-02,47
2019-03,41
2019-04,38
2019-05,32
2019-06,28
2019-07,35
2019-08,32
2019-09,37
2019-10,48
2019-11,41
2019-12,35
2020-01,23
2020-02,31
2020-03,27
2020-04,33
2020-05,44
2020-06,39
2020-07,49
2020-08,32
2020-09,30
2020-10,28
2020-11,30
2020-12,29
2021-01,27
2021-02,35
2021-03,39
2021-04,19
2021-05,32
2021-06,25
2021-07,24
2021-08,25
2021-09,40
2021-10,31
2021-11,25
2021-12,26
2022-01,20
2022-02,33
2022-03,19
2022-04,36
2022-05,23
2022-06,30
2022-07,20
2022-08,34
2022-09,30
2022-10,34
2022-11,33
2022-12,36
2023-01,18
2023-02,33
2023-03,22
2023-04,27
2023-05,27
2023-06,27
2023-07,25
2023-08,28
2023-09,17
2023-10,26
2023-11,22
2023-12,22
2024-01,30
2024-02,41
2024-03,25
2024-04,34
2024-05,25
2024-06,28
2024-07,28
2024-08,24
2024-09,32
2024-10,41
2024-11,30
2024-12,0
2025-01,30
2025-02,20
