Category: All categories

Month,The Rock Driving: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,100
2005-05,0
2005-06,0
2005-07,0
2005-08,94
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,56
2006-03,45
2006-04,43
2006-05,0
2006-06,0
2006-07,0
2006-08,61
2006-09,0
2006-10,47
2006-11,57
2006-12,42
2007-01,0
2007-02,44
2007-03,38
2007-04,66
2007-05,57
2007-06,33
2007-07,54
2007-08,63
2007-09,65
2007-10,40
2007-11,40
2007-12,56
2008-01,43
2008-02,46
2008-03,55
2008-04,41
2008-05,75
2008-06,57
2008-07,56
2008-08,52
2008-09,62
2008-10,42
2008-11,47
2008-12,52
2009-01,59
2009-02,47
2009-03,55
2009-04,49
2009-05,62
2009-06,69
2009-07,65
2009-08,67
2009-09,49
2009-10,55
2009-11,40
2009-12,70
2010-01,64
2010-02,74
2010-03,75
2010-04,58
2010-05,70
2010-06,73
2010-07,68
2010-08,68
2010-09,64
2010-10,44
2010-11,54
2010-12,61
2011-01,70
2011-02,57
2011-03,53
2011-04,60
2011-05,59
2011-06,49
2011-07,67
2011-08,66
2011-09,58
2011-10,62
2011-11,55
2011-12,61
2012-01,60
2012-02,84
2012-03,62
2012-04,73
2012-05,78
2012-06,69
2012-07,69
2012-08,81
2012-09,76
2012-10,65
2012-11,59
2012-12,67
2013-01,53
2013-02,74
2013-03,91
2013-04,87
2013-05,65
2013-06,63
2013-07,66
2013-08,63
2013-09,54
2013-10,54
2013-11,44
2013-12,65
2014-01,52
2014-02,48
2014-03,46
2014-04,53
2014-05,56
2014-06,62
2014-07,68
2014-08,57
2014-09,57
2014-10,60
2014-11,51
2014-12,54
2015-01,57
2015-02,57
2015-03,52
2015-04,65
2015-05,78
2015-06,68
2015-07,66
2015-08,57
2015-09,70
2015-10,68
2015-11,54
2015-12,58
2016-01,51
2016-02,48
2016-03,55
2016-04,57
2016-05,56
2016-06,57
2016-07,67
2016-08,48
2016-09,49
2016-10,41
2016-11,52
2016-12,52
2017-01,50
2017-02,59
2017-03,57
2017-04,57
2017-05,65
2017-06,57
2017-07,57
2017-08,51
2017-09,59
2017-10,57
2017-11,53
2017-12,54
2018-01,50
2018-02,44
2018-03,57
2018-04,58
2018-05,55
2018-06,47
2018-07,53
2018-08,50
2018-09,54
2018-10,51
2018-11,48
2018-12,48
2019-01,44
2019-02,54
2019-03,52
2019-04,48
2019-05,51
2019-06,46
2019-07,48
2019-08,56
2019-09,58
2019-10,48
2019-11,44
2019-12,44
2020-01,48
2020-02,51
2020-03,43
2020-04,40
2020-05,50
2020-06,47
2020-07,38
2020-08,51
2020-09,67
2020-10,62
2020-11,59
2020-12,53
2021-01,49
2021-02,50
2021-03,48
2021-04,55
2021-05,55
2021-06,44
2021-07,44
2021-08,44
2021-09,59
2021-10,60
2021-11,64
2021-12,49
2022-01,65
2022-02,74
2022-03,73
2022-04,77
2022-05,70
2022-06,64
2022-07,58
2022-08,55
2022-09,76
2022-10,78
2022-11,60
2022-12,60
2023-01,64
2023-02,76
2023-03,70
2023-04,68
2023-05,68
2023-06,52
2023-07,48
2023-08,48
2023-09,71
2023-10,71
2023-11,58
2023-12,61
2024-01,58
2024-02,77
2024-03,75
2024-04,86
2024-05,72
2024-06,62
2024-07,58
2024-08,59
2024-09,78
2024-10,79
2024-11,67
2024-12,69
2025-01,73
2025-02,82
