Category: All categories

Month,Teacher's Copy: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,67
2016-02,0
2016-03,100
2016-04,48
2016-05,81
2016-06,0
2016-07,0
2016-08,49
2016-09,0
2016-10,0
2016-11,69
2016-12,43
2017-01,54
2017-02,73
2017-03,49
2017-04,51
2017-05,47
2017-06,0
2017-07,0
2017-08,43
2017-09,77
2017-10,44
2017-11,0
2017-12,40
2018-01,54
2018-02,49
2018-03,55
2018-04,41
2018-05,0
2018-06,0
2018-07,0
2018-08,58
2018-09,57
2018-10,49
2018-11,53
2018-12,0
2019-01,51
2019-02,0
2019-03,39
2019-04,0
2019-05,0
2019-06,54
2019-07,33
2019-08,54
2019-09,35
2019-10,54
2019-11,0
2019-12,0
2020-01,49
2020-02,43
2020-03,43
2020-04,65
2020-05,31
2020-06,35
2020-07,48
2020-08,41
2020-09,76
2020-10,58
2020-11,30
2020-12,0
2021-01,0
2021-02,0
2021-03,40
2021-04,61
2021-05,31
2021-06,38
2021-07,0
2021-08,33
2021-09,68
2021-10,42
2021-11,43
2021-12,0
2022-01,80
2022-02,49
2022-03,57
2022-04,77
2022-05,60
2022-06,49
2022-07,45
2022-08,37
2022-09,83
2022-10,87
2022-11,58
2022-12,32
2023-01,58
2023-02,61
2023-03,53
2023-04,58
2023-05,58
2023-06,30
2023-07,34
2023-08,53
2023-09,74
2023-10,49
2023-11,34
2023-12,48
2024-01,35
2024-02,46
2024-03,56
2024-04,71
2024-05,54
2024-06,49
2024-07,46
2024-08,44
2024-09,79
2024-10,78
2024-11,81
2024-12,0
2025-01,39
2025-02,43
