Category: All categories

Month,This Is Fine: (Worldwide)
2004-01,0
2004-02,9
2004-03,11
2004-04,9
2004-05,14
2004-06,7
2004-07,8
2004-08,7
2004-09,0
2004-10,7
2004-11,10
2004-12,8
2005-01,6
2005-02,9
2005-03,7
2005-04,6
2005-05,11
2005-06,12
2005-07,12
2005-08,6
2005-09,10
2005-10,8
2005-11,9
2005-12,8
2006-01,10
2006-02,8
2006-03,6
2006-04,9
2006-05,10
2006-06,6
2006-07,9
2006-08,4
2006-09,8
2006-10,6
2006-11,8
2006-12,8
2007-01,9
2007-02,7
2007-03,8
2007-04,10
2007-05,10
2007-06,8
2007-07,6
2007-08,5
2007-09,8
2007-10,9
2007-11,9
2007-12,8
2008-01,9
2008-02,11
2008-03,9
2008-04,8
2008-05,9
2008-06,10
2008-07,10
2008-08,8
2008-09,9
2008-10,9
2008-11,10
2008-12,10
2009-01,9
2009-02,10
2009-03,9
2009-04,9
2009-05,8
2009-06,8
2009-07,9
2009-08,10
2009-09,11
2009-10,10
2009-11,10
2009-12,10
2010-01,11
2010-02,11
2010-03,10
2010-04,10
2010-05,10
2010-06,10
2010-07,9
2010-08,10
2010-09,9
2010-10,9
2010-11,10
2010-12,8
2011-01,10
2011-02,10
2011-03,11
2011-04,12
2011-05,11
2011-06,11
2011-07,10
2011-08,10
2011-09,10
2011-10,11
2011-11,9
2011-12,10
2012-01,10
2012-02,11
2012-03,12
2012-04,11
2012-05,11
2012-06,12
2012-07,10
2012-08,10
2012-09,11
2012-10,11
2012-11,10
2012-12,11
2013-01,10
2013-02,10
2013-03,11
2013-04,12
2013-05,10
2013-06,10
2013-07,10
2013-08,9
2013-09,10
2013-10,11
2013-11,11
2013-12,9
2014-01,10
2014-02,12
2014-03,11
2014-04,10
2014-05,10
2014-06,10
2014-07,10
2014-08,10
2014-09,16
2014-10,20
2014-11,19
2014-12,19
2015-01,17
2015-02,21
2015-03,20
2015-04,23
2015-05,23
2015-06,21
2015-07,23
2015-08,25
2015-09,30
2015-10,32
2015-11,32
2015-12,34
2016-01,32
2016-02,39
2016-03,36
2016-04,43
2016-05,44
2016-06,41
2016-07,43
2016-08,62
2016-09,51
2016-10,54
2016-11,61
2016-12,57
2017-01,54
2017-02,48
2017-03,56
2017-04,48
2017-05,48
2017-06,42
2017-07,45
2017-08,53
2017-09,53
2017-10,51
2017-11,55
2017-12,46
2018-01,44
2018-02,48
2018-03,49
2018-04,46
2018-05,45
2018-06,45
2018-07,43
2018-08,46
2018-09,48
2018-10,49
2018-11,50
2018-12,48
2019-01,43
2019-02,48
2019-03,46
2019-04,56
2019-05,49
2019-06,50
2019-07,43
2019-08,45
2019-09,54
2019-10,55
2019-11,50
2019-12,47
2020-01,50
2020-02,48
2020-03,86
2020-04,80
2020-05,61
2020-06,54
2020-07,60
2020-08,62
2020-09,100
2020-10,81
2020-11,77
2020-12,62
2021-01,59
2021-02,68
2021-03,53
2021-04,55
2021-05,58
2021-06,53
2021-07,50
2021-08,51
2021-09,60
2021-10,65
2021-11,63
2021-12,57
2022-01,71
2022-02,87
2022-03,87
2022-04,87
2022-05,80
2022-06,68
2022-07,61
2022-08,58
2022-09,72
2022-10,77
2022-11,68
2022-12,62
2023-01,70
2023-02,73
2023-03,75
2023-04,67
2023-05,69
2023-06,70
2023-07,50
2023-08,48
2023-09,64
2023-10,71
2023-11,69
2023-12,58
2024-01,56
2024-02,78
2024-03,68
2024-04,67
2024-05,65
2024-06,55
2024-07,50
2024-08,56
2024-09,81
2024-10,82
2024-11,74
2024-12,69
2025-01,73
2025-02,79
