Category: All categories

Month,Crying cat: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,11
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,10
2004-11,0
2004-12,0
2005-01,9
2005-02,0
2005-03,6
2005-04,0
2005-05,6
2005-06,0
2005-07,10
2005-08,10
2005-09,5
2005-10,6
2005-11,9
2005-12,7
2006-01,6
2006-02,6
2006-03,5
2006-04,8
2006-05,5
2006-06,6
2006-07,8
2006-08,5
2006-09,4
2006-10,0
2006-11,5
2006-12,6
2007-01,7
2007-02,8
2007-03,8
2007-04,9
2007-05,6
2007-06,9
2007-07,8
2007-08,7
2007-09,6
2007-10,8
2007-11,6
2007-12,6
2008-01,8
2008-02,7
2008-03,8
2008-04,7
2008-05,7
2008-06,7
2008-07,8
2008-08,9
2008-09,6
2008-10,7
2008-11,8
2008-12,11
2009-01,10
2009-02,9
2009-03,8
2009-04,8
2009-05,9
2009-06,9
2009-07,8
2009-08,9
2009-09,9
2009-10,9
2009-11,9
2009-12,8
2010-01,8
2010-02,9
2010-03,8
2010-04,10
2010-05,9
2010-06,8
2010-07,11
2010-08,10
2010-09,9
2010-10,8
2010-11,10
2010-12,10
2011-01,12
2011-02,10
2011-03,11
2011-04,11
2011-05,10
2011-06,13
2011-07,12
2011-08,11
2011-09,9
2011-10,10
2011-11,10
2011-12,26
2012-01,17
2012-02,14
2012-03,12
2012-04,13
2012-05,13
2012-06,14
2012-07,14
2012-08,15
2012-09,14
2012-10,14
2012-11,15
2012-12,18
2013-01,16
2013-02,18
2013-03,17
2013-04,17
2013-05,17
2013-06,17
2013-07,18
2013-08,19
2013-09,16
2013-10,17
2013-11,18
2013-12,18
2014-01,21
2014-02,18
2014-03,19
2014-04,16
2014-05,19
2014-06,18
2014-07,21
2014-08,19
2014-09,17
2014-10,17
2014-11,19
2014-12,19
2015-01,21
2015-02,21
2015-03,21
2015-04,21
2015-05,21
2015-06,22
2015-07,22
2015-08,22
2015-09,22
2015-10,21
2015-11,22
2015-12,23
2016-01,23
2016-02,23
2016-03,25
2016-04,24
2016-05,26
2016-06,22
2016-07,22
2016-08,21
2016-09,21
2016-10,23
2016-11,22
2016-12,24
2017-01,27
2017-02,26
2017-03,26
2017-04,25
2017-05,26
2017-06,26
2017-07,24
2017-08,24
2017-09,26
2017-10,24
2017-11,27
2017-12,30
2018-01,29
2018-02,34
2018-03,37
2018-04,40
2018-05,39
2018-06,35
2018-07,41
2018-08,47
2018-09,48
2018-10,42
2018-11,45
2018-12,50
2019-01,51
2019-02,51
2019-03,61
2019-04,56
2019-05,55
2019-06,52
2019-07,54
2019-08,68
2019-09,74
2019-10,71
2019-11,100
2019-12,70
2020-01,69
2020-02,65
2020-03,65
2020-04,73
2020-05,77
2020-06,72
2020-07,73
2020-08,78
2020-09,79
2020-10,66
2020-11,69
2020-12,66
2021-01,69
2021-02,64
2021-03,56
2021-04,63
2021-05,59
2021-06,54
2021-07,54
2021-08,51
2021-09,52
2021-10,50
2021-11,52
2021-12,54
2022-01,63
2022-02,56
2022-03,55
2022-04,57
2022-05,58
2022-06,52
2022-07,50
2022-08,52
2022-09,53
2022-10,54
2022-11,49
2022-12,54
2023-01,60
2023-02,52
2023-03,49
2023-04,54
2023-05,61
2023-06,57
2023-07,58
2023-08,53
2023-09,50
2023-10,52
2023-11,48
2023-12,55
2024-01,56
2024-02,59
2024-03,55
2024-04,53
2024-05,51
2024-06,51
2024-07,48
2024-08,49
2024-09,47
2024-10,57
2024-11,50
2024-12,57
2025-01,51
2025-02,55
