Category: All categories

Month,Shrek running: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,53
2004-06,100
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,14
2007-05,74
2007-06,44
2007-07,35
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,9
2009-01,9
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,7
2010-01,0
2010-02,0
2010-03,0
2010-04,7
2010-05,30
2010-06,25
2010-07,29
2010-08,9
2010-09,6
2010-10,5
2010-11,5
2010-12,9
2011-01,7
2011-02,0
2011-03,6
2011-04,0
2011-05,7
2011-06,8
2011-07,4
2011-08,0
2011-09,0
2011-10,6
2011-11,4
2011-12,6
2012-01,4
2012-02,3
2012-03,7
2012-04,4
2012-05,4
2012-06,4
2012-07,4
2012-08,5
2012-09,0
2012-10,4
2012-11,5
2012-12,4
2013-01,5
2013-02,5
2013-03,3
2013-04,3
2013-05,2
2013-06,2
2013-07,3
2013-08,3
2013-09,3
2013-10,4
2013-11,5
2013-12,3
2014-01,3
2014-02,4
2014-03,5
2014-04,5
2014-05,3
2014-06,4
2014-07,5
2014-08,7
2014-09,5
2014-10,4
2014-11,4
2014-12,7
2015-01,6
2015-02,4
2015-03,5
2015-04,5
2015-05,6
2015-06,5
2015-07,6
2015-08,6
2015-09,5
2015-10,6
2015-11,7
2015-12,4
2016-01,6
2016-02,7
2016-03,3
2016-04,5
2016-05,8
2016-06,5
2016-07,5
2016-08,4
2016-09,4
2016-10,5
2016-11,5
2016-12,5
2017-01,4
2017-02,4
2017-03,4
2017-04,7
2017-05,4
2017-06,4
2017-07,5
2017-08,5
2017-09,5
2017-10,6
2017-11,6
2017-12,6
2018-01,6
2018-02,7
2018-03,6
2018-04,6
2018-05,8
2018-06,7
2018-07,5
2018-08,7
2018-09,6
2018-10,6
2018-11,6
2018-12,7
2019-01,8
2019-02,7
2019-03,6
2019-04,7
2019-05,20
2019-06,9
2019-07,11
2019-08,8
2019-09,10
2019-10,10
2019-11,10
2019-12,11
2020-01,10
2020-02,11
2020-03,9
2020-04,8
2020-05,7
2020-06,8
2020-07,7
2020-08,6
2020-09,7
2020-10,5
2020-11,5
2020-12,6
2021-01,5
2021-02,5
2021-03,6
2021-04,7
2021-05,7
2021-06,6
2021-07,5
2021-08,4
2021-09,6
2021-10,6
2021-11,5
2021-12,5
2022-01,5
2022-02,5
2022-03,7
2022-04,9
2022-05,10
2022-06,9
2022-07,6
2022-08,6
2022-09,7
2022-10,9
2022-11,7
2022-12,8
2023-01,8
2023-02,8
2023-03,7
2023-04,8
2023-05,9
2023-06,6
2023-07,6
2023-08,7
2023-09,6
2023-10,7
2023-11,9
2023-12,10
2024-01,10
2024-02,9
2024-03,10
2024-04,8
2024-05,8
2024-06,6
2024-07,10
2024-08,8
2024-09,7
2024-10,7
2024-11,7
2024-12,9
2025-01,7
2025-02,7
