Category: All categories

Month,Hold fart: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,33
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,15
2009-01,11
2009-02,0
2009-03,16
2009-04,0
2009-05,0
2009-06,11
2009-07,12
2009-08,9
2009-09,12
2009-10,9
2009-11,12
2009-12,11
2010-01,17
2010-02,20
2010-03,21
2010-04,15
2010-05,20
2010-06,13
2010-07,13
2010-08,17
2010-09,14
2010-10,22
2010-11,21
2010-12,18
2011-01,19
2011-02,15
2011-03,28
2011-04,19
2011-05,18
2011-06,18
2011-07,22
2011-08,25
2011-09,20
2011-10,23
2011-11,19
2011-12,25
2012-01,23
2012-02,20
2012-03,24
2012-04,24
2012-05,20
2012-06,25
2012-07,23
2012-08,20
2012-09,22
2012-10,22
2012-11,28
2012-12,27
2013-01,27
2013-02,24
2013-03,23
2013-04,34
2013-05,29
2013-06,21
2013-07,23
2013-08,21
2013-09,24
2013-10,25
2013-11,31
2013-12,25
2014-01,30
2014-02,24
2014-03,37
2014-04,35
2014-05,29
2014-06,24
2014-07,23
2014-08,17
2014-09,25
2014-10,74
2014-11,42
2014-12,43
2015-01,49
2015-02,39
2015-03,43
2015-04,34
2015-05,38
2015-06,36
2015-07,36
2015-08,39
2015-09,43
2015-10,47
2015-11,38
2015-12,49
2016-01,51
2016-02,38
2016-03,37
2016-04,48
2016-05,37
2016-06,33
2016-07,33
2016-08,40
2016-09,35
2016-10,37
2016-11,37
2016-12,41
2017-01,41
2017-02,34
2017-03,31
2017-04,37
2017-05,42
2017-06,38
2017-07,40
2017-08,36
2017-09,28
2017-10,36
2017-11,40
2017-12,38
2018-01,36
2018-02,38
2018-03,42
2018-04,35
2018-05,37
2018-06,35
2018-07,29
2018-08,36
2018-09,100
2018-10,43
2018-11,42
2018-12,42
2019-01,42
2019-02,41
2019-03,37
2019-04,41
2019-05,36
2019-06,39
2019-07,32
2019-08,35
2019-09,37
2019-10,36
2019-11,42
2019-12,44
2020-01,43
2020-02,45
2020-03,31
2020-04,30
2020-05,36
2020-06,29
2020-07,31
2020-08,27
2020-09,35
2020-10,28
2020-11,31
2020-12,35
2021-01,40
2021-02,44
2021-03,38
2021-04,40
2021-05,33
2021-06,38
2021-07,37
2021-08,39
2021-09,41
2021-10,37
2021-11,38
2021-12,38
2022-01,47
2022-02,47
2022-03,71
2022-04,58
2022-05,47
2022-06,38
2022-07,37
2022-08,39
2022-09,34
2022-10,38
2022-11,37
2022-12,34
2023-01,44
2023-02,44
2023-03,60
2023-04,66
2023-05,40
2023-06,40
2023-07,32
2023-08,35
2023-09,37
2023-10,39
2023-11,37
2023-12,40
2024-01,42
2024-02,46
2024-03,66
2024-04,50
2024-05,39
2024-06,39
2024-07,40
2024-08,35
2024-09,44
2024-10,39
2024-11,43
2024-12,48
2025-01,56
2025-02,48
