Category: All categories

Month,Horse Drawing: (Worldwide)
2004-01,19
2004-02,27
2004-03,26
2004-04,27
2004-05,23
2004-06,21
2004-07,26
2004-08,17
2004-09,25
2004-10,23
2004-11,24
2004-12,27
2005-01,26
2005-02,23
2005-03,21
2005-04,18
2005-05,22
2005-06,22
2005-07,19
2005-08,16
2005-09,24
2005-10,22
2005-11,21
2005-12,19
2006-01,25
2006-02,23
2006-03,21
2006-04,21
2006-05,22
2006-06,17
2006-07,17
2006-08,23
2006-09,21
2006-10,19
2006-11,16
2006-12,16
2007-01,15
2007-02,22
2007-03,18
2007-04,17
2007-05,18
2007-06,17
2007-07,17
2007-08,16
2007-09,20
2007-10,18
2007-11,15
2007-12,22
2008-01,16
2008-02,15
2008-03,16
2008-04,17
2008-05,17
2008-06,16
2008-07,18
2008-08,16
2008-09,20
2008-10,18
2008-11,15
2008-12,18
2009-01,17
2009-02,19
2009-03,17
2009-04,16
2009-05,18
2009-06,15
2009-07,15
2009-08,16
2009-09,15
2009-10,18
2009-11,18
2009-12,17
2010-01,16
2010-02,16
2010-03,15
2010-04,18
2010-05,19
2010-06,14
2010-07,13
2010-08,14
2010-09,15
2010-10,17
2010-11,19
2010-12,16
2011-01,15
2011-02,17
2011-03,16
2011-04,16
2011-05,18
2011-06,15
2011-07,13
2011-08,16
2011-09,18
2011-10,19
2011-11,21
2011-12,19
2012-01,21
2012-02,22
2012-03,26
2012-04,25
2012-05,21
2012-06,20
2012-07,21
2012-08,21
2012-09,24
2012-10,23
2012-11,22
2012-12,23
2013-01,22
2013-02,27
2013-03,24
2013-04,23
2013-05,23
2013-06,20
2013-07,20
2013-08,23
2013-09,26
2013-10,27
2013-11,31
2013-12,31
2014-01,40
2014-02,36
2014-03,33
2014-04,34
2014-05,34
2014-06,28
2014-07,29
2014-08,32
2014-09,36
2014-10,39
2014-11,40
2014-12,39
2015-01,41
2015-02,43
2015-03,39
2015-04,40
2015-05,41
2015-06,38
2015-07,35
2015-08,41
2015-09,49
2015-10,50
2015-11,50
2015-12,46
2016-01,53
2016-02,55
2016-03,50
2016-04,50
2016-05,52
2016-06,45
2016-07,41
2016-08,42
2016-09,55
2016-10,54
2016-11,52
2016-12,47
2017-01,51
2017-02,53
2017-03,53
2017-04,48
2017-05,55
2017-06,39
2017-07,41
2017-08,44
2017-09,56
2017-10,58
2017-11,57
2017-12,54
2018-01,55
2018-02,59
2018-03,61
2018-04,54
2018-05,59
2018-06,47
2018-07,44
2018-08,54
2018-09,57
2018-10,64
2018-11,65
2018-12,51
2019-01,63
2019-02,61
2019-03,59
2019-04,57
2019-05,100
2019-06,61
2019-07,51
2019-08,64
2019-09,65
2019-10,64
2019-11,74
2019-12,59
2020-01,63
2020-02,64
2020-03,66
2020-04,78
2020-05,70
2020-06,58
2020-07,55
2020-08,59
2020-09,65
2020-10,59
2020-11,55
2020-12,51
2021-01,60
2021-02,57
2021-03,49
2021-04,48
2021-05,55
2021-06,47
2021-07,46
2021-08,51
2021-09,52
2021-10,55
2021-11,56
2021-12,53
2022-01,68
2022-02,72
2022-03,64
2022-04,71
2022-05,77
2022-06,64
2022-07,68
2022-08,80
2022-09,88
2022-10,78
2022-11,84
2022-12,75
2023-01,83
2023-02,93
2023-03,79
2023-04,68
2023-05,81
2023-06,67
2023-07,63
2023-08,71
2023-09,83
2023-10,80
2023-11,81
2023-12,72
2024-01,73
2024-02,78
2024-03,75
2024-04,71
2024-05,69
2024-06,54
2024-07,52
2024-08,79
2024-09,73
2024-10,76
2024-11,78
2024-12,73
2025-01,73
2025-02,75
