Category: All categories

Month,Waiting Skeleton: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,5
2010-12,0
2011-01,0
2011-02,0
2011-03,4
2011-04,0
2011-05,6
2011-06,0
2011-07,0
2011-08,4
2011-09,3
2011-10,0
2011-11,0
2011-12,5
2012-01,0
2012-02,4
2012-03,3
2012-04,4
2012-05,3
2012-06,4
2012-07,3
2012-08,6
2012-09,6
2012-10,7
2012-11,5
2012-12,7
2013-01,8
2013-02,10
2013-03,8
2013-04,10
2013-05,12
2013-06,11
2013-07,15
2013-08,16
2013-09,17
2013-10,19
2013-11,21
2013-12,20
2014-01,24
2014-02,25
2014-03,23
2014-04,26
2014-05,31
2014-06,31
2014-07,42
2014-08,49
2014-09,44
2014-10,48
2014-11,46
2014-12,52
2015-01,55
2015-02,49
2015-03,55
2015-04,59
2015-05,64
2015-06,64
2015-07,68
2015-08,90
2015-09,74
2015-10,100
2015-11,92
2015-12,76
2016-01,67
2016-02,77
2016-03,68
2016-04,76
2016-05,79
2016-06,82
2016-07,84
2016-08,85
2016-09,84
2016-10,81
2016-11,76
2016-12,72
2017-01,66
2017-02,64
2017-03,71
2017-04,65
2017-05,65
2017-06,69
2017-07,78
2017-08,72
2017-09,70
2017-10,70
2017-11,73
2017-12,67
2018-01,62
2018-02,65
2018-03,67
2018-04,58
2018-05,59
2018-06,62
2018-07,61
2018-08,61
2018-09,53
2018-10,65
2018-11,56
2018-12,47
2019-01,46
2019-02,47
2019-03,48
2019-04,41
2019-05,45
2019-06,48
2019-07,47
2019-08,43
2019-09,47
2019-10,49
2019-11,48
2019-12,40
2020-01,36
2020-02,38
2020-03,38
2020-04,43
2020-05,36
2020-06,35
2020-07,41
2020-08,39
2020-09,36
2020-10,40
2020-11,39
2020-12,34
2021-01,33
2021-02,38
2021-03,33
2021-04,29
2021-05,28
2021-06,34
2021-07,30
2021-08,32
2021-09,28
2021-10,33
2021-11,28
2021-12,29
2022-01,30
2022-02,28
2022-03,28
2022-04,28
2022-05,30
2022-06,33
2022-07,31
2022-08,29
2022-09,33
2022-10,32
2022-11,32
2022-12,29
2023-01,29
2023-02,31
2023-03,28
2023-04,28
2023-05,31
2023-06,27
2023-07,29
2023-08,27
2023-09,28
2023-10,30
2023-11,25
2023-12,25
2024-01,26
2024-02,28
2024-03,25
2024-04,27
2024-05,26
2024-06,23
2024-07,24
2024-08,24
2024-09,25
2024-10,32
2024-11,25
2024-12,26
2025-01,25
2025-02,24
