Category: All categories

Month,What if i told you: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,5
2005-01,0
2005-02,0
2005-03,6
2005-04,4
2005-05,4
2005-06,0
2005-07,4
2005-08,0
2005-09,4
2005-10,6
2005-11,4
2005-12,6
2006-01,5
2006-02,5
2006-03,7
2006-04,3
2006-05,5
2006-06,6
2006-07,6
2006-08,5
2006-09,4
2006-10,5
2006-11,3
2006-12,4
2007-01,3
2007-02,3
2007-03,4
2007-04,5
2007-05,5
2007-06,4
2007-07,5
2007-08,4
2007-09,5
2007-10,6
2007-11,4
2007-12,5
2008-01,5
2008-02,5
2008-03,7
2008-04,7
2008-05,7
2008-06,6
2008-07,9
2008-08,7
2008-09,4
2008-10,5
2008-11,6
2008-12,6
2009-01,6
2009-02,6
2009-03,6
2009-04,6
2009-05,5
2009-06,5
2009-07,5
2009-08,6
2009-09,5
2009-10,6
2009-11,6
2009-12,5
2010-01,6
2010-02,6
2010-03,5
2010-04,6
2010-05,7
2010-06,6
2010-07,7
2010-08,6
2010-09,8
2010-10,7
2010-11,7
2010-12,8
2011-01,8
2011-02,7
2011-03,7
2011-04,9
2011-05,7
2011-06,7
2011-07,7
2011-08,8
2011-09,6
2011-10,8
2011-11,9
2011-12,9
2012-01,11
2012-02,9
2012-03,10
2012-04,13
2012-05,17
2012-06,24
2012-07,27
2012-08,21
2012-09,21
2012-10,19
2012-11,18
2012-12,18
2013-01,17
2013-02,20
2013-03,21
2013-04,19
2013-05,18
2013-06,18
2013-07,18
2013-08,19
2013-09,18
2013-10,16
2013-11,16
2013-12,15
2014-01,18
2014-02,18
2014-03,19
2014-04,20
2014-05,16
2014-06,14
2014-07,15
2014-08,16
2014-09,14
2014-10,14
2014-11,13
2014-12,14
2015-01,14
2015-02,14
2015-03,14
2015-04,13
2015-05,14
2015-06,13
2015-07,13
2015-08,13
2015-09,14
2015-10,14
2015-11,13
2015-12,14
2016-01,15
2016-02,15
2016-03,16
2016-04,15
2016-05,15
2016-06,15
2016-07,14
2016-08,12
2016-09,16
2016-10,17
2016-11,17
2016-12,14
2017-01,17
2017-02,16
2017-03,17
2017-04,17
2017-05,17
2017-06,17
2017-07,15
2017-08,14
2017-09,14
2017-10,17
2017-11,15
2017-12,15
2018-01,15
2018-02,13
2018-03,15
2018-04,13
2018-05,15
2018-06,15
2018-07,16
2018-08,15
2018-09,16
2018-10,14
2018-11,15
2018-12,13
2019-01,13
2019-02,13
2019-03,14
2019-04,14
2019-05,14
2019-06,13
2019-07,12
2019-08,12
2019-09,12
2019-10,13
2019-11,14
2019-12,42
2020-01,95
2020-02,100
2020-03,96
2020-04,86
2020-05,76
2020-06,73
2020-07,59
2020-08,56
2020-09,60
2020-10,49
2020-11,44
2020-12,39
2021-01,35
2021-02,34
2021-03,33
2021-04,31
2021-05,30
2021-06,30
2021-07,30
2021-08,28
2021-09,29
2021-10,29
2021-11,28
2021-12,30
2022-01,29
2022-02,28
2022-03,29
2022-04,29
2022-05,25
2022-06,25
2022-07,26
2022-08,23
2022-09,26
2022-10,28
2022-11,28
2022-12,29
2023-01,28
2023-02,29
2023-03,28
2023-04,27
2023-05,27
2023-06,23
2023-07,20
2023-08,21
2023-09,27
2023-10,23
2023-11,22
2023-12,22
2024-01,21
2024-02,25
2024-03,24
2024-04,24
2024-05,26
2024-06,24
2024-07,21
2024-08,21
2024-09,26
2024-10,27
2024-11,26
2024-12,26
2025-01,24
2025-02,26
