Category: All categories

Month,Who wants to be a millionaire?s: (Worldwide)
2004-01,94
2004-02,100
2004-03,87
2004-04,69
2004-05,88
2004-06,69
2004-07,47
2004-08,54
2004-09,50
2004-10,57
2004-11,31
2004-12,82
2005-01,74
2005-02,49
2005-03,44
2005-04,59
2005-05,53
2005-06,51
2005-07,56
2005-08,59
2005-09,39
2005-10,67
2005-11,59
2005-12,72
2006-01,45
2006-02,51
2006-03,54
2006-04,40
2006-05,40
2006-06,50
2006-07,55
2006-08,35
2006-09,32
2006-10,45
2006-11,42
2006-12,43
2007-01,39
2007-02,43
2007-03,34
2007-04,38
2007-05,46
2007-06,32
2007-07,24
2007-08,21
2007-09,23
2007-10,20
2007-11,25
2007-12,27
2008-01,27
2008-02,26
2008-03,25
2008-04,19
2008-05,25
2008-06,22
2008-07,16
2008-08,17
2008-09,10
2008-10,10
2008-11,15
2008-12,17
2009-01,16
2009-02,17
2009-03,20
2009-04,15
2009-05,14
2009-06,9
2009-07,10
2009-08,12
2009-09,9
2009-10,16
2009-11,12
2009-12,11
2010-01,8
2010-02,6
2010-03,7
2010-04,7
2010-05,6
2010-06,7
2010-07,6
2010-08,7
2010-09,6
2010-10,6
2010-11,3
2010-12,5
2011-01,5
2011-02,8
2011-03,4
2011-04,5
2011-05,5
2011-06,4
2011-07,6
2011-08,3
2011-09,2
2011-10,4
2011-11,7
2011-12,5
2012-01,4
2012-02,3
2012-03,3
2012-04,4
2012-05,3
2012-06,5
2012-07,2
2012-08,3
2012-09,2
2012-10,3
2012-11,3
2012-12,5
2013-01,4
2013-02,2
2013-03,2
2013-04,2
2013-05,2
2013-06,2
2013-07,2
2013-08,3
2013-09,3
2013-10,3
2013-11,2
2013-12,4
2014-01,4
2014-02,3
2014-03,2
2014-04,0
2014-05,1
2014-06,1
2014-07,3
2014-08,3
2014-09,2
2014-10,3
2014-11,2
2014-12,1
2015-01,2
2015-02,2
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,1
2015-08,0
2015-09,3
2015-10,1
2015-11,2
2015-12,2
2016-01,2
2016-02,2
2016-03,3
2016-04,2
2016-05,2
2016-06,1
2016-07,0
2016-08,1
2016-09,2
2016-10,2
2016-11,1
2016-12,2
2017-01,1
2017-02,1
2017-03,2
2017-04,2
2017-05,0
2017-06,1
2017-07,1
2017-08,2
2017-09,2
2017-10,2
2017-11,2
2017-12,1
2018-01,0
2018-02,2
2018-03,2
2018-04,2
2018-05,8
2018-06,2
2018-07,2
2018-08,2
2018-09,3
2018-10,2
2018-11,3
2018-12,2
2019-01,4
2019-02,2
2019-03,3
2019-04,2
2019-05,1
2019-06,1
2019-07,1
2019-08,3
2019-09,3
2019-10,2
2019-11,2
2019-12,1
2020-01,2
2020-02,2
2020-03,1
2020-04,5
2020-05,3
2020-06,3
2020-07,2
2020-08,2
2020-09,2
2020-10,2
2020-11,3
2020-12,3
2021-01,4
2021-02,2
2021-03,3
2021-04,2
2021-05,2
2021-06,2
2021-07,2
2021-08,2
2021-09,2
2021-10,2
2021-11,3
2021-12,1
2022-01,2
2022-02,2
2022-03,2
2022-04,2
2022-05,2
2022-06,1
2022-07,2
2022-08,2
2022-09,2
2022-10,2
2022-11,2
2022-12,2
2023-01,2
2023-02,2
2023-03,3
2023-04,2
2023-05,2
2023-06,2
2023-07,2
2023-08,2
2023-09,2
2023-10,2
2023-11,1
2023-12,1
2024-01,4
2024-02,2
2024-03,2
2024-04,2
2024-05,3
2024-06,2
2024-07,3
2024-08,2
2024-09,2
2024-10,2
2024-11,2
2024-12,2
2025-01,1
2025-02,3
