Category: All categories

Month,Who Would Win?: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,100
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,45
2008-05,0
2008-06,0
2008-07,0
2008-08,54
2008-09,0
2008-10,49
2008-11,44
2008-12,39
2009-01,61
2009-02,47
2009-03,33
2009-04,0
2009-05,34
2009-06,42
2009-07,0
2009-08,0
2009-09,56
2009-10,0
2009-11,43
2009-12,56
2010-01,29
2010-02,37
2010-03,27
2010-04,26
2010-05,40
2010-06,40
2010-07,36
2010-08,25
2010-09,31
2010-10,21
2010-11,23
2010-12,44
2011-01,27
2011-02,27
2011-03,40
2011-04,34
2011-05,39
2011-06,29
2011-07,24
2011-08,27
2011-09,39
2011-10,36
2011-11,24
2011-12,26
2012-01,32
2012-02,25
2012-03,37
2012-04,32
2012-05,36
2012-06,24
2012-07,24
2012-08,46
2012-09,95
2012-10,56
2012-11,37
2012-12,32
2013-01,43
2013-02,32
2013-03,41
2013-04,26
2013-05,24
2013-06,22
2013-07,25
2013-08,24
2013-09,33
2013-10,20
2013-11,25
2013-12,23
2014-01,22
2014-02,27
2014-03,30
2014-04,28
2014-05,24
2014-06,16
2014-07,22
2014-08,15
2014-09,18
2014-10,26
2014-11,31
2014-12,27
2015-01,20
2015-02,19
2015-03,25
2015-04,22
2015-05,27
2015-06,18
2015-07,13
2015-08,30
2015-09,25
2015-10,22
2015-11,23
2015-12,28
2016-01,22
2016-02,31
2016-03,30
2016-04,25
2016-05,25
2016-06,23
2016-07,17
2016-08,14
2016-09,19
2016-10,24
2016-11,26
2016-12,26
2017-01,17
2017-02,29
2017-03,16
2017-04,18
2017-05,29
2017-06,23
2017-07,14
2017-08,20
2017-09,17
2017-10,21
2017-11,28
2017-12,19
2018-01,0
2018-02,16
2018-03,26
2018-04,27
2018-05,21
2018-06,17
2018-07,18
2018-08,0
2018-09,26
2018-10,26
2018-11,18
2018-12,24
2019-01,20
2019-02,24
2019-03,22
2019-04,13
2019-05,18
2019-06,22
2019-07,17
2019-08,11
2019-09,18
2019-10,23
2019-11,16
2019-12,23
2020-01,26
2020-02,16
2020-03,21
2020-04,24
2020-05,30
2020-06,22
2020-07,22
2020-08,18
2020-09,26
2020-10,32
2020-11,33
2020-12,23
2021-01,28
2021-02,25
2021-03,37
2021-04,30
2021-05,26
2021-06,22
2021-07,24
2021-08,20
2021-09,22
2021-10,28
2021-11,43
2021-12,22
2022-01,37
2022-02,39
2022-03,39
2022-04,46
2022-05,44
2022-06,30
2022-07,26
2022-08,28
2022-09,37
2022-10,38
2022-11,45
2022-12,37
2023-01,32
2023-02,36
2023-03,48
2023-04,36
2023-05,39
2023-06,43
2023-07,21
2023-08,27
2023-09,36
2023-10,51
2023-11,45
2023-12,42
2024-01,43
2024-02,57
2024-03,67
2024-04,60
2024-05,50
2024-06,51
2024-07,55
2024-08,42
2024-09,58
2024-10,73
2024-11,80
2024-12,57
2025-01,55
2025-02,65
